episode,path,player,side,won,player_winrate,opp_deck
90882616,/Users/nickzwart/Desktop/Palsystem 2/90882616.json,M Sato,1,1,0.6212,Ogerpon
90885979,/Users/nickzwart/Desktop/Palsystem 2/90885979.json,THIRD PTCG Club,0,0,0.5714,Ogerpon
90875034,/Users/nickzwart/Desktop/Palsystem 2/90875034.json,fishcat,1,0,0.4815,Ogerpon
90899503,/Users/nickzwart/Desktop/Palsystem 2/90899503.json,Challengestone,0,1,0.4419,Ogerpon
90901029,/Users/nickzwart/Desktop/Palsystem 2/90901029.json,齐乐,0,1,0.4322,Ogerpon
90890196,/Users/nickzwart/Desktop/Palsystem 2/90890196.json,M Sato,0,1,0.6212,Ogerpon
90892739,/Users/nickzwart/Desktop/Palsystem 2/90892739.json,AlphaStarmie,1,0,0.6129,Ogerpon
90904584,/Users/nickzwart/Desktop/Palsystem 2/90904584.json,vvs,1,1,0.5895,Ogerpon
90907145,/Users/nickzwart/Desktop/Palsystem 2/90907145.json,Team Rot-Weiß,1,1,0.528,other
90908005,/Users/nickzwart/Desktop/Palsystem 2/90908005.json,vvs,0,0,0.5895,Ogerpon
90908848,/Users/nickzwart/Desktop/Palsystem 2/90908848.json,MTADA,1,1,0.375,Ogerpon
91024153,/Users/nickzwart/Desktop/Palsystem 2/91024153.json,THIRD PTCG Club,0,1,0.5714,Ogerpon
91051900,/Users/nickzwart/Desktop/Palsystem 2/91051900.json,Petit Canard,1,1,0.697,Ogerpon
91143203,/Users/nickzwart/Desktop/Palsystem 2/91143203.json,AlphaStarmie,1,1,0.6129,Ogerpon
91545450,/Users/nickzwart/Desktop/Palsystem 2/91545450.json,AlphaStarmie,0,1,0.6129,Ogerpon
91153518,/Users/nickzwart/Desktop/8-8-2026/91153518.json,pokemon master,0,1,0.4865,Grimmsnarl
91153536,/Users/nickzwart/Desktop/8-8-2026/91153536.json,S4nkurero,0,1,0.5467,Grimmsnarl
91153603,/Users/nickzwart/Desktop/8-8-2026/91153603.json,Team Rot-Weiß,0,1,0.528,Grimmsnarl
91153661,/Users/nickzwart/Desktop/8-8-2026/91153661.json,haruto,1,1,0.4035,other
91153736,/Users/nickzwart/Desktop/8-8-2026/91153736.json,AlphaStarmie,0,1,0.6129,Grimmsnarl
91154436,/Users/nickzwart/Desktop/8-8-2026/91154436.json,pokemon master,1,1,0.4865,Dragapult
91154444,/Users/nickzwart/Desktop/8-8-2026/91154444.json,Juyong,0,0,0.4386,M-Lopunny
91154565,/Users/nickzwart/Desktop/8-8-2026/91154565.json,Can,0,1,0.4853,M-Kangaskhan
91154584,/Users/nickzwart/Desktop/8-8-2026/91154584.json,S4nkurero,1,0,0.5467,Hydrapple
91154707,/Users/nickzwart/Desktop/8-8-2026/91154707.json,S4nkurero,0,0,0.5467,M-Lucario
91154723,/Users/nickzwart/Desktop/8-8-2026/91154723.json,AlphaStarmie,1,0,0.6129,M-Kangaskhan
91154735,/Users/nickzwart/Desktop/8-8-2026/91154735.json,vvs,0,1,0.5895,M-Kangaskhan
91155420,/Users/nickzwart/Desktop/8-8-2026/91155420.json,pokemon master,1,0,0.4865,M-Kangaskhan
91155649,/Users/nickzwart/Desktop/8-8-2026/91155649.json,MR.h,0,0,0.5395,Grimmsnarl
91156292,/Users/nickzwart/Desktop/8-8-2026/91156292.json,Can,0,0,0.4853,Garchomp
91156309,/Users/nickzwart/Desktop/8-8-2026/91156309.json,pokemon master,0,1,0.4865,Grimmsnarl
91156323,/Users/nickzwart/Desktop/8-8-2026/91156323.json,S4nkurero,0,1,0.5467,Grimmsnarl
91156339,/Users/nickzwart/Desktop/8-8-2026/91156339.json,Can,1,1,0.4853,Grimmsnarl
91156479,/Users/nickzwart/Desktop/8-8-2026/91156479.json,ANDPAD kaggler team,0,0,0.5612,M-Lucario
91157313,/Users/nickzwart/Desktop/8-8-2026/91157313.json,What Lucario,0,1,0.5789,M-Lopunny
91157371,/Users/nickzwart/Desktop/8-8-2026/91157371.json,齐乐,1,0,0.4322,M-Lucario
91157181,/Users/nickzwart/Desktop/8-8-2026/91157181.json,pokemon master,1,0,0.4865,M-Lopunny
91157212,/Users/nickzwart/Desktop/8-8-2026/91157212.json,S4nkurero,1,0,0.5467,Grimmsnarl
91158020,/Users/nickzwart/Desktop/8-8-2026/91158020.json,Team,0,1,0.5161,Grimmsnarl
