episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
87409702,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87409702.json,iwashi,1,1,Archaludon,0.56,0,Grimmsnarl,dump
87396230,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87396230.json,junlee789,1,1,other,0.56,0,Cynthia-Garchomp,dump
87455095,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87455095.json,Luca,0,1,Grimmsnarl,0.593,0,Grimmsnarl,dump
87543389,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87543389.json,Rmy,0,1,Alakazam,0.56,0,Grimmsnarl,dump
87443511,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87443511.json,Yushin Ito,0,1,M-Starmie,0.56,0,Alakazam,dump
87365218,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87365218.json,Yushin Ito,1,1,Grimmsnarl,0.56,0,Alakazam,dump
87515013,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87515013.json,junlee789,0,1,Dragapult,0.56,0,Cynthia-Garchomp,dump
87364059,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87364059.json,__Taichicchi__,0,1,Alakazam,0.597,0,Grimmsnarl,dump
87553673,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87553673.json,LumenLiquidity,0,1,Dragapult,0.56,0,Dragapult,dump
87475589,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87475589.json,kashiwashira,0,1,Spidops,0.56,0,Spidops,dump
87508621,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87508621.json,Brahim,1,1,Cynthia-Garchomp,0.56,0,Grimmsnarl,dump
87447102,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87447102.json,Team Rot-Weiß,0,1,Cynthia-Garchomp,0.56,0,Alakazam,dump
87523064,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87523064.json,Kotaro OKUYAMA,0,1,Spidops,0.56,0,Grimmsnarl,dump
87408056,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87408056.json,Majkel1337,1,1,Alakazam,0.56,0,Alakazam,dump
87411627,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87411627.json,カントー地方マスター,1,1,Alakazam,0.56,0,Alakazam,dump
87553736,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87553736.json,Kotaro OKUYAMA,1,1,Cynthia-Garchomp,0.56,0,Grimmsnarl,dump
87519175,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87519175.json,Where is my orbit,0,1,Cynthia-Garchomp,0.56,0,M-Kangaskhan,dump
87539193,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87539193.json,Yudai Ueno,0,1,Alakazam,0.56,0,Cynthia-Garchomp,dump
87527477,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87527477.json,Roman Stupin,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87528628,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87528628.json,GUOHAOYANG,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87512693,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87512693.json,binghua_123,0,1,Spidops,0.56,0,Grimmsnarl,dump
87379954,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87379954.json,msd0110,1,1,other,0.56,0,Alakazam,dump
87435051,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87435051.json,iwashi,0,1,Alakazam,0.56,0,Grimmsnarl,dump
87412322,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87412322.json,LumenLiquidity,1,1,M-Kangaskhan,0.56,0,Dragapult,dump
87530832,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87530832.json,nasuo445,1,1,Grimmsnarl,0.56,0,Cynthia-Garchomp,dump
87525299,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87525299.json,懒惰的金枪鱼,1,1,Crustle,0.56,0,Crustle,dump
87394061,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87394061.json,Kotaro OKUYAMA,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87534488,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87534488.json,HowardLeeTW,0,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87407989,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87407989.json,Vadim Vasilenko,0,1,Spidops,0.56,0,Dipplin,dump
87539740,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87539740.json,{{ team_name }},0,1,Crustle,0.56,0,Spidops,dump
87518508,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87518508.json,nasuo445,1,1,Spidops,0.56,0,Cynthia-Garchomp,dump
87368353,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87368353.json,齐乐,0,1,Alakazam,0.56,0,Alakazam,dump
87442880,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87442880.json,aaa,0,1,Grimmsnarl,0.56,0,Alakazam,dump
87469379,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87469379.json,{{ team_name }},0,1,Alakazam,0.56,0,Spidops,dump
87438726,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87438726.json,THIRD PTCG Club,1,1,Alakazam,0.56,0,Spidops,dump
87466576,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87466576.json,Lunariz,0,1,Spidops,0.56,0,Grimmsnarl,dump
87435544,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87435544.json,LiamK,1,1,Spidops,0.616,0,Crustle,dump
87442479,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87442479.json,iwashi,0,1,Alakazam,0.56,0,Grimmsnarl,dump
87492761,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87492761.json,懒惰的金枪鱼,1,1,Alakazam,0.56,0,Crustle,dump
87464635,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87464635.json,Kotaro OKUYAMA,0,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87538690,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87538690.json,THIRD PTCG Club,1,1,Grimmsnarl,0.56,0,Spidops,dump
87526374,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87526374.json,Brahim,1,1,Cynthia-Garchomp,0.56,0,Grimmsnarl,dump
87547667,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87547667.json,Lunariz,0,1,M-Kangaskhan,0.56,0,Grimmsnarl,dump
87439249,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87439249.json,Yudai Ueno,0,1,Alakazam,0.56,0,Cynthia-Garchomp,dump
87518676,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87518676.json,懒惰的金枪鱼,1,1,Grimmsnarl,0.56,0,Crustle,dump
87422405,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87422405.json,Canon,0,1,other,0.56,0,Archaludon,dump
87468753,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87468753.json,jiatu.l,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87542873,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87542873.json,__Taichicchi__,0,1,Crustle,0.597,0,Spidops,dump
87367767,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87367767.json,Dieter,0,1,Grimmsnarl,0.56,0,Alakazam,dump
87489316,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87489316.json,Brahim,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87392361,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87392361.json,msd0110,0,1,Alakazam,0.56,0,Alakazam,dump
87533930,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87533930.json,jiatu.l,0,1,Alakazam,0.56,0,Grimmsnarl,dump
87453053,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87453053.json,Tony Li,0,1,Alakazam,0.56,0,Grimmsnarl,dump
87519088,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87519088.json,msd0110,0,1,Grimmsnarl,0.56,0,Alakazam,dump
87550634,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87550634.json,Rmy,1,1,Alakazam,0.56,0,Grimmsnarl,dump
87441347,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87441347.json,LiamK,1,1,Cynthia-Garchomp,0.616,0,Crustle,dump
87532858,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87532858.json,GUOHAOYANG,1,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87409169,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87409169.json,iwashi,0,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87473666,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87473666.json,Lunariz,0,1,Grimmsnarl,0.56,0,Grimmsnarl,dump
87502914,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87502914.json,Eduardo Rocha de Andrade,0,1,Spidops,0.56,0,Grimmsnarl,dump
87433428,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87433428.json,Kotaro OKUYAMA,1,1,Spidops,0.56,0,Grimmsnarl,dump
87452992,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87452992.json,youtube.com/@BigBugginnings,1,1,Grimmsnarl,0.56,0,Dragapult,dump
87438264,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87438264.json,懒惰的金枪鱼,1,1,Alakazam,0.56,0,Crustle,dump
87423428,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87423428.json,LiamK,0,1,Spidops,0.616,0,Crustle,dump
87540264,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87540264.json,Yushin Ito,0,1,Alakazam,0.56,0,Alakazam,dump
87541863,/Users/nickzwart/Desktop/PTCG-AI-Challenge/20260722/87541863.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,0,Spidops,dump
