episode,path,player,side,won,player_winrate,opp_deck
91256847,/Users/nickzwart/Desktop/8-8-2026/91256847.json,Castian Hans,1,0,0.0,M-Lopunny
91289770,/Users/nickzwart/Desktop/8-8-2026/91289770.json,EUGENEYEUNG,0,1,0.5,Ogerpon
91292527,/Users/nickzwart/Desktop/8-8-2026/91292527.json,EUGENEYEUNG,0,0,0.5,Alakazam
91294259,/Users/nickzwart/Desktop/8-8-2026/91294259.json,EUGENEYEUNG,0,0,0.5,Grimmsnarl
91293342,/Users/nickzwart/Desktop/8-8-2026/91293342.json,EUGENEYEUNG,0,1,0.5,Grimmsnarl
91334572,/Users/nickzwart/Desktop/8-8-2026/91334572.json,Nithin maktha,1,0,0.0,Grimmsnarl
91341816,/Users/nickzwart/Desktop/8-8-2026/91341816.json,wennan cao,0,1,0.8333,Ogerpon
91342743,/Users/nickzwart/Desktop/8-8-2026/91342743.json,wennan cao,0,1,0.8333,Grimmsnarl
91343624,/Users/nickzwart/Desktop/8-8-2026/91343624.json,wennan cao,1,1,0.8333,Ogerpon
91345458,/Users/nickzwart/Desktop/8-8-2026/91345458.json,wennan cao,1,0,0.8333,M-Kangaskhan
91347315,/Users/nickzwart/Desktop/8-8-2026/91347315.json,wennan cao,0,1,0.8333,Grimmsnarl
91350023,/Users/nickzwart/Desktop/8-8-2026/91350023.json,wennan cao,0,1,0.8333,M-Lucario
91354475,/Users/nickzwart/Desktop/8-8-2026/91354475.json,Takaaki Matsuda,1,0,0.6,M-Lopunny
91442065,/Users/nickzwart/Desktop/8-8-2026/91442065.json,Takaaki Matsuda,0,1,0.6,M-Lopunny
91452023,/Users/nickzwart/Desktop/8-8-2026/91452023.json,Takaaki Matsuda,1,1,0.6,M-Lopunny
91455671,/Users/nickzwart/Desktop/8-8-2026/91455671.json,Takaaki Matsuda,1,1,0.6,Alakazam
91456564,/Users/nickzwart/Desktop/8-8-2026/91456564.json,Takaaki Matsuda,0,1,0.6,Grimmsnarl
91458357,/Users/nickzwart/Desktop/8-8-2026/91458357.json,Takaaki Matsuda,1,0,0.6,Grimmsnarl
91460353,/Users/nickzwart/Desktop/8-8-2026/91460353.json,Takaaki Matsuda,0,1,0.6,Hydrapple
91461255,/Users/nickzwart/Desktop/8-8-2026/91461255.json,Takaaki Matsuda,0,1,0.6,M-Lopunny
91463829,/Users/nickzwart/Desktop/8-8-2026/91463829.json,Takaaki Matsuda,0,0,0.6,M-Lopunny
91464742,/Users/nickzwart/Desktop/8-8-2026/91464742.json,Takaaki Matsuda,0,0,0.6,M-Lucario
91046489,/Users/nickzwart/Desktop/9-8-2026/91046489.json,eurusoo,1,1,1.0,Grimmsnarl
91048178,/Users/nickzwart/Desktop/9-8-2026/91048178.json,eurusoo,0,1,1.0,Ogerpon
91165968,/Users/nickzwart/Desktop/kdcyberdude/91165968.json,kaito yama,0,0,0.0,Grimmsnarl
92262672,/Users/nickzwart/Desktop/dragapult/episode-92262672-replay.json,navazsh fathi,1,0,0.0,Dragapult
92283434,/Users/nickzwart/Desktop/dragapult/episode-92283434-replay.json,sasanatu72,0,1,1.0,Dragapult
92284406,/Users/nickzwart/Desktop/dragapult/episode-92284406-replay.json,Kasra Rahjerdi,0,1,1.0,Dragapult
92281565,/Users/nickzwart/Desktop/dragapult/episode-92281565-replay.json,kokomi,1,0,0.0,Dragapult
91836668,/Users/nickzwart/Desktop/11082026/91836668.json,Rufeng Toxins,0,1,1.0,Ogerpon
92119214,/Users/nickzwart/Desktop/11082026/92119214.json,Ayodeji,0,0,0.0,Alakazam
92208246,/Users/nickzwart/Desktop/2 Dipam Chakraborty (Ogerpon)/92208246.json,Ryosei T,1,0,0.0,Ogerpon
92240468,/Users/nickzwart/Desktop/2 Dipam Chakraborty (Ogerpon)/92240468.json,spa-toni,1,0,0.0,Ogerpon
92358879,/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92358879-replay.json,akr2428,0,0,0.0,Dragapult
92375885,/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92375885-replay.json,jiangzhenyue,1,1,1.0,Dragapult
92387078,top_fresh/Dipam Chakraborty/92387078.json,Anjana mohan,1,1,1.0,Ogerpon
92422153,top_fresh/Dipam Chakraborty/92422153.json,Mathieu W,0,0,0.0,Dragapult
92423078,top_fresh/Dipam Chakraborty/92423078.json,corelattice,0,0,0.0,Dragapult
92429569,top_fresh/Dipam Chakraborty/92429569.json,L-WALID,1,0,0.0,Dragapult
92305585,top_fresh/Sixth Sense/92305585.json,Castian Hans,1,0,0.0,Dragapult
92387032,top_fresh/Sixth Sense/92387032.json,pepe,0,0,0.0,Alakazam
92391711,top_fresh/Sixth Sense/92391711.json,ShikeChen,0,0,0.0,Alakazam
92414792,top_fresh/Sixth Sense/92414792.json,haiy_qq,0,1,1.0,Dragapult
92457524,top_fresh/__________/92457524.json,mimi,1,0,0.0,Grimmsnarl
92454869,top_fresh/flg/92454869.json,Aryan Yadav,0,0,0.0,Dragapult
