qty,card_id,card_name
5,1,Basic {G} Energy
1,73,Rellor
1,74,Rabsca
4,89,Grookey
4,90,Thwackey
4,92,Applin
4,93,Dipplin
1,142,Genesect
1,343,Shaymin
1,1080,Unfair Stamp
4,1086,Buddy-Buddy Poffin
4,1094,Bug Catching Set
2,1097,Night Stretcher
4,1152,Poké Pad
2,1174,Air Balloon
2,1175,Brave Bangle
2,1182,Boss’s Orders
1,1184,Lana’s Aid
1,1187,Morty’s Conviction
2,1191,Kieran
1,1211,Black Belt’s Training
1,1223,Harlequin
4,1227,Lillie's Determination
4,1245,Festival Grounds
