qty,card_id,card_name
4,2,Basic {R} Energy
3,5,Basic {P} Energy
1,7,Basic {D} Energy
1,112,Munkidori
4,119,Dreepy
4,120,Drakloak
3,121,Dragapult ex
2,131,Duskull
2,132,Dusclops
1,133,Dusknoir
1,140,Fezandipiti ex
1,235,Budew
1,791,Moltres
1,1071,Meowth ex
1,1080,Unfair Stamp
4,1086,Buddy-Buddy Poffin
2,1097,Night Stretcher
3,1120,Crushing Hammer
4,1121,Ultra Ball
4,1152,Poké Pad
3,1182,Boss’s Orders
3,1198,Crispin
4,1227,Lillie's Determination
1,1231,Dawn
2,1256,Team Rocket's Watchtower
