episode,path,player,side,won,player_winrate,opp_deck
90909675,/Users/nickzwart/Desktop/Palsystem 2/90909675.json,aigood,1,0,0.0,Ogerpon
91153613,/Users/nickzwart/Desktop/8-8-2026/91153613.json,Boss's Orders Are All You Need,0,1,0.8889,Ogerpon
91156248,/Users/nickzwart/Desktop/8-8-2026/91156248.json,T.Suzuki,0,0,0.0714,Grimmsnarl
91158185,/Users/nickzwart/Desktop/8-8-2026/91158185.json,T.Suzuki,1,0,0.0714,Ogerpon
91159748,/Users/nickzwart/Desktop/8-8-2026/91159748.json,hukuda222,1,0,0.25,Dragapult
91161696,/Users/nickzwart/Desktop/8-8-2026/91161696.json,Boss's Orders Are All You Need,1,1,0.8889,Alakazam
91162584,/Users/nickzwart/Desktop/8-8-2026/91162584.json,Boss's Orders Are All You Need,1,1,0.8889,Grimmsnarl
91164997,/Users/nickzwart/Desktop/8-8-2026/91164997.json,Alan_Nasibullin,1,0,0.6667,M-Lopunny
91168810,/Users/nickzwart/Desktop/8-8-2026/91168810.json,Boss's Orders Are All You Need,1,1,0.8889,Grimmsnarl
91171455,/Users/nickzwart/Desktop/8-8-2026/91171455.json,MarineYY,0,0,0.6667,M-Lopunny
91173740,/Users/nickzwart/Desktop/8-8-2026/91173740.json,What Lucario,0,1,0.5385,Grimmsnarl
91175540,/Users/nickzwart/Desktop/8-8-2026/91175540.json,DittleDev,0,1,0.3333,Grimmsnarl
91176492,/Users/nickzwart/Desktop/8-8-2026/91176492.json,keithtyser,0,1,1.0,Grimmsnarl
91178159,/Users/nickzwart/Desktop/8-8-2026/91178159.json,MissingNo.,1,1,0.6923,Dragapult
91178192,/Users/nickzwart/Desktop/8-8-2026/91178192.json,What Lucario,0,0,0.5385,Grimmsnarl
91178197,/Users/nickzwart/Desktop/8-8-2026/91178197.json,ropeadope,1,0,0.1667,Grimmsnarl
91179992,/Users/nickzwart/Desktop/8-8-2026/91179992.json,DittleDev,0,0,0.3333,Alakazam
91181793,/Users/nickzwart/Desktop/8-8-2026/91181793.json,DittleDev,1,0,0.3333,Grimmsnarl
91183451,/Users/nickzwart/Desktop/8-8-2026/91183451.json,What Lucario,1,1,0.5385,Grimmsnarl
91187865,/Users/nickzwart/Desktop/8-8-2026/91187865.json,Boss's Orders Are All You Need,0,1,0.8889,Grimmsnarl
91187909,/Users/nickzwart/Desktop/8-8-2026/91187909.json,Boss's Orders Are All You Need,0,0,0.8889,M-Lucario
91188066,/Users/nickzwart/Desktop/8-8-2026/91188066.json,suguuuuu & hiehie,1,1,0.2727,Ogerpon
91189857,/Users/nickzwart/Desktop/8-8-2026/91189857.json,suguuuuu & hiehie,0,0,0.2727,Grimmsnarl
91190604,/Users/nickzwart/Desktop/8-8-2026/91190604.json,What Lucario,0,1,0.5385,Grimmsnarl
91190646,/Users/nickzwart/Desktop/8-8-2026/91190646.json,suguuuuu & hiehie,1,0,0.2727,Grimmsnarl
