episode,path,player,side,won,player_winrate,opp_deck
90872498,/Users/nickzwart/Desktop/Palsystem 2/90872498.json,Petit Canard,1,1,0.5455,Ogerpon
91073266,/Users/nickzwart/Desktop/Palsystem 2/91073266.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91076781,/Users/nickzwart/Desktop/Palsystem 2/91076781.json,Dipam Chakraborty,1,1,0.6782,Ogerpon
91191540,/Users/nickzwart/Desktop/Palsystem 2/91191540.json,やる気元気ミワハルキ,1,1,0.7317,Ogerpon
91192415,/Users/nickzwart/Desktop/Palsystem 2/91192415.json,やる気元気ミワハルキ,0,1,0.7317,Ogerpon
91605212,/Users/nickzwart/Desktop/Palsystem 2/91605212.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91153475,/Users/nickzwart/Desktop/8-8-2026/91153475.json,やる気元気ミワハルキ,0,1,0.7317,Garchomp
91155359,/Users/nickzwart/Desktop/8-8-2026/91155359.json,やる気元気ミワハルキ,1,1,0.7317,M-Lopunny
91155367,/Users/nickzwart/Desktop/8-8-2026/91155367.json,やる気元気ミワハルキ,0,1,0.7317,Dragapult
91156481,/Users/nickzwart/Desktop/8-8-2026/91156481.json,cyrus,1,1,0.4286,M-Lopunny
91157347,/Users/nickzwart/Desktop/8-8-2026/91157347.json,e-toppo + kurupical,0,1,0.6136,Grimmsnarl
91158018,/Users/nickzwart/Desktop/8-8-2026/91158018.json,やる気元気ミワハルキ,0,1,0.7317,Ogerpon
91158948,/Users/nickzwart/Desktop/8-8-2026/91158948.json,Kh0a,1,1,0.5844,Dragapult
91159748,/Users/nickzwart/Desktop/8-8-2026/91159748.json,やる気元気ミワハルキ,0,1,0.7317,Crustle
91159778,/Users/nickzwart/Desktop/8-8-2026/91159778.json,やる気元気ミワハルキ,0,1,0.7317,Grimmsnarl
91159929,/Users/nickzwart/Desktop/8-8-2026/91159929.json,LumenLiquidity,0,1,0.6296,Grimmsnarl
91160009,/Users/nickzwart/Desktop/8-8-2026/91160009.json,Budew,0,1,0.3077,Grimmsnarl
91160625,/Users/nickzwart/Desktop/8-8-2026/91160625.json,やる気元気ミワハルキ,1,1,0.7317,Grimmsnarl
91160691,/Users/nickzwart/Desktop/8-8-2026/91160691.json,Pokemon Siuuuu,1,1,0.6019,M-Lopunny
91160713,/Users/nickzwart/Desktop/8-8-2026/91160713.json,RtoABC,1,1,0.6061,Garchomp
91161451,/Users/nickzwart/Desktop/8-8-2026/91161451.json,LumenLiquidity,0,1,0.6296,Grimmsnarl
91161517,/Users/nickzwart/Desktop/8-8-2026/91161517.json,やる気元気ミワハルキ,1,1,0.7317,M-Lopunny
91162394,/Users/nickzwart/Desktop/8-8-2026/91162394.json,やる気元気ミワハルキ,1,1,0.7317,Grimmsnarl
91163306,/Users/nickzwart/Desktop/8-8-2026/91163306.json,やる気元気ミワハルキ,0,1,0.7317,Alakazam
91164179,/Users/nickzwart/Desktop/8-8-2026/91164179.json,やる気元気ミワハルキ,1,1,0.7317,M-Kangaskhan
91164184,/Users/nickzwart/Desktop/8-8-2026/91164184.json,やる気元気ミワハルキ,0,1,0.7317,M-Lopunny
91165947,/Users/nickzwart/Desktop/8-8-2026/91165947.json,やる気元気ミワハルキ,0,1,0.7317,Dragapult
91165953,/Users/nickzwart/Desktop/8-8-2026/91165953.json,やる気元気ミワハルキ,0,1,0.7317,other
