episode,path,player,side,won,player_winrate,opp_deck
91073266,/Users/nickzwart/Desktop/Palsystem 2/91073266.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91076781,/Users/nickzwart/Desktop/Palsystem 2/91076781.json,Dipam Chakraborty,1,1,0.6782,Ogerpon
91605212,/Users/nickzwart/Desktop/Palsystem 2/91605212.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91273935,/Users/nickzwart/Desktop/8-8-2026/91273935.json,Dipam Chakraborty,0,1,0.6782,Alakazam
91275752,/Users/nickzwart/Desktop/8-8-2026/91275752.json,Dipam Chakraborty,1,1,0.6782,Grimmsnarl
91278325,/Users/nickzwart/Desktop/8-8-2026/91278325.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91279226,/Users/nickzwart/Desktop/8-8-2026/91279226.json,Dipam Chakraborty,1,1,0.6782,Grimmsnarl
91281914,/Users/nickzwart/Desktop/8-8-2026/91281914.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91283716,/Users/nickzwart/Desktop/8-8-2026/91283716.json,Dipam Chakraborty,0,1,0.6782,Alakazam
91285520,/Users/nickzwart/Desktop/8-8-2026/91285520.json,Dipam Chakraborty,1,1,0.6782,Ogerpon
91284568,/Users/nickzwart/Desktop/8-8-2026/91284568.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91286445,/Users/nickzwart/Desktop/8-8-2026/91286445.json,Dipam Chakraborty,1,1,0.6782,Alakazam
91287379,/Users/nickzwart/Desktop/8-8-2026/91287379.json,Dipam Chakraborty,0,1,0.6782,Grimmsnarl
91289186,/Users/nickzwart/Desktop/8-8-2026/91289186.json,Dipam Chakraborty,1,1,0.6782,Alakazam
91290070,/Users/nickzwart/Desktop/8-8-2026/91290070.json,Dipam Chakraborty,1,1,0.6782,Grimmsnarl
91304394,/Users/nickzwart/Desktop/8-8-2026/91304394.json,Dipam Chakraborty,1,1,0.6782,M-Kangaskhan
91320397,/Users/nickzwart/Desktop/8-8-2026/91320397.json,Dipam Chakraborty,0,1,0.6782,Garchomp
91328527,/Users/nickzwart/Desktop/8-8-2026/91328527.json,Dipam Chakraborty,1,1,0.6782,M-Lucario
91331878,/Users/nickzwart/Desktop/8-8-2026/91331878.json,Dipam Chakraborty,0,1,0.6782,Grimmsnarl
91332769,/Users/nickzwart/Desktop/8-8-2026/91332769.json,Dipam Chakraborty,0,1,0.6782,M-Lopunny
91335513,/Users/nickzwart/Desktop/8-8-2026/91335513.json,Dipam Chakraborty,1,1,0.6782,Grimmsnarl
91337353,/Users/nickzwart/Desktop/8-8-2026/91337353.json,Dipam Chakraborty,1,1,0.6782,Alakazam
91338185,/Users/nickzwart/Desktop/8-8-2026/91338185.json,Dipam Chakraborty,1,1,0.6782,Grimmsnarl
91339194,/Users/nickzwart/Desktop/8-8-2026/91339194.json,Dipam Chakraborty,0,1,0.6782,Ogerpon
91340090,/Users/nickzwart/Desktop/8-8-2026/91340090.json,Dipam Chakraborty,0,1,0.6782,Grimmsnarl
91340949,/Users/nickzwart/Desktop/8-8-2026/91340949.json,Dipam Chakraborty,0,1,0.6782,M-Lucario
91342020,/Users/nickzwart/Desktop/8-8-2026/91342020.json,Dipam Chakraborty,0,1,0.6782,Alakazam
91343681,/Users/nickzwart/Desktop/8-8-2026/91343681.json,Dipam Chakraborty,1,1,0.6782,M-Kangaskhan
91343746,/Users/nickzwart/Desktop/8-8-2026/91343746.json,Dipam Chakraborty,1,1,0.6782,Ogerpon
91344672,/Users/nickzwart/Desktop/8-8-2026/91344672.json,Dipam Chakraborty,0,1,0.6782,M-Lucario
