episode,path,player,side,won,player_winrate,opp_deck
90872498,/Users/nickzwart/Desktop/Palsystem 2/90872498.json,Petit Canard,1,1,0.5294,Ogerpon
90880156,/Users/nickzwart/Desktop/Palsystem 2/90880156(1).json,Petit Canard,1,0,0.5294,Ogerpon
90919835,/Users/nickzwart/Desktop/Palsystem 2/90919835.json,Kh0a,0,0,0.6116,Ogerpon
91080263,/Users/nickzwart/Desktop/Palsystem 2/91080263.json,THIRD PTCG Club,1,0,0.5508,Ogerpon
91081137,/Users/nickzwart/Desktop/Palsystem 2/91081137.json,Dipam Chakraborty,1,0,0.6779,Ogerpon
91139685,/Users/nickzwart/Desktop/Palsystem 2/91139685.json,Pokemon Siuuuu,0,0,0.5809,Ogerpon
91073266,/Users/nickzwart/Desktop/Palsystem 2/91073266.json,Dipam Chakraborty,0,1,0.6779,Ogerpon
91076781,/Users/nickzwart/Desktop/Palsystem 2/91076781.json,Dipam Chakraborty,1,1,0.6779,Ogerpon
91191540,/Users/nickzwart/Desktop/Palsystem 2/91191540.json,やる気元気ミワハルキ,1,1,0.64,Ogerpon
91192415,/Users/nickzwart/Desktop/Palsystem 2/91192415.json,やる気元気ミワハルキ,0,1,0.64,Ogerpon
91194188,/Users/nickzwart/Desktop/Palsystem 2/91194188.json,Marshall Maximizer,0,0,0.6042,Ogerpon
91578244,/Users/nickzwart/Desktop/Palsystem 2/91578244.json,Sixth Sense,1,1,0.7167,Hydrapple
91423346,/Users/nickzwart/Desktop/Palsystem 2/91423346.json,Dipam Chakraborty,0,0,0.6779,Ogerpon
91423368,/Users/nickzwart/Desktop/Palsystem 2/91423368.json,Pokemon Siuuuu,1,0,0.5809,Ogerpon
91590301,/Users/nickzwart/Desktop/Palsystem 2/91590301.json,Sixth Sense,0,0,0.7167,Ogerpon
91605212,/Users/nickzwart/Desktop/Palsystem 2/91605212.json,Dipam Chakraborty,0,1,0.6779,Ogerpon
91608835,/Users/nickzwart/Desktop/Palsystem 2/91608835.json,Sixth Sense,0,1,0.7167,Ogerpon
91726505,/Users/nickzwart/Desktop/Palsystem 2/91726505.json,flg,0,0,0.6387,Ogerpon
91734890,/Users/nickzwart/Desktop/Palsystem 2/91734890.json,flg,0,0,0.6387,Ogerpon
91153475,/Users/nickzwart/Desktop/8-8-2026/91153475.json,やる気元気ミワハルキ,0,1,0.64,Garchomp
91154436,/Users/nickzwart/Desktop/8-8-2026/91154436.json,Pokemon Siuuuu,0,0,0.5809,Alakazam
91155359,/Users/nickzwart/Desktop/8-8-2026/91155359.json,やる気元気ミワハルキ,1,1,0.64,M-Lopunny
91155367,/Users/nickzwart/Desktop/8-8-2026/91155367.json,やる気元気ミワハルキ,0,1,0.64,Dragapult
91155367,/Users/nickzwart/Desktop/8-8-2026/91155367.json,cyrus,1,0,0.4286,Dragapult
91155455,/Users/nickzwart/Desktop/8-8-2026/91155455.json,Budew,0,0,0.3636,Grimmsnarl
91155637,/Users/nickzwart/Desktop/8-8-2026/91155637.json,Budew,0,0,0.3636,Grimmsnarl
91156250,/Users/nickzwart/Desktop/8-8-2026/91156250.json,やる気元気ミワハルキ,1,0,0.64,M-Lopunny
91156481,/Users/nickzwart/Desktop/8-8-2026/91156481.json,cyrus,1,1,0.4286,M-Lopunny
91157176,/Users/nickzwart/Desktop/8-8-2026/91157176.json,やる気元気ミワハルキ,0,0,0.64,Ogerpon
91157347,/Users/nickzwart/Desktop/8-8-2026/91157347.json,e-toppo + kurupical,0,1,0.5909,Grimmsnarl
91158018,/Users/nickzwart/Desktop/8-8-2026/91158018.json,やる気元気ミワハルキ,0,1,0.64,Ogerpon
91158948,/Users/nickzwart/Desktop/8-8-2026/91158948.json,やる気元気ミワハルキ,0,0,0.64,Dragapult
91158948,/Users/nickzwart/Desktop/8-8-2026/91158948.json,Kh0a,1,1,0.6116,Dragapult
