episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
89684932,/Users/nickzwart/Desktop/Number 3/89684932.json,やる気元気ミワハルキ,1,1,other,0.75,0,Dudunsparce,num3
89685508,/Users/nickzwart/Desktop/Number 3/89685508.json,やる気元気ミワハルキ,0,1,Alakazam,0.75,0,Dudunsparce,num3
89686075,/Users/nickzwart/Desktop/Number 3/89686075.json,やる気元気ミワハルキ,1,1,Archaludon,0.75,0,Dudunsparce,num3
89686637,/Users/nickzwart/Desktop/Number 3/89686637.json,やる気元気ミワハルキ,1,1,Alakazam,0.75,0,Dudunsparce,num3
89687796,/Users/nickzwart/Desktop/Number 3/89687796.json,やる気元気ミワハルキ,0,1,Alakazam,0.75,0,Dudunsparce,num3
89688953,/Users/nickzwart/Desktop/Number 3/89688953.json,やる気元気ミワハルキ,0,1,Dudunsparce,0.75,0,Dudunsparce,num3
89689505,/Users/nickzwart/Desktop/Number 3/89689505.json,やる気元気ミワハルキ,0,1,Cynthia-Garchomp,0.75,0,Dudunsparce,num3
89690088,/Users/nickzwart/Desktop/Number 3/89690088.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89690654,/Users/nickzwart/Desktop/Number 3/89690654.json,fle3n,1,1,Dudunsparce,0.75,0,Dudunsparce,num3
89691245,/Users/nickzwart/Desktop/Number 3/89691245.json,やる気元気ミワハルキ,1,1,Alakazam,0.75,0,Dudunsparce,num3
89691277,/Users/nickzwart/Desktop/Number 3/89691277.json,やる気元気ミワハルキ,1,1,Dudunsparce,0.75,0,Dudunsparce,num3
89691812,/Users/nickzwart/Desktop/Number 3/89691812.json,やる気元気ミワハルキ,0,1,M-Kangaskhan,0.75,0,Dudunsparce,num3
89691996,/Users/nickzwart/Desktop/Number 3/89691996.json,やる気元気ミワハルキ,0,1,Crustle,0.75,0,Dudunsparce,num3
89692376,/Users/nickzwart/Desktop/Number 3/89692376.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89692958,/Users/nickzwart/Desktop/Number 3/89692958.json,やる気元気ミワハルキ,0,1,Dragapult,0.75,0,Dudunsparce,num3
89693535,/Users/nickzwart/Desktop/Number 3/89693535.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89694107,/Users/nickzwart/Desktop/Number 3/89694107.json,やる気元気ミワハルキ,0,1,Dipplin,0.75,0,Dudunsparce,num3
89695256,/Users/nickzwart/Desktop/Number 3/89695256.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89695767,/Users/nickzwart/Desktop/Number 3/89695767.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89696388,/Users/nickzwart/Desktop/Number 3/89696388.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89696953,/Users/nickzwart/Desktop/Number 3/89696953.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89697511,/Users/nickzwart/Desktop/Number 3/89697511.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89698088,/Users/nickzwart/Desktop/Number 3/89698088.json,やる気元気ミワハルキ,0,1,M-Kangaskhan,0.75,0,Dudunsparce,num3
89698657,/Users/nickzwart/Desktop/Number 3/89698657.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89699816,/Users/nickzwart/Desktop/Number 3/89699816.json,やる気元気ミワハルキ,1,1,other,0.75,0,Dudunsparce,num3
89700379,/Users/nickzwart/Desktop/Number 3/89700379.json,やる気元気ミワハルキ,0,1,other,0.75,0,Dudunsparce,num3
89700947,/Users/nickzwart/Desktop/Number 3/89700947.json,やる気元気ミワハルキ,0,1,Alakazam,0.75,0,Dudunsparce,num3
89701536,/Users/nickzwart/Desktop/Number 3/89701536.json,やる気元気ミワハルキ,0,1,Dudunsparce,0.75,0,Dudunsparce,num3
89702090,/Users/nickzwart/Desktop/Number 3/89702090.json,やる気元気ミワハルキ,1,1,other,0.75,0,Dudunsparce,num3
89702650,/Users/nickzwart/Desktop/Number 3/89702650.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89703232,/Users/nickzwart/Desktop/Number 3/89703232.json,やる気元気ミワハルキ,1,1,other,0.75,0,Dudunsparce,num3
89703804,/Users/nickzwart/Desktop/Number 3/89703804.json,やる気元気ミワハルキ,1,1,Dipplin,0.75,0,Dudunsparce,num3
89704382,/Users/nickzwart/Desktop/Number 3/89704382.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89704949,/Users/nickzwart/Desktop/Number 3/89704949.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89705515,/Users/nickzwart/Desktop/Number 3/89705515.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89706085,/Users/nickzwart/Desktop/Number 3/89706085.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89706654,/Users/nickzwart/Desktop/Number 3/89706654.json,やる気元気ミワハルキ,0,1,other,0.75,0,Dudunsparce,num3
89707220,/Users/nickzwart/Desktop/Number 3/89707220.json,やる気元気ミワハルキ,1,1,Dragapult,0.75,0,Dudunsparce,num3
89707788,/Users/nickzwart/Desktop/Number 3/89707788.json,やる気元気ミワハルキ,0,1,Dudunsparce,0.75,0,Dudunsparce,num3
89708365,/Users/nickzwart/Desktop/Number 3/89708365.json,やる気元気ミワハルキ,1,1,M-Kangaskhan,0.75,0,Dudunsparce,num3
89708940,/Users/nickzwart/Desktop/Number 3/89708940.json,やる気元気ミワハルキ,1,1,Dipplin,0.75,0,Dudunsparce,num3
89709525,/Users/nickzwart/Desktop/Number 3/89709525.json,やる気元気ミワハルキ,0,1,other,0.75,0,Dudunsparce,num3
89711272,/Users/nickzwart/Desktop/Number 3/89711272.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89711846,/Users/nickzwart/Desktop/Number 3/89711846.json,やる気元気ミワハルキ,0,1,Cynthia-Garchomp,0.75,0,Dudunsparce,num3
89712414,/Users/nickzwart/Desktop/Number 3/89712414.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89713000,/Users/nickzwart/Desktop/Number 3/89713000.json,やる気元気ミワハルキ,1,1,Dipplin,0.75,0,Dudunsparce,num3
89713570,/Users/nickzwart/Desktop/Number 3/89713570.json,やる気元気ミワハルキ,0,1,Crustle,0.75,0,Dudunsparce,num3
89714137,/Users/nickzwart/Desktop/Number 3/89714137.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89714624,/Users/nickzwart/Desktop/Number 3/89714624.json,やる気元気ミワハルキ,1,1,other,0.75,0,Dudunsparce,num3
89715291,/Users/nickzwart/Desktop/Number 3/89715291.json,やる気元気ミワハルキ,0,1,Crustle,0.75,0,Dudunsparce,num3
89716428,/Users/nickzwart/Desktop/Number 3/89716428.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89717015,/Users/nickzwart/Desktop/Number 3/89717015.json,やる気元気ミワハルキ,0,1,Cynthia-Garchomp,0.75,0,Dudunsparce,num3
89718756,/Users/nickzwart/Desktop/Number 3/89718756.json,やる気元気ミワハルキ,0,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89719952,/Users/nickzwart/Desktop/Number 3/89719952.json,やる気元気ミワハルキ,0,1,other,0.75,0,Dudunsparce,num3
89724577,/Users/nickzwart/Desktop/Number 3/89724577.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89741515,/Users/nickzwart/Desktop/Number 3/89741515.json,やる気元気ミワハルキ,1,1,Grimmsnarl,0.75,0,Dudunsparce,num3
89741829,/Users/nickzwart/Desktop/Number 3/89741829.json,やる気元気ミワハルキ,0,1,Alakazam,0.75,0,Dudunsparce,num3
89747404,/Users/nickzwart/Desktop/Number 3/89747404.json,やる気元気ミワハルキ,0,1,Dragapult,0.75,0,Dudunsparce,num3
89755677,/Users/nickzwart/Desktop/Number 3/89755677.json,やる気元気ミワハルキ,1,1,M-Kangaskhan,0.75,0,Dudunsparce,num3
89901630,/Users/nickzwart/Desktop/number 4_04082026/89901630.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Spidops,0.75,0,Dudunsparce,num4
89902247,/Users/nickzwart/Desktop/number 4_04082026/89902247.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Alakazam,0.75,0,Dudunsparce,num4
89902863,/Users/nickzwart/Desktop/number 4_04082026/89902863.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Grimmsnarl,0.75,0,Dudunsparce,num4
89903502,/Users/nickzwart/Desktop/number 4_04082026/89903502.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Dragapult,0.75,0,Dudunsparce,num4
89904123,/Users/nickzwart/Desktop/number 4_04082026/89904123.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,M-Kangaskhan,0.75,0,Dudunsparce,num4
89904759,/Users/nickzwart/Desktop/number 4_04082026/89904759.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Alakazam,0.75,0,Dudunsparce,num4
89905366,/Users/nickzwart/Desktop/number 4_04082026/89905366.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Grimmsnarl,0.75,0,Dudunsparce,num4
89905982,/Users/nickzwart/Desktop/number 4_04082026/89905982.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,other,0.75,0,Dudunsparce,num4
89907229,/Users/nickzwart/Desktop/number 4_04082026/89907229.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Dragapult,0.75,0,Dudunsparce,num4
89907845,/Users/nickzwart/Desktop/number 4_04082026/89907845.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Spidops,0.75,0,Dudunsparce,num4
89907863,/Users/nickzwart/Desktop/number 4_04082026/89907863.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Alakazam,0.75,0,Dudunsparce,num4
89909103,/Users/nickzwart/Desktop/number 4_04082026/89909103.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Grimmsnarl,0.75,0,Dudunsparce,num4
89909707,/Users/nickzwart/Desktop/number 4_04082026/89909707.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Grimmsnarl,0.75,0,Dudunsparce,num4
89910334,/Users/nickzwart/Desktop/number 4_04082026/89910334.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,M-Kangaskhan,0.75,0,Dudunsparce,num4
89911576,/Users/nickzwart/Desktop/number 4_04082026/89911576.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Alakazam,0.75,0,Dudunsparce,num4
89912824,/Users/nickzwart/Desktop/number 4_04082026/89912824.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,other,0.75,0,Dudunsparce,num4
89913433,/Users/nickzwart/Desktop/number 4_04082026/89913433.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Dipplin,0.75,0,Dudunsparce,num4
89914065,/Users/nickzwart/Desktop/number 4_04082026/89914065.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,other,0.75,0,Dudunsparce,num4
89914785,/Users/nickzwart/Desktop/number 4_04082026/89914785.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,M-Kangaskhan,0.75,0,Dudunsparce,num4
89915284,/Users/nickzwart/Desktop/number 4_04082026/89915284.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,M-Starmie,0.75,0,Dudunsparce,num4
89915902,/Users/nickzwart/Desktop/number 4_04082026/89915902.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,Dudunsparce,0.75,0,Dudunsparce,num4
89917155,/Users/nickzwart/Desktop/number 4_04082026/89917155.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,other,0.75,0,Dudunsparce,num4
89919676,/Users/nickzwart/Desktop/number 4_04082026/89919676.json,やる気元気ミワハルキ,1,1,Dudunsparce,0.75,0,Dudunsparce,num4
89920317,/Users/nickzwart/Desktop/number 4_04082026/89920317.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,M-Kangaskhan,0.75,0,Dudunsparce,num4
89920945,/Users/nickzwart/Desktop/number 4_04082026/89920945.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,Grimmsnarl,0.75,0,Dudunsparce,num4
