path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/Palsystem 2/90882616.json,90882616,palsystem,M Sato,1,Ogerpon,Alakazam,8
/Users/nickzwart/Desktop/Palsystem 2/90883470.json,90883470,Oleksandr_Savsunenko,palsystem,1,M-Froslass,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90884326.json,90884326,藤田聖矢,palsystem,1,M-Starmie,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90885133.json,90885133,palsystem,Majkel1337,1,Ogerpon,M-Lucario,9
/Users/nickzwart/Desktop/Palsystem 2/90885979.json,90885979,THIRD PTCG Club,palsystem,1,Alakazam,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90886821.json,90886821,Roman Nesterov,palsystem,0,M-Kangaskhan,Ogerpon,15
/Users/nickzwart/Desktop/Palsystem 2/90887660.json,90887660,palsystem,Brahim,0,Ogerpon,other,3
/Users/nickzwart/Desktop/Palsystem 2/90888495.json,90888495,palsystem,loIzpo + emonga,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90869946.json,90869946,palsystem,KanaeKanae,0,Ogerpon,Grimmsnarl,13
/Users/nickzwart/Desktop/Palsystem 2/90870808.json,90870808,Funky,palsystem,1,M-Lopunny,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90871644.json,90871644,palsystem,Marshall Maximizer,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90872498.json,90872498,palsystem,Petit Canard,1,Ogerpon,Dragapult,13
/Users/nickzwart/Desktop/Palsystem 2/90873341.json,90873341,Where is my orbit,palsystem,1,M-Kangaskhan,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90874170.json,90874170,カントー地方マスター(KantoRegionMaster),palsystem,1,Grimmsnarl,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90875034.json,90875034,palsystem,fishcat,0,Ogerpon,Alakazam,11
/Users/nickzwart/Desktop/Palsystem 2/90875873.json,90875873,Raihan Ramadistra,palsystem,0,Grimmsnarl,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90896081.json,90896081,palsystem,Jack,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90896980.json,90896980,palsystem,ShumpeiNomura,1,Ogerpon,M-Kangaskhan,9
/Users/nickzwart/Desktop/Palsystem 2/90897757.json,90897757,ShumpeiNomura,palsystem,1,M-Kangaskhan,Ogerpon,39
/Users/nickzwart/Desktop/Palsystem 2/90898589.json,90898589,ShumpeiNomura,palsystem,0,M-Kangaskhan,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90899503.json,90899503,Challengestone,palsystem,0,Alakazam,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90900278.json,90900278,matsurih,palsystem,1,M-Lopunny,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90901029.json,90901029,齐乐,palsystem,0,Alakazam,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90902009.json,90902009,palsystem,flg,1,Ogerpon,Grimmsnarl,9
/Users/nickzwart/Desktop/Palsystem 2/90889356.json,90889356,flg,palsystem,1,Grimmsnarl,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90890196.json,90890196,M Sato,palsystem,0,Alakazam,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90891039.json,90891039,palsystem,JB Bryant,0,Ogerpon,M-Lopunny,15
/Users/nickzwart/Desktop/Palsystem 2/90891880.json,90891880,Luca,palsystem,0,other,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90892739.json,90892739,palsystem,AlphaStarmie,0,Ogerpon,Alakazam,11
/Users/nickzwart/Desktop/Palsystem 2/90893584.json,90893584,flg,palsystem,0,Grimmsnarl,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90894520.json,90894520,Luca,palsystem,0,other,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90895249.json,90895249,palsystem,Artalmaz31,0,Ogerpon,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90863087.json,90863087,palsystem,Romone Dunlop,0,Ogerpon,Dragapult,13
/Users/nickzwart/Desktop/Palsystem 2/90863928.json,90863928,palsystem,Corinna Leung,0,Ogerpon,Dragapult,19
/Users/nickzwart/Desktop/Palsystem 2/90864790.json,90864790,palsystem,Hase2727,0,Ogerpon,M-Kangaskhan,17
/Users/nickzwart/Desktop/Palsystem 2/90865646.json,90865646,palsystem,EliKal,0,Ogerpon,Grimmsnarl,9
/Users/nickzwart/Desktop/Palsystem 2/90866494.json,90866494,RMensinck,palsystem,1,other,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90867378.json,90867378,matsurih,palsystem,1,M-Lopunny,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90868231.json,90868231,Tang,palsystem,1,M-Lucario,Ogerpon,15
/Users/nickzwart/Desktop/Palsystem 2/90869101.json,90869101,palsystem,KanaeKanae,0,Ogerpon,Grimmsnarl,3
/Users/nickzwart/Desktop/Palsystem 2/90876731.json,90876731,palsystem,Charmander & Meowth,0,Ogerpon,Grimmsnarl,11
/Users/nickzwart/Desktop/Palsystem 2/90877558.json,90877558,palsystem,Marshall Maximizer,1,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90878418.json,90878418,ShumpeiNomura,palsystem,1,M-Kangaskhan,Ogerpon,15
/Users/nickzwart/Desktop/Palsystem 2/90879246.json,90879246,palsystem,sadwat,0,Ogerpon,M-Froslass,9
/Users/nickzwart/Desktop/Palsystem 2/90880156(1).json,90880156,palsystem,Petit Canard,0,Ogerpon,Dragapult,19
/Users/nickzwart/Desktop/Palsystem 2/90880156.json,90880156,palsystem,Petit Canard,0,Ogerpon,Dragapult,19
/Users/nickzwart/Desktop/Palsystem 2/90880948.json,90880948,palsystem,matsurih,1,Ogerpon,M-Lopunny,11
/Users/nickzwart/Desktop/Palsystem 2/90881789.json,90881789,palsystem,Kamil Olejniczak,0,Ogerpon,other,17
/Users/nickzwart/Desktop/Palsystem 2/90902865.json,90902865,palsystem,takayosi,0,Ogerpon,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90903731.json,90903731,palsystem,insuperabilehart,0,Ogerpon,M-Lopunny,7
/Users/nickzwart/Desktop/Palsystem 2/90904584.json,90904584,palsystem,vvs,1,Ogerpon,Alakazam,11
/Users/nickzwart/Desktop/Palsystem 2/90905443.json,90905443,NIWATORI,palsystem,1,M-Lopunny,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90906308.json,90906308,palsystem,sadwat,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90907145.json,90907145,palsystem,Team Rot-Weiß,1,other,Alakazam,3
/Users/nickzwart/Desktop/Palsystem 2/90908005.json,90908005,vvs,palsystem,1,Alakazam,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90908848.json,90908848,palsystem,MTADA,1,Ogerpon,Alakazam,11
/Users/nickzwart/Desktop/Palsystem 2/90909675.json,90909675,palsystem,aigood,0,Ogerpon,Crustle,25
/Users/nickzwart/Desktop/Palsystem 2/90910549.json,90910549,Yaroslav,palsystem,1,Grimmsnarl,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90911424.json,90911424,sadwat,palsystem,0,M-Kangaskhan,Ogerpon,21
/Users/nickzwart/Desktop/Palsystem 2/90918228.json,90918228,palsystem,Raihan Ramadistra,0,Ogerpon,Grimmsnarl,9
/Users/nickzwart/Desktop/Palsystem 2/90919835.json,90919835,Kh0a,palsystem,1,Dragapult,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90926326.json,90926326,ANDPAD kaggler team,palsystem,1,Ogerpon,Ogerpon,7
/Users/nickzwart/Desktop/Palsystem 2/90934758.json,90934758,palsystem,sadwat,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/90935520.json,90935520,Luca,palsystem,1,other,Ogerpon,15
/Users/nickzwart/Desktop/Palsystem 2/90939953.json,90939953,palsystem,Majkel1337,0,Ogerpon,M-Lucario,11
/Users/nickzwart/Desktop/Palsystem 2/90948177.json,90948177,ANDPAD kaggler team,palsystem,1,Ogerpon,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/90948909.json,90948909,palsystem,Luca,1,Ogerpon,other,11
/Users/nickzwart/Desktop/Palsystem 2/90950703.json,90950703,flg,palsystem,1,Grimmsnarl,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/90959765.json,90959765,palsystem,YDDDDDD999,0,Ogerpon,other,7
/Users/nickzwart/Desktop/Palsystem 2/90968103.json,90968103,Luca,palsystem,1,other,Ogerpon,17
/Users/nickzwart/Desktop/Palsystem 2/90976510.json,90976510,Majkel1337,palsystem,0,M-Lucario,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/90994831.json,90994831,insuperabilehart,palsystem,0,M-Lopunny,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/91080263.json,91080263,palsystem,THIRD PTCG Club,0,Ogerpon,Dragapult,13
/Users/nickzwart/Desktop/Palsystem 2/91081137.json,91081137,palsystem,Dipam Chakraborty,0,Ogerpon,Dragapult,13
/Users/nickzwart/Desktop/Palsystem 2/91093430.json,91093430,palsystem,Yaroslav,0,Ogerpon,Grimmsnarl,11
/Users/nickzwart/Desktop/Palsystem 2/91109180.json,91109180,MissingNo.,palsystem,0,M-Kangaskhan,Ogerpon,28
/Users/nickzwart/Desktop/Palsystem 2/91113407.json,91113407,Sixth Sense,palsystem,0,Hydrapple,Meganium,5
/Users/nickzwart/Desktop/Palsystem 2/91125632.json,91125632,palsystem,M Sato,0,Ogerpon,M-Lopunny,9
/Users/nickzwart/Desktop/Palsystem 2/91131017.json,91131017,Majkel1337,palsystem,0,M-Lucario,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/91139685.json,91139685,Pokemon Siuuuu,palsystem,1,Dragapult,Ogerpon,15
/Users/nickzwart/Desktop/Palsystem 2/91012274.json,91012274,palsystem,Sixth Sense,0,Ogerpon,Grimmsnarl,13
/Users/nickzwart/Desktop/Palsystem 2/91024153.json,91024153,THIRD PTCG Club,palsystem,0,Alakazam,Ogerpon,11
/Users/nickzwart/Desktop/Palsystem 2/91026658.json,91026658,palsystem,Majkel1337,1,Ogerpon,M-Lucario,15
/Users/nickzwart/Desktop/Palsystem 2/91051900.json,91051900,palsystem,Petit Canard,1,Ogerpon,Alakazam,9
/Users/nickzwart/Desktop/Palsystem 2/91059422.json,91059422,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,palsystem,0,M-Lopunny,Ogerpon,9
/Users/nickzwart/Desktop/Palsystem 2/91068166.json,91068166,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,palsystem,1,M-Lopunny,Ogerpon,5
/Users/nickzwart/Desktop/Palsystem 2/91073266.json,91073266,Dipam Chakraborty,palsystem,0,Dragapult,Ogerpon,13
/Users/nickzwart/Desktop/Palsystem 2/91076781.json,91076781,palsystem,Dipam Chakraborty,1,Ogerpon,Dragapult,11
/Users/nickzwart/Desktop/Palsystem 2/91140528.json,91140528,palsystem,Luca,0,Ogerpon,other,13
/Users/nickzwart/Desktop/Palsystem 2/91143203.json,91143203,palsystem,AlphaStarmie,1,Ogerpon,Alakazam,9
/Users/nickzwart/Desktop/Palsystem 2/91148404.json,91148404,Majkel1337,palsystem,0,M-Lucario,Ogerpon,11
