path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92357936-replay.json,92357936,yutssk,Kilupy,1,M-Lopunny,Dragapult,15
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92358879-replay.json,92358879,akr2428,Kilupy,1,Archaludon,Dragapult,9
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92359821-replay.json,92359821,yasu,Kilupy,1,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92360765-replay.json,92360765,Kilupy,nnnnio_pppira,1,Dragapult,Alakazam,9
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92355868-replay.json,92355868,Kilupy,Kilupy,1,Dragapult,Dragapult,15
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92356012-replay.json,92356012,Kilupy,discoverybytes,0,Dragapult,Garchomp,17
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92356933-replay.json,92356933,haruto,Kilupy,0,Alakazam,Dragapult,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92365515-replay.json,92365515,Kilupy,Soup,0,Dragapult,Alakazam,11
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92366459-replay.json,92366459,Yusuke Hayashi,Kilupy,1,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92367407-replay.json,92367407,Kilupy,full-auto agent,0,Dragapult,Alakazam,9
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92368344-replay.json,92368344,Benarg,Kilupy,0,Dragapult,Dragapult,11
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92361730-replay.json,92361730,Kilupy,Voyager,0,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92362678-replay.json,92362678,Chong Pfeffer,Kilupy,0,M-Lucario,Dragapult,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92363629-replay.json,92363629,Kilupy,Blake Mosley,0,Dragapult,Alakazam,11
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92364567-replay.json,92364567,Kilupy,Thai,1,Dragapult,Dragapult,13
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92372102-replay.json,92372102,Kilupy,서주영,1,Dragapult,M-Lopunny,17
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92373053-replay.json,92373053,Kilupy,xamad,1,Dragapult,Alakazam,15
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92374014-replay.json,92374014,Pascal Pfeiffer,Kilupy,1,Garchomp,Dragapult,15
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92374937-replay.json,92374937,Egypt first class,Kilupy,0,Crustle,Dragapult,29
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92369283-replay.json,92369283,paistieco,Kilupy,1,Grimmsnarl,Dragapult,11
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92370206-replay.json,92370206,Kilupy,t-enstar,0,Dragapult,M-Lopunny,17
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92371147-replay.json,92371147,Kilupy,yjshyfy,0,Dragapult,Alakazam,11
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92371953-replay.json,92371953,Kilupy,Mega LayerEX,0,Dragapult,Crustle,27
/Users/nickzwart/Desktop/Dragapult_1_12082026/episode-92375885-replay.json,92375885,Kilupy,jiangzhenyue,1,Dragapult,Archaludon,11
