path,episode,p0,p1,winner,a0,a1,turns
scraped/flg_full/episode-88496880-replay.json,88496880,flg,M Sato,0,other,Alakazam,17
scraped/flg_full/episode-88497329-replay.json,88497329,stardom,flg,1,M-Starmie,other,13
scraped/flg_full/episode-88497776-replay.json,88497776,cm391,flg,0,Grimmsnarl,other,9
scraped/flg_full/episode-88497880-replay.json,88497880,Team Rot-Weiß,flg,1,Alakazam,other,21
scraped/flg_full/episode-88498231-replay.json,88498231,IPL,flg,1,other,other,3
scraped/flg_full/episode-88498629-replay.json,88498629,flg,Pokemon Siuuuu,0,other,Grimmsnarl,9
scraped/flg_full/episode-88499123-replay.json,88499123,James Cox,flg,0,M-Kangaskhan,other,11
scraped/flg_full/episode-88499565-replay.json,88499565,e-toppo + kurupical,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88494694-replay.json,88494694,flg,Pokemon Siuuuu,1,other,Grimmsnarl,10
scraped/flg_full/episode-88495086-replay.json,88495086,Shubham Choudhary,flg,1,M-Lucario,other,15
scraped/flg_full/episode-88495117-replay.json,88495117,flg,Dominic Peel,0,other,Grimmsnarl,11
scraped/flg_full/episode-88495530-replay.json,88495530,"Matheus, Dieter, Eduardo",flg,1,other,other,11
scraped/flg_full/episode-88495565-replay.json,88495565,LiamK,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88495981-replay.json,88495981,LumenLiquidity,flg,1,Dragapult,other,11
scraped/flg_full/episode-88496001-replay.json,88496001,Dominic Peel,flg,0,Grimmsnarl,other,13
scraped/flg_full/episode-88496438-replay.json,88496438,flg,かーーき,0,other,Archaludon,9
scraped/flg_full/episode-88481084-replay.json,88481084,uma.k42.mr,flg,1,M-Lucario,other,15
scraped/flg_full/episode-88481379-replay.json,88481379,Dominic Peel,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88481594-replay.json,88481594,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88482120-replay.json,88482120,flg,szlachetny snieg,1,other,Grimmsnarl,7
scraped/flg_full/episode-88482640-replay.json,88482640,A. R. SEKKAT,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88483152-replay.json,88483152,flg,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,other,Grimmsnarl,11
scraped/flg_full/episode-88483739-replay.json,88483739,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,9
scraped/flg_full/episode-88484273-replay.json,88484273,flg,James Cox,0,other,M-Kangaskhan,9
scraped/flg_full/episode-88488085-replay.json,88488085,flg,Dries @ Tufa Labs,0,other,Grimmsnarl,13
scraped/flg_full/episode-88488495-replay.json,88488495,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,9
scraped/flg_full/episode-88489019-replay.json,88489019,flg,cm391,1,other,Grimmsnarl,11
scraped/flg_full/episode-88489547-replay.json,88489547,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,9
scraped/flg_full/episode-88490063-replay.json,88490063,flg,"Matheus, Dieter, Eduardo",1,other,other,17
scraped/flg_full/episode-88490233-replay.json,88490233,flg,LiamK,1,other,Grimmsnarl,9
scraped/flg_full/episode-88490629-replay.json,88490629,zhangshuosc,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88491146-replay.json,88491146,flg,齐乐,0,other,Alakazam,19
scraped/flg_full/episode-88491668-replay.json,88491668,flg,LumenLiquidity,0,other,Dragapult,15
scraped/flg_full/episode-88492195-replay.json,88492195,flg,mochamocha_Y,0,other,Alakazam,13
scraped/flg_full/episode-88492708-replay.json,88492708,flg,victor,1,other,Archaludon,55
scraped/flg_full/episode-88492797-replay.json,88492797,flg,"Matheus, Dieter, Eduardo",1,other,other,11
scraped/flg_full/episode-88493239-replay.json,88493239,James Cox,flg,0,M-Kangaskhan,other,11
scraped/flg_full/episode-88493756-replay.json,88493756,flg,Luca,0,other,Grimmsnarl,11
scraped/flg_full/episode-88494199-replay.json,88494199,LumenLiquidity,flg,1,Dragapult,other,17
scraped/flg_full/episode-88494640-replay.json,88494640,flg,auaua159,0,other,Alakazam,15
scraped/flg_full/episode-88484794-replay.json,88484794,"Matheus, Dieter, Eduardo",flg,0,other,other,13
scraped/flg_full/episode-88485308-replay.json,88485308,flg,szlachetny snieg,0,other,Grimmsnarl,11
scraped/flg_full/episode-88485819-replay.json,88485819,flg,A. R. SEKKAT,0,other,Grimmsnarl,11
scraped/flg_full/episode-88485942-replay.json,88485942,flg,Dries @ Tufa Labs,0,other,Grimmsnarl,9
scraped/flg_full/episode-88486371-replay.json,88486371,懒惰的金枪鱼,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88486866-replay.json,88486866,flg,Yushin Ito,0,other,Alakazam,21
scraped/flg_full/episode-88487400-replay.json,88487400,jiatu.l,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88487983-replay.json,88487983,flg,A. R. SEKKAT,0,other,Grimmsnarl,9
scraped/flg_full/episode-88513216-replay.json,88513216,Dominic Peel,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88513743-replay.json,88513743,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,7
scraped/flg_full/episode-88514275-replay.json,88514275,flg,junlee789,0,other,Garchomp,9
scraped/flg_full/episode-88514803-replay.json,88514803,flg,Majkel1337,1,other,Alakazam,3
scraped/flg_full/episode-88515341-replay.json,88515341,Simon-the-sorcerer,flg,1,other,other,4
scraped/flg_full/episode-88515879-replay.json,88515879,e-toppo + kurupical,flg,0,Grimmsnarl,other,13
scraped/flg_full/episode-88516412-replay.json,88516412,flg,Luca,1,other,Grimmsnarl,3
scraped/flg_full/episode-88516434-replay.json,88516434,flg,insuperabilehart,1,other,Grimmsnarl,10
scraped/flg_full/episode-88505779-replay.json,88505779,flg,Gotem Penguin,1,other,M-Froslass,19
scraped/flg_full/episode-88506305-replay.json,88506305,Dominic Peel,flg,0,Grimmsnarl,other,9
scraped/flg_full/episode-88506310-replay.json,88506310,flg,cm391,1,other,Grimmsnarl,9
scraped/flg_full/episode-88506854-replay.json,88506854,Pokopia,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88507386-replay.json,88507386,Hancang Mi,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88507924-replay.json,88507924,flg,LiamK,1,other,Grimmsnarl,9
scraped/flg_full/episode-88508458-replay.json,88508458,flg,James Cox,0,other,M-Kangaskhan,11
scraped/flg_full/episode-88508989-replay.json,88508989,flg,James Cox,1,other,other,1
scraped/flg_full/episode-88499584-replay.json,88499584,szlachetny snieg,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88500010-replay.json,88500010,bono,flg,1,Alakazam,other,11
scraped/flg_full/episode-88500459-replay.json,88500459,flg,lmaffei,0,other,M-Lopunny,17
scraped/flg_full/episode-88500482-replay.json,88500482,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88500909-replay.json,88500909,flg,junseo lee,0,other,Garchomp,11
scraped/flg_full/episode-88501349-replay.json,88501349,flg,e-toppo + kurupical,1,other,Grimmsnarl,9
scraped/flg_full/episode-88501376-replay.json,88501376,Dries @ Tufa Labs,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88501874-replay.json,88501874,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88509519-replay.json,88509519,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88510042-replay.json,88510042,leocrivels,flg,1,Dudunsparce,other,25
scraped/flg_full/episode-88510568-replay.json,88510568,Dries @ Tufa Labs,flg,0,Grimmsnarl,other,9
scraped/flg_full/episode-88511088-replay.json,88511088,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,12
scraped/flg_full/episode-88511624-replay.json,88511624,Majkel1337,flg,1,Alakazam,other,15
scraped/flg_full/episode-88512147-replay.json,88512147,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,9
scraped/flg_full/episode-88512675-replay.json,88512675,flg,lmaffei,1,other,M-Lopunny,11
scraped/flg_full/episode-88512712-replay.json,88512712,junlee789,flg,0,Garchomp,other,15
scraped/flg_full/episode-88502470-replay.json,88502470,213tubo,flg,0,Dragapult,other,11
scraped/flg_full/episode-88503060-replay.json,88503060,flg,Dries @ Tufa Labs,1,other,Grimmsnarl,9
scraped/flg_full/episode-88503665-replay.json,88503665,Team Rot-Weiß,flg,1,Alakazam,other,33
scraped/flg_full/episode-88504188-replay.json,88504188,john jiang zhifeng,flg,1,Alakazam,other,21
scraped/flg_full/episode-88504190-replay.json,88504190,flg,Dries @ Tufa Labs,0,other,Grimmsnarl,11
scraped/flg_full/episode-88504721-replay.json,88504721,flg,jiatu.l,0,other,Grimmsnarl,13
scraped/flg_full/episode-88505241-replay.json,88505241,A. R. SEKKAT,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88505247-replay.json,88505247,flg,LiamK,0,other,Grimmsnarl,11
scraped/flg_full/episode-88516949-replay.json,88516949,flg,__Taichicchi__,0,other,other,13
scraped/flg_full/episode-88516958-replay.json,88516958,insuperabilehart,flg,1,Grimmsnarl,other,7
scraped/flg_full/episode-88517496-replay.json,88517496,James Cox,flg,0,M-Kangaskhan,other,11
scraped/flg_full/episode-88517541-replay.json,88517541,flg,"Matheus, Dieter, Eduardo",1,other,other,13
scraped/flg_full/episode-88517543-replay.json,88517543,Dries @ Tufa Labs,flg,0,Grimmsnarl,other,13
scraped/flg_full/episode-88518070-replay.json,88518070,flg,Dominic Peel,0,other,Grimmsnarl,11
scraped/flg_full/episode-88518072-replay.json,88518072,flg,Pokemon Fan,0,other,Grimmsnarl,9
scraped/flg_full/episode-88518091-replay.json,88518091,Where is my orbit,flg,0,M-Kangaskhan,other,27
scraped/flg_full/episode-88518609-replay.json,88518609,"Matheus, Dieter, Eduardo",flg,1,other,other,13
scraped/flg_full/episode-88518615-replay.json,88518615,flg,Kelvin Lin BU,0,other,M-Kangaskhan,15
scraped/flg_full/episode-88518638-replay.json,88518638,flg,Pokopia,1,other,Grimmsnarl,9
scraped/flg_full/episode-88519147-replay.json,88519147,213tubo,flg,0,Dragapult,other,17
scraped/flg_full/episode-88519155-replay.json,88519155,flg,JZ,0,other,Grimmsnarl,11
scraped/flg_full/episode-88519687-replay.json,88519687,flg,James Cox,1,other,M-Kangaskhan,11
scraped/flg_full/episode-88520216-replay.json,88520216,flg,Iliamna,1,other,Grimmsnarl,9
scraped/flg_full/episode-88520222-replay.json,88520222,flg,Where is my orbit,0,other,M-Kangaskhan,11
scraped/flg_full/episode-88522904-replay.json,88522904,flg,Iliamna,0,other,Grimmsnarl,11
scraped/flg_full/episode-88523426-replay.json,88523426,flg,Rmy,0,other,Grimmsnarl,11
scraped/flg_full/episode-88523430-replay.json,88523430,Azat Akhtyamov,flg,0,Grimmsnarl,other,10
scraped/flg_full/episode-88523957-replay.json,88523957,flg,Pokemon Fan,1,other,Grimmsnarl,10
scraped/flg_full/episode-88523996-replay.json,88523996,flg,Pokémon Day Care,1,other,Grimmsnarl,7
scraped/flg_full/episode-88524503-replay.json,88524503,lollipop947,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88525120-replay.json,88525120,flg,Dominic Peel,0,other,Grimmsnarl,11
scraped/flg_full/episode-88525123-replay.json,88525123,Pushu?,flg,1,Alakazam,other,19
scraped/flg_full/episode-88520743-replay.json,88520743,flg,Pokemon Fan,0,other,Grimmsnarl,9
scraped/flg_full/episode-88521277-replay.json,88521277,flg,Yushin Ito,0,other,Alakazam,27
scraped/flg_full/episode-88521303-replay.json,88521303,kashiwashira,flg,0,other,other,15
scraped/flg_full/episode-88521806-replay.json,88521806,flg,Pokopia,0,other,Grimmsnarl,11
scraped/flg_full/episode-88522351-replay.json,88522351,flg,__Taichicchi__,0,other,Grimmsnarl,9
scraped/flg_full/episode-88522352-replay.json,88522352,Xiangyu Liu,flg,1,Grimmsnarl,other,13
scraped/flg_full/episode-88522882-replay.json,88522882,Raja Biswas,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88522888-replay.json,88522888,flg,LiamK,1,other,Grimmsnarl,7
scraped/flg_full/episode-88528783-replay.json,88528783,JZ,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88529432-replay.json,88529432,flg,James Cox,1,other,M-Kangaskhan,11
scraped/flg_full/episode-88529450-replay.json,88529450,Pokemon Siuuuu,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88530061-replay.json,88530061,flg,Hancang Mi,0,other,Grimmsnarl,11
scraped/flg_full/episode-88530672-replay.json,88530672,flg,roy,0,other,Crustle,3
scraped/flg_full/episode-88530696-replay.json,88530696,lmaffei,flg,0,M-Lopunny,other,13
scraped/flg_full/episode-88531267-replay.json,88531267,MamMr,flg,0,Grimmsnarl,other,13
scraped/flg_full/episode-88531286-replay.json,88531286,懒惰的金枪鱼,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88531859-replay.json,88531859,flg,Tanupro,1,other,Grimmsnarl,9
scraped/flg_full/episode-88532463-replay.json,88532463,Marshall Maximizer,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88542683-replay.json,88542683,flg,junseo lee,1,other,Garchomp,15
scraped/flg_full/episode-88553034-replay.json,88553034,haggle,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88553037-replay.json,88553037,Zhenyu Zhang,flg,1,Grimmsnarl,other,11
scraped/flg_full/episode-88562016-replay.json,88562016,flg,懒惰的金枪鱼,0,other,Grimmsnarl,11
scraped/flg_full/episode-88563230-replay.json,88563230,flg,youtube.com/@BigBugginnings,0,other,Dragapult,13
scraped/flg_full/episode-88570582-replay.json,88570582,flg,Tanupro,0,other,Grimmsnarl,11
scraped/flg_full/episode-88525723-replay.json,88525723,JZ,flg,0,Grimmsnarl,other,11
scraped/flg_full/episode-88526333-replay.json,88526333,flg,Luca,0,other,Grimmsnarl,9
scraped/flg_full/episode-88526961-replay.json,88526961,flg,Numaya AI,0,other,other,17
scraped/flg_full/episode-88526984-replay.json,88526984,flg,Team Rot-Weiß,0,other,Alakazam,15
scraped/flg_full/episode-88527562-replay.json,88527562,flg,LiamK,1,other,Grimmsnarl,9
scraped/flg_full/episode-88527568-replay.json,88527568,flg,Charmander & Meowth,1,other,Grimmsnarl,9
scraped/flg_full/episode-88528161-replay.json,88528161,flg,Yushin Ito,1,other,Alakazam,23
scraped/flg_full/episode-88528774-replay.json,88528774,flg,JZ,0,other,Grimmsnarl,13
scraped/flg_full/episode-88575040-replay.json,88575040,PRASHANT SHUKLA91,flg,1,Alakazam,other,17
scraped/flg_full/episode-88581455-replay.json,88581455,flg,yoikoarmor,0,other,M-Lucario,9
scraped/flg_full/episode-88583289-replay.json,88583289,flg,Made a Beautiful Bouquet,0,other,Grimmsnarl,9
scraped/flg_full/episode-88589083-replay.json,88589083,flg,Iliamna,0,other,Hydrapple,13
scraped/flg_full/episode-88593323-replay.json,88593323,flg,Iliamna,0,other,Hydrapple,11
scraped/flg_full/episode-88595695-replay.json,88595695,flg,James Cox,0,other,M-Kangaskhan,11
scraped/flg_full/episode-88596163-replay.json,88596163,flg,A. R. SEKKAT,0,other,Grimmsnarl,9
scraped/flg_full/episode-88599983-replay.json,88599983,Dries @ Tufa Labs,flg,1,Grimmsnarl,other,15
scraped/flg_full/episode-88600707-replay.json,88600707,less,flg,0,Grimmsnarl,other,13
scraped/flg_full/episode-88604252-replay.json,88604252,Raja Biswas,flg,1,Grimmsnarl,other,9
scraped/flg_full/episode-88607100-replay.json,88607100,flg,Charmander & Meowth,0,other,Grimmsnarl,9
scraped/flg_full/episode-88608013-replay.json,88608013,flg,insuperabilehart,0,other,Grimmsnarl,13
scraped/flg_full/episode-88609592-replay.json,88609592,ei1333,flg,1,Alakazam,other,19
scraped/flg_full/episode-88609902-replay.json,88609902,flg,Dries @ Tufa Labs,0,other,Grimmsnarl,9
scraped/flg_full/episode-88610372-replay.json,88610372,Rmy,flg,0,Grimmsnarl,other,9
scraped/flg_full/episode-88610414-replay.json,88610414,James Cox,flg,0,M-Kangaskhan,other,13
scraped/flg_full/episode-88641293-replay.json,88641293,James Cox,flg,0,M-Kangaskhan,other,9
