path,episode,p0,p1,winner,a0,a1,turns
scraped/ss_0813/episode-92719924-replay.json,92719924,Sixth Sense,Sixth Sense,1,Ogerpon,Ogerpon,9
scraped/ss_0813/episode-92720013-replay.json,92720013,Sixth Sense,Nao Komura,0,Ogerpon,other,13
scraped/ss_0813/episode-92720953-replay.json,92720953,PRINCE KUMAR YADAV,Sixth Sense,1,M-Lucario,Ogerpon,11
scraped/ss_0813/episode-92721901-replay.json,92721901,Sixth Sense,M2AI,0,Ogerpon,Archaludon,11
scraped/ss_0813/episode-92722817-replay.json,92722817,Sixth Sense,WinDecks,0,Ogerpon,M-Starmie,7
scraped/ss_0813/episode-92723742-replay.json,92723742,Breaking1800,Sixth Sense,1,M-Kangaskhan,Hydrapple,17
scraped/ss_0813/episode-92724685-replay.json,92724685,monisoi,Sixth Sense,1,other,Ogerpon,13
scraped/ss_0813/episode-92724846-replay.json,92724846,SORA,Sixth Sense,1,other,Ogerpon,15
scraped/ss_0813/episode-92755387-replay.json,92755387,ANDPAD kaggler team,Sixth Sense,1,Ogerpon,Ogerpon,11
scraped/ss_0813/episode-92756305-replay.json,92756305,Sixth Sense,LumenLiquidity,0,Ogerpon,Dragapult,13
scraped/ss_0813/episode-92757233-replay.json,92757233,Sixth Sense,THIRD PTCG Club,0,Ogerpon,Alakazam,13
scraped/ss_0813/episode-92758174-replay.json,92758174,Sixth Sense,M Sato,1,Ogerpon,M-Lopunny,9
scraped/ss_0813/episode-92759097-replay.json,92759097,Sixth Sense,Bryson Tang,0,Ogerpon,other,5
scraped/ss_0813/episode-92760019-replay.json,92760019,THIRD PTCG Club,Sixth Sense,0,Alakazam,Ogerpon,11
scraped/ss_0813/episode-92760945-replay.json,92760945,Sixth Sense,熱異常,1,Ogerpon,Ogerpon,9
scraped/ss_0813/episode-92761866-replay.json,92761866,李秉叡（ntumlnoob）,Sixth Sense,1,Dragapult,Ogerpon,9
scraped/ss_0813/episode-92733078-replay.json,92733078,熱異常,Sixth Sense,0,Ogerpon,Ogerpon,9
scraped/ss_0813/episode-92734017-replay.json,92734017,Sixth Sense,ANDPAD kaggler team,1,Ogerpon,Ogerpon,7
scraped/ss_0813/episode-92734960-replay.json,92734960,Thai,Sixth Sense,0,M-Kangaskhan,Ogerpon,9
scraped/ss_0813/episode-92735869-replay.json,92735869,Sixth Sense,M Sato,0,Ogerpon,M-Lopunny,9
scraped/ss_0813/episode-92736814-replay.json,92736814,Sixth Sense,ANDPAD kaggler team,0,Ogerpon,Ogerpon,9
scraped/ss_0813/episode-92737744-replay.json,92737744,Octavi Grau,Sixth Sense,1,Garchomp,Ogerpon,9
scraped/ss_0813/episode-92738667-replay.json,92738667,Sixth Sense,Raihan Ramadistra,1,Ogerpon,Dragapult,11
scraped/ss_0813/episode-92739632-replay.json,92739632,Sixth Sense,THIRD PTCG Club,0,Ogerpon,Alakazam,13
scraped/ss_0813/episode-92740520-replay.json,92740520,M Sato,Sixth Sense,1,M-Lopunny,Ogerpon,9
scraped/ss_0813/episode-92741449-replay.json,92741449,Sixth Sense,Аzat Akhtyamov,1,Ogerpon,Dragapult,9
scraped/ss_0813/episode-92742374-replay.json,92742374,Sixth Sense,LiamK,1,Ogerpon,Alakazam,7
scraped/ss_0813/episode-92743308-replay.json,92743308,Sixth Sense,Gaurav Goswami,0,Ogerpon,Grimmsnarl,11
scraped/ss_0813/episode-92744242-replay.json,92744242,Sixth Sense,solu199,0,Ogerpon,other,5
scraped/ss_0813/episode-92745175-replay.json,92745175,Sixth Sense,LumenLiquidity,0,Ogerpon,Dragapult,11
scraped/ss_0813/episode-92746091-replay.json,92746091,ANDPAD kaggler team,Sixth Sense,1,Ogerpon,Ogerpon,9
scraped/ss_0813/episode-92747021-replay.json,92747021,Rmy,Sixth Sense,1,Ogerpon,Ogerpon,9
