path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/kdcyberdude/91162422.json,91162422,@kdcyberdude,SQUIRTLE (prime),0,Grimmsnarl,Crustle,11
/Users/nickzwart/Desktop/kdcyberdude/91163327.json,91163327,Team Rot-Weiß,@kdcyberdude,0,Alakazam,Grimmsnarl,9
/Users/nickzwart/Desktop/kdcyberdude/91164201.json,91164201,GPT-5.6 Sol🏆,@kdcyberdude,1,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91165091.json,91165091,@kdcyberdude,lll,0,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91165968.json,91165968,kaito yama,@kdcyberdude,1,Archaludon,Grimmsnarl,10
/Users/nickzwart/Desktop/kdcyberdude/91166837.json,91166837,@kdcyberdude,NoOneAhead,0,Grimmsnarl,Grimmsnarl,17
/Users/nickzwart/Desktop/kdcyberdude/91167671.json,91167671,@kdcyberdude,takayosi,1,Grimmsnarl,Ogerpon,11
/Users/nickzwart/Desktop/kdcyberdude/91168586.json,91168586,loIzpo + emonga,@kdcyberdude,0,M-Lopunny,Grimmsnarl,15
/Users/nickzwart/Desktop/kdcyberdude/91149020.json,91149020,shimejimeshi,@kdcyberdude,1,Alakazam,Grimmsnarl,10
/Users/nickzwart/Desktop/kdcyberdude/91149902.json,91149902,hikaru_ishihara46,@kdcyberdude,1,Alakazam,Grimmsnarl,9
/Users/nickzwart/Desktop/kdcyberdude/91150783.json,91150783,tai,@kdcyberdude,1,other,Grimmsnarl,9
/Users/nickzwart/Desktop/kdcyberdude/91151684.json,91151684,Petit Canard,@kdcyberdude,1,M-Kangaskhan,Grimmsnarl,9
/Users/nickzwart/Desktop/kdcyberdude/91152561.json,91152561,AdrianWang2003,@kdcyberdude,1,Alakazam,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91153461.json,91153461,kuromoka,@kdcyberdude,1,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91154536.json,91154536,cm391,@kdcyberdude,0,M-Lopunny,Grimmsnarl,15
/Users/nickzwart/Desktop/kdcyberdude/91155386.json,91155386,@kdcyberdude,neuro168,0,Grimmsnarl,M-Kangaskhan,13
/Users/nickzwart/Desktop/kdcyberdude/91176549.json,91176549,@kdcyberdude,NorthStar,0,Grimmsnarl,Alakazam,11
/Users/nickzwart/Desktop/kdcyberdude/91177408.json,91177408,@kdcyberdude,tktkyamyam,1,Grimmsnarl,Ogerpon,9
/Users/nickzwart/Desktop/kdcyberdude/91178299.json,91178299,@kdcyberdude,213tubo,0,Grimmsnarl,M-Lucario,13
/Users/nickzwart/Desktop/kdcyberdude/91179206.json,91179206,Rafael,@kdcyberdude,1,Grimmsnarl,Grimmsnarl,9
/Users/nickzwart/Desktop/kdcyberdude/91180082.json,91180082,Clement Lau,@kdcyberdude,1,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91180973.json,91180973,@kdcyberdude,Kers Aoyagi,0,Grimmsnarl,Crustle,17
/Users/nickzwart/Desktop/kdcyberdude/91181873.json,91181873,@kdcyberdude,MissingNo.,0,Grimmsnarl,M-Kangaskhan,19
/Users/nickzwart/Desktop/kdcyberdude/91182752.json,91182752,@kdcyberdude,カントー地方マスター(KantoRegionMaster),0,Grimmsnarl,Grimmsnarl,19
/Users/nickzwart/Desktop/kdcyberdude/91169458.json,91169458,GuerillaMoon,@kdcyberdude,1,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91170348.json,91170348,@kdcyberdude,yu_w,0,Grimmsnarl,M-Kangaskhan,17
/Users/nickzwart/Desktop/kdcyberdude/91171234.json,91171234,stnick,@kdcyberdude,0,M-Lopunny,Grimmsnarl,15
/Users/nickzwart/Desktop/kdcyberdude/91172102.json,91172102,@kdcyberdude,Pokemon Siuuuu,0,Grimmsnarl,Dragapult,9
/Users/nickzwart/Desktop/kdcyberdude/91172991.json,91172991,Jonathan Coletti,@kdcyberdude,0,Alakazam,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91173866.json,91173866,@kdcyberdude,Lunariz,0,Grimmsnarl,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91174760.json,91174760,fishcat,@kdcyberdude,0,Grimmsnarl,Grimmsnarl,23
/Users/nickzwart/Desktop/kdcyberdude/91175644.json,91175644,JB Bryant,@kdcyberdude,1,M-Lopunny,Grimmsnarl,11
/Users/nickzwart/Desktop/kdcyberdude/91156248.json,91156248,T.Suzuki,@kdcyberdude,1,Crustle,Grimmsnarl,23
