path,episode,p0,p1,winner,a0,a1,turns
kd_fresh/_kdcyberdude/92186982.json,92186982,youtube.com/@BigBugginnings,@kdcyberdude,1,Dragapult,Ogerpon,33
kd_fresh/_kdcyberdude/92215099.json,92215099,@kdcyberdude,Kh0a,0,M-Kangaskhan,Dragapult,21
kd_fresh/_kdcyberdude/92215255.json,92215255,西松大祐,@kdcyberdude,1,Hydrapple,M-Kangaskhan,21
kd_fresh/_kdcyberdude/92216098.json,92216098,MarineYY,@kdcyberdude,1,M-Kangaskhan,M-Kangaskhan,29
kd_fresh/_kdcyberdude/92249697.json,92249697,goonew,@kdcyberdude,1,M-Kangaskhan,M-Kangaskhan,31
kd_fresh/_kdcyberdude/92249787.json,92249787,fishcat,@kdcyberdude,0,Alakazam,M-Kangaskhan,7
kd_fresh/_kdcyberdude/91909402.json,91909402,Shu Kato,@kdcyberdude,1,Grimmsnarl,Ogerpon,18
kd_fresh/_kdcyberdude/91923597.json,91923597,senkin13,@kdcyberdude,1,Grimmsnarl,M-Kangaskhan,17
kd_fresh/_kdcyberdude/91927282.json,91927282,nishikun,@kdcyberdude,1,M-Lopunny,M-Kangaskhan,20
kd_fresh/_kdcyberdude/91962797.json,91962797,hatata,@kdcyberdude,1,Ogerpon,Crustle,21
kd_fresh/_kdcyberdude/91963710.json,91963710,Team KASA.,@kdcyberdude,0,M-Lopunny,M-Kangaskhan,15
kd_fresh/_kdcyberdude/91982354.json,91982354,LumenLiquidity,@kdcyberdude,1,M-Lopunny,M-Kangaskhan,30
kd_fresh/_kdcyberdude/91983447.json,91983447,@kdcyberdude,タニシ,0,M-Kangaskhan,Ogerpon,17
kd_fresh/_kdcyberdude/91994650.json,91994650,@kdcyberdude,Kh0a,0,Ogerpon,Dragapult,19
kd_fresh/_kdcyberdude/92086623.json,92086623,@kdcyberdude,Gyoukou,1,M-Kangaskhan,M-Lucario,5
kd_fresh/_kdcyberdude/92094923.json,92094923,@kdcyberdude,atsushi11o7,0,M-Kangaskhan,M-Kangaskhan,27
kd_fresh/_kdcyberdude/92122189.json,92122189,☕ Psyduck Needs Coffee,@kdcyberdude,1,Grimmsnarl,M-Kangaskhan,23
kd_fresh/_kdcyberdude/92125074.json,92125074,@kdcyberdude,Kaikaku,0,M-Kangaskhan,Grimmsnarl,17
kd_fresh/_kdcyberdude/92161799.json,92161799,Yopta,@kdcyberdude,0,M-Lopunny,M-Kangaskhan,17
kd_fresh/_kdcyberdude/92168319.json,92168319,@kdcyberdude,Yopta,0,M-Kangaskhan,M-Lopunny,29
kd_fresh/_kdcyberdude/92170188.json,92170188,@kdcyberdude,Yopta,0,M-Kangaskhan,M-Lopunny,29
kd_fresh/_kdcyberdude/92173005.json,92173005,@kdcyberdude,Yopta,1,Crustle,M-Lopunny,9
kd_fresh/_kdcyberdude/92006712.json,92006712,pokemon master,@kdcyberdude,1,Hydrapple,Ogerpon,43
kd_fresh/_kdcyberdude/92012494.json,92012494,カントー地方マスター(KantoRegionMaster),@kdcyberdude,0,Grimmsnarl,M-Kangaskhan,21
kd_fresh/_kdcyberdude/92017247.json,92017247,haggle,@kdcyberdude,1,Dragapult,M-Kangaskhan,33
kd_fresh/_kdcyberdude/92023454.json,92023454,e-toppo + kurupical,@kdcyberdude,0,M-Lucario,M-Kangaskhan,15
kd_fresh/_kdcyberdude/92028226.json,92028226,@kdcyberdude,Phil_Hellmuth,0,M-Kangaskhan,Grimmsnarl,35
kd_fresh/_kdcyberdude/92067928.json,92067928,@kdcyberdude,ropeadope,0,M-Kangaskhan,M-Kangaskhan,29
kd_fresh/_kdcyberdude/92069746.json,92069746,@kdcyberdude,LumenLiquidity,1,M-Kangaskhan,Dragapult,18
kd_fresh/_kdcyberdude/92076523.json,92076523,山上海賊団,@kdcyberdude,1,Grimmsnarl,M-Kangaskhan,23
