path,episode,p0,p1,winner,a0,a1,turns
scraped/pair_0814/episode-92951314-replay.json,92951314,Kilupy,Mikhail,0,Dragapult,M-Lucario,9
scraped/pair_0814/episode-92951348-replay.json,92951348,Kilupy,NOISEFALLACY,1,Dragapult,M-Lucario,13
scraped/pair_0814/episode-92952241-replay.json,92952241,Kilupy,oh-Artistburger-AHA-TastyMeat!,0,Dragapult,M-Lucario,13
scraped/pair_0814/episode-92952279-replay.json,92952279,Kilupy,Brendan Gho,0,Dragapult,Archaludon,15
scraped/pair_0814/episode-92953177-replay.json,92953177,Kilupy,sanju25,1,other,Alakazam,3
scraped/pair_0814/episode-92953218-replay.json,92953218,西松大祐,Kilupy,1,Dragapult,Dragapult,11
scraped/pair_0814/episode-92954127-replay.json,92954127,ren110,Kilupy,0,M-Lucario,Dragapult,7
scraped/pair_0814/episode-92954162-replay.json,92954162,Kilupy,Attacker,1,Dragapult,Grimmsnarl,13
scraped/pair_0814/episode-92958805-replay.json,92958805,Kimiaki Nakamura,Kilupy,0,Dudunsparce,Dragapult,32
scraped/pair_0814/episode-92958822-replay.json,92958822,Kilupy,Samuil Petkov,0,Dragapult,Archaludon,9
scraped/pair_0814/episode-92959754-replay.json,92959754,Kilupy,hanhan761,0,Dragapult,M-Kangaskhan,13
scraped/pair_0814/episode-92959760-replay.json,92959760,Kilupy,jongyoon,0,Dragapult,M-Lucario,9
scraped/pair_0814/episode-92960682-replay.json,92960682,神奈川大学は国立大学,Kilupy,1,Alakazam,Dragapult,12
scraped/pair_0814/episode-92960690-replay.json,92960690,IShun,Kilupy,1,Dragapult,Dragapult,12
scraped/pair_0814/episode-92961617-replay.json,92961617,실험용생쥐,Kilupy,1,Alakazam,Dragapult,11
scraped/pair_0814/episode-92961622-replay.json,92961622,kumk,Kilupy,1,Alakazam,Dragapult,10
scraped/pair_0814/episode-92955057-replay.json,92955057,Kilupy,t-hash1995,0,Dragapult,M-Lucario,13
scraped/pair_0814/episode-92955083-replay.json,92955083,Kilupy,Bata09,0,Dragapult,Garchomp,11
scraped/pair_0814/episode-92955972-replay.json,92955972,Felipe Sens Bonetto ,Kilupy,0,other,Dragapult,17
scraped/pair_0814/episode-92956114-replay.json,92956114,Kilupy,DarkLayer,1,Dragapult,Ogerpon,17
scraped/pair_0814/episode-92956934-replay.json,92956934,Kilupy,hookbook,0,Dragapult,other,3
scraped/pair_0814/episode-92956952-replay.json,92956952,Kilupy,namopanda,0,Dragapult,Alakazam,13
scraped/pair_0814/episode-92957865-replay.json,92957865,Kilupy,Goalydumbdumb,0,Dragapult,Dragapult,15
scraped/pair_0814/episode-92957884-replay.json,92957884,osgggg,Kilupy,1,Dragapult,Dragapult,11
scraped/pair_0814/episode-92942809-replay.json,92942809,Kilupy,Kilupy,1,Dragapult,Dragapult,13
scraped/pair_0814/episode-92943822-replay.json,92943822,Kilupy,東アジアフォレストリバー探検隊,0,Dragapult,M-Starmie,11
scraped/pair_0814/episode-92944765-replay.json,92944765,Kilupy,tk.mit0127,1,Dragapult,Garchomp,13
scraped/pair_0814/episode-92945717-replay.json,92945717,This model's shxt,Kilupy,1,Alakazam,Dragapult,12
scraped/pair_0814/episode-92946516-replay.json,92946516,Kilupy,Kilupy,1,Dragapult,Dragapult,9
scraped/pair_0814/episode-92946611-replay.json,92946611,CaCao_JP,Kilupy,1,M-Lucario,Dragapult,11
scraped/pair_0814/episode-92946645-replay.json,92946645,hongan,Kilupy,1,Alakazam,Dragapult,10
scraped/pair_0814/episode-92947530-replay.json,92947530,Harsh Patel,Kilupy,0,Dragapult,Dragapult,12
scraped/pair_0814/episode-92962542-replay.json,92962542,Skibidi Six Seven,Kilupy,1,M-Kangaskhan,Dragapult,21
scraped/pair_0814/episode-92962545-replay.json,92962545,fabio rovai,Kilupy,1,other,Dragapult,11
