path,episode,p0,p1,winner,a0,a1,turns
./Palsystem/90882616.json,90882616,palsystem,M Sato,1,Ogerpon,Alakazam,8
./Palsystem/90883470.json,90883470,Oleksandr_Savsunenko,palsystem,1,M-Froslass,Ogerpon,11
./Palsystem/90884326.json,90884326,藤田聖矢,palsystem,1,M-Starmie,Ogerpon,7
./Palsystem/90885133.json,90885133,palsystem,Majkel1337,1,Ogerpon,M-Lucario,9
./Palsystem/90885979.json,90885979,THIRD PTCG Club,palsystem,1,Alakazam,Ogerpon,9
./Palsystem/90886821.json,90886821,Roman Nesterov,palsystem,0,M-Kangaskhan,Ogerpon,15
./Palsystem/90887660.json,90887660,palsystem,Brahim,0,Ogerpon,other,3
./Palsystem/90888495.json,90888495,palsystem,loIzpo + emonga,0,Ogerpon,M-Lopunny,9
./Palsystem/90869101.json,90869101,palsystem,KanaeKanae,0,Ogerpon,Grimmsnarl,3
./Palsystem/90869946.json,90869946,palsystem,KanaeKanae,0,Ogerpon,Grimmsnarl,13
./Palsystem/90870808.json,90870808,Funky,palsystem,1,M-Lopunny,Ogerpon,7
./Palsystem/90871644.json,90871644,palsystem,Marshall Maximizer,0,Ogerpon,M-Lopunny,9
./Palsystem/90872498.json,90872498,palsystem,Petit Canard,1,Ogerpon,Dragapult,13
./Palsystem/90873341.json,90873341,Where is my orbit,palsystem,1,M-Kangaskhan,Ogerpon,9
./Palsystem/90874170.json,90874170,カントー地方マスター(KantoRegionMaster),palsystem,1,Grimmsnarl,Ogerpon,11
./Palsystem/90875034.json,90875034,palsystem,fishcat,0,Ogerpon,Alakazam,11
./Palsystem/90889356.json,90889356,flg,palsystem,1,Grimmsnarl,Ogerpon,11
./Palsystem/90890196.json,90890196,M Sato,palsystem,0,Alakazam,Ogerpon,9
./Palsystem/90891039.json,90891039,palsystem,JB Bryant,0,Ogerpon,M-Lopunny,15
./Palsystem/90891880.json,90891880,Luca,palsystem,0,other,Ogerpon,11
./Palsystem/90892739.json,90892739,palsystem,AlphaStarmie,0,Ogerpon,Alakazam,11
./Palsystem/90893584.json,90893584,flg,palsystem,0,Grimmsnarl,Ogerpon,11
./Palsystem/90894520.json,90894520,Luca,palsystem,0,other,Ogerpon,13
./Palsystem/90895249.json,90895249,palsystem,Artalmaz31,0,Ogerpon,Ogerpon,7
./Palsystem/90896081.json,90896081,palsystem,Jack,0,Ogerpon,M-Lopunny,9
./Palsystem/90896980.json,90896980,palsystem,ShumpeiNomura,1,Ogerpon,M-Kangaskhan,9
./Palsystem/90897757.json,90897757,ShumpeiNomura,palsystem,1,M-Kangaskhan,Ogerpon,39
