path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/ogerpon/episode-92261583-replay.json,92261583,Kilupy,Kilupy,1,Ogerpon,Ogerpon,7
/Users/nickzwart/Desktop/ogerpon/episode-92261728-replay.json,92261728,Kilupy,Poke The Mon,1,Ogerpon,Alakazam,11
/Users/nickzwart/Desktop/ogerpon/episode-92262696-replay.json,92262696,Kilupy,lopert,0,Ogerpon,Grimmsnarl,13
/Users/nickzwart/Desktop/ogerpon/episode-92275007-replay.json,92275007,duong nguyen,Kilupy,1,M-Kangaskhan,Ogerpon,7
/Users/nickzwart/Desktop/ogerpon/episode-92275942-replay.json,92275942,Kilupy,[Deleted] f93f72aa-ca48-4829-8831-265cb3b5fc8c,0,Ogerpon,M-Lucario,11
/Users/nickzwart/Desktop/ogerpon/episode-92276882-replay.json,92276882,ankounabe114,Kilupy,1,Ogerpon,Ogerpon,11
/Users/nickzwart/Desktop/ogerpon/episode-92277824-replay.json,92277824,Kilupy,Golden Banana,0,Ogerpon,Grimmsnarl,9
/Users/nickzwart/Desktop/ogerpon/episode-92263626-replay.json,92263626,Kilupy,Borrun,1,other,Crustle,5
/Users/nickzwart/Desktop/ogerpon/episode-92264574-replay.json,92264574,Kilupy,すりーぴんぐ,1,Ogerpon,M-Kangaskhan,41
/Users/nickzwart/Desktop/ogerpon/episode-92265546-replay.json,92265546,Saikattyo,Kilupy,1,Alakazam,Ogerpon,12
/Users/nickzwart/Desktop/ogerpon/episode-92266472-replay.json,92266472,Kilupy,Insper TCG,0,Ogerpon,M-Starmie,9
/Users/nickzwart/Desktop/ogerpon/episode-92278751-replay.json,92278751,Kilupy,MAC,1,Ogerpon,Alakazam,7
/Users/nickzwart/Desktop/ogerpon/episode-92278762-replay.json,92278762,Samuels Winstons,Kilupy,1,other,Ogerpon,11
/Users/nickzwart/Desktop/ogerpon/episode-92279717-replay.json,92279717,Kilupy,Sorachi KATAYAMA,0,Ogerpon,Grimmsnarl,11
/Users/nickzwart/Desktop/ogerpon/episode-92280656-replay.json,92280656,Kilupy,haruki nishio,1,Ogerpon,Crustle,35
/Users/nickzwart/Desktop/ogerpon/episode-92267402-replay.json,92267402,Pioneer 2,Kilupy,0,Ogerpon,Ogerpon,13
/Users/nickzwart/Desktop/ogerpon/episode-92268364-replay.json,92268364,Shintaro Watanabe,Kilupy,0,M-Lopunny,Ogerpon,13
/Users/nickzwart/Desktop/ogerpon/episode-92269327-replay.json,92269327,Kilupy,AKIYA NAKASATO,1,Ogerpon,Crustle,23
/Users/nickzwart/Desktop/ogerpon/episode-92270275-replay.json,92270275,Neil Patel,Kilupy,0,M-Kangaskhan,Ogerpon,25
/Users/nickzwart/Desktop/ogerpon/episode-92271238-replay.json,92271238,Kilupy,NaviCE,0,Ogerpon,Grimmsnarl,13
/Users/nickzwart/Desktop/ogerpon/episode-92272176-replay.json,92272176,シン ソウイチロイ,Kilupy,1,other,Ogerpon,19
/Users/nickzwart/Desktop/ogerpon/episode-92273134-replay.json,92273134,Kilupy,Samsay24,1,Ogerpon,Crustle,35
/Users/nickzwart/Desktop/ogerpon/episode-92274075-replay.json,92274075,Kilupy,Zammaar Shafqat Malhi,1,Ogerpon,Crustle,37
/Users/nickzwart/Desktop/dragapult/episode-92266438-replay.json,92266438,Malla,Kilupy,0,M-Lucario,Dragapult,3
/Users/nickzwart/Desktop/dragapult/episode-92267391-replay.json,92267391,Kilupy,maaggle,0,Dragapult,M-Lucario,19
/Users/nickzwart/Desktop/dragapult/episode-92268326-replay.json,92268326,taka,Kilupy,1,Dragapult,Dragapult,9
/Users/nickzwart/Desktop/dragapult/episode-92269280-replay.json,92269280,波力海苔,Kilupy,0,Grimmsnarl,Dragapult,23
/Users/nickzwart/Desktop/ogerpon/episode-92281599-replay.json,92281599,Mykola Mazniuk,Kilupy,1,other,Ogerpon,9
/Users/nickzwart/Desktop/ogerpon/episode-92283521-replay.json,92283521,Kilupy,Aluder,1,Ogerpon,Alakazam,13
/Users/nickzwart/Desktop/dragapult/episode-92261581-replay.json,92261581,Kilupy,Kilupy,1,Dragapult,Dragapult,15
/Users/nickzwart/Desktop/dragapult/episode-92261729-replay.json,92261729,Kilupy,poalo824,0,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/dragapult/episode-92270229-replay.json,92270229,Kilupy,CUG HeQiao,1,Dragapult,Crustle,23
/Users/nickzwart/Desktop/dragapult/episode-92271094-replay.json,92271094,kirakira310,Kilupy,1,other,Dragapult,17
/Users/nickzwart/Desktop/dragapult/episode-92271191-replay.json,92271191,Kilupy,Cascade Matrix,0,Dragapult,other,7
/Users/nickzwart/Desktop/dragapult/episode-92272137-replay.json,92272137,Kilupy,Jules,1,Dragapult,M-Lucario,11
/Users/nickzwart/Desktop/dragapult/episode-92262672-replay.json,92262672,Kilupy,navazsh fathi,0,Dragapult,Archaludon,13
/Users/nickzwart/Desktop/dragapult/episode-92263608-replay.json,92263608,Kilupy,Shuhei Kuroiwa,1,Dragapult,M-Lucario,11
/Users/nickzwart/Desktop/dragapult/episode-92264556-replay.json,92264556,Shubham Phapale,Kilupy,0,M-Lucario,Dragapult,13
/Users/nickzwart/Desktop/dragapult/episode-92265523-replay.json,92265523,Kilupy,MYGEMER,0,Dragapult,M-Lucario,11
/Users/nickzwart/Desktop/dragapult/episode-92298108-replay.json,92298108,Kilupy,Ahad Khan,0,Dragapult,other,9
/Users/nickzwart/Desktop/dragapult/episode-92276850-replay.json,92276850,koiwashi,Kilupy,0,Dragapult,Dragapult,10
/Users/nickzwart/Desktop/dragapult/episode-92277797-replay.json,92277797,ETphonehome3876,Kilupy,1,other,Dragapult,14
/Users/nickzwart/Desktop/dragapult/episode-92278734-replay.json,92278734,PRASHANT SHUKLA91,Kilupy,1,Alakazam,Dragapult,12
/Users/nickzwart/Desktop/dragapult/episode-92279674-replay.json,92279674,Kilupy,klog,1,Dragapult,Grimmsnarl,17
/Users/nickzwart/Desktop/dragapult/episode-92273104-replay.json,92273104,R.I,Kilupy,0,M-Kangaskhan,Dragapult,29
/Users/nickzwart/Desktop/dragapult/episode-92274021-replay.json,92274021,Kilupy,Silhouette,0,Dragapult,M-Lucario,25
/Users/nickzwart/Desktop/dragapult/episode-92274942-replay.json,92274942,Kilupy,smokyjp,0,Dragapult,Crustle,23
/Users/nickzwart/Desktop/dragapult/episode-92275908-replay.json,92275908,Kilupy,kings,1,Dragapult,Grimmsnarl,11
/Users/nickzwart/Desktop/dragapult/episode-92283434-replay.json,92283434,sasanatu72,Kilupy,0,Archaludon,Dragapult,12
/Users/nickzwart/Desktop/dragapult/episode-92284406-replay.json,92284406,Kasra Rahjerdi,Kilupy,0,Archaludon,Dragapult,12
/Users/nickzwart/Desktop/dragapult/episode-92287910-replay.json,92287910,Sai Syam,Kilupy,1,Alakazam,Dragapult,10
