path,episode,p0,p1,winner,a0,a1,turns
scraped/ss_full/episode-89150434-replay.json,89150434,Oleksandr_Savsunenko,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89150936-replay.json,89150936,akmr,Sixth Sense,0,Alakazam,Grimmsnarl,13
scraped/ss_full/episode-89151444-replay.json,89151444,Sixth Sense,MTL Agent,0,Grimmsnarl,M-Kangaskhan,11
scraped/ss_full/episode-89151947-replay.json,89151947,Sixth Sense,Civitas,0,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89152442-replay.json,89152442,tedo,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89152952-replay.json,89152952,대답해드리는게인지상정,Sixth Sense,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89153469-replay.json,89153469,Team KASA.,Sixth Sense,0,Alakazam,Grimmsnarl,11
scraped/ss_full/episode-89153975-replay.json,89153975,Sixth Sense,Andrej Carpenter,0,Grimmsnarl,Alakazam,11
scraped/ss_full/episode-89164800-replay.json,89164800,Sixth Sense,flg,1,Grimmsnarl,M-Kangaskhan,17
scraped/ss_full/episode-89165326-replay.json,89165326,James Cox & Henry Chao,Sixth Sense,1,M-Kangaskhan,Grimmsnarl,13
scraped/ss_full/episode-89165827-replay.json,89165827,hinox13,Sixth Sense,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89165987-replay.json,89165987,李秉叡（ntumlnoob）,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89166346-replay.json,89166346,Sixth Sense,Dries @ Tufa Labs,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89166872-replay.json,89166872,qb,Sixth Sense,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89167394-replay.json,89167394,Sixth Sense,Xiangyu Liu,0,Grimmsnarl,Grimmsnarl,15
scraped/ss_full/episode-89167916-replay.json,89167916,Sixth Sense,RtoABC,0,Grimmsnarl,Dudunsparce,11
scraped/ss_full/episode-89158106-replay.json,89158106,Sixth Sense,A. R. SEKKAT,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89158774-replay.json,89158774,Dominic Peel,Sixth Sense,1,M-Kangaskhan,Grimmsnarl,17
scraped/ss_full/episode-89159136-replay.json,89159136,Sixth Sense,lollipop947,0,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89159249-replay.json,89159249,Sixth Sense,想要成为kaggle大师,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89159656-replay.json,89159656,Sixth Sense,Rmy,0,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89160159-replay.json,89160159,Sixth Sense,flxwld,0,Grimmsnarl,M-Kangaskhan,11
scraped/ss_full/episode-89160672-replay.json,89160672,Sixth Sense,Luca,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89160810-replay.json,89160810,nsytsqdtn,Sixth Sense,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89154482-replay.json,89154482,qb,Sixth Sense,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89154989-replay.json,89154989,Sixth Sense,SQUIRTLE (prime),0,Grimmsnarl,Grimmsnarl,17
scraped/ss_full/episode-89155502-replay.json,89155502,NorthStar,Sixth Sense,1,Grimmsnarl,Grimmsnarl,21
scraped/ss_full/episode-89156000-replay.json,89156000,Sixth Sense,zhangshuosc,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89156549-replay.json,89156549,Sixth Sense,宝糕手,0,Grimmsnarl,Dudunsparce,15
scraped/ss_full/episode-89157068-replay.json,89157068,CortexExplorer,Sixth Sense,1,other,Grimmsnarl,14
scraped/ss_full/episode-89157247-replay.json,89157247,James Cox & Henry Chao,Sixth Sense,0,M-Kangaskhan,Grimmsnarl,11
scraped/ss_full/episode-89157592-replay.json,89157592,Sixth Sense,Oshbocker,0,Grimmsnarl,M-Kangaskhan,17
scraped/ss_full/episode-89161191-replay.json,89161191,flg,Sixth Sense,0,M-Kangaskhan,Grimmsnarl,19
scraped/ss_full/episode-89161701-replay.json,89161701,Azat Akhtyamov,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89162212-replay.json,89162212,Sixth Sense,NguyenThanhNhan,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89162727-replay.json,89162727,JB Bryant,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89163228-replay.json,89163228,vvs,Sixth Sense,0,Grimmsnarl,Grimmsnarl,15
scraped/ss_full/episode-89163261-replay.json,89163261,HSBMAX,Sixth Sense,1,Grimmsnarl,Grimmsnarl,9
scraped/ss_full/episode-89163778-replay.json,89163778,Dries @ Tufa Labs,Sixth Sense,0,Grimmsnarl,Grimmsnarl,17
scraped/ss_full/episode-89164282-replay.json,89164282,Sixth Sense,ANDPAD kaggler team,0,Grimmsnarl,Grimmsnarl,19
scraped/ss_full/episode-89168428-replay.json,89168428,やる気元気ミワハルキ,Sixth Sense,0,Dudunsparce,Grimmsnarl,19
scraped/ss_full/episode-89168858-replay.json,89168858,Sixth Sense,Lior Toledano,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89169464-replay.json,89169464,Dominic Peel,Sixth Sense,0,Grimmsnarl,Grimmsnarl,17
scraped/ss_full/episode-89169979-replay.json,89169979,Sixth Sense,Md Omar Sunny,0,Grimmsnarl,other,9
scraped/ss_full/episode-89170482-replay.json,89170482,A. R. SEKKAT,Sixth Sense,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89170993-replay.json,89170993,Sixth Sense,西松大祐,0,Grimmsnarl,M-Kangaskhan,17
scraped/ss_full/episode-89171517-replay.json,89171517,Sixth Sense,vvs,0,Grimmsnarl,Grimmsnarl,9
scraped/ss_full/episode-89172023-replay.json,89172023,Sixth Sense,Iliamna,0,Grimmsnarl,Hydrapple,9
scraped/ss_full/episode-89201229-replay.json,89201229,Sixth Sense,flg,0,Grimmsnarl,Crustle,15
scraped/ss_full/episode-89201641-replay.json,89201641,Sixth Sense,flg,1,Grimmsnarl,M-Kangaskhan,23
scraped/ss_full/episode-89202158-replay.json,89202158,Yev Barkalov,Sixth Sense,1,Alakazam,Grimmsnarl,7
scraped/ss_full/episode-89202667-replay.json,89202667,Hiroki Yamazaki,Sixth Sense,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89203167-replay.json,89203167,Sixth Sense,bono,0,Grimmsnarl,other,9
scraped/ss_full/episode-89203174-replay.json,89203174,Sixth Sense,szlachetny snieg,1,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89203663-replay.json,89203663,カントー地方マスター(KantoRegionMaster),Sixth Sense,1,Hydrapple,Grimmsnarl,9
scraped/ss_full/episode-89203687-replay.json,89203687,flg,Sixth Sense,0,other,other,3
scraped/ss_full/episode-89191486-replay.json,89191486,Luca,Sixth Sense,1,Grimmsnarl,Grimmsnarl,12
scraped/ss_full/episode-89191917-replay.json,89191917,Sixth Sense,Pokemon Siuuuu,1,Grimmsnarl,Grimmsnarl,15
scraped/ss_full/episode-89192443-replay.json,89192443,Sixth Sense,James Cox & Henry Chao,0,Grimmsnarl,other,9
scraped/ss_full/episode-89192917-replay.json,89192917,Sixth Sense,MtN,0,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89193418-replay.json,89193418,Takaaki Matsuda,Sixth Sense,1,Archaludon,Grimmsnarl,13
scraped/ss_full/episode-89193928-replay.json,89193928,Sixth Sense,e-toppo + kurupical,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89194450-replay.json,89194450,Dominic Peel,Sixth Sense,0,Grimmsnarl,Grimmsnarl,15
scraped/ss_full/episode-89194921-replay.json,89194921,Rmy,Sixth Sense,0,Ogerpon,Grimmsnarl,9
scraped/ss_full/episode-89195493-replay.json,89195493,Rataro.S,Sixth Sense,1,other,Grimmsnarl,11
scraped/ss_full/episode-89196011-replay.json,89196011,Sixth Sense,haggle,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89196530-replay.json,89196530,Sixth Sense,keidroid,1,Grimmsnarl,Ogerpon,9
scraped/ss_full/episode-89196534-replay.json,89196534,Sixth Sense,LumenLiquidity,0,Grimmsnarl,Dragapult,13
scraped/ss_full/episode-89197050-replay.json,89197050,Dominic Peel,Sixth Sense,0,Grimmsnarl,Grimmsnarl,13
scraped/ss_full/episode-89197060-replay.json,89197060,{{ team_name }} 🏆,Sixth Sense,1,other,Grimmsnarl,9
scraped/ss_full/episode-89197576-replay.json,89197576,Sixth Sense,matsurih,1,Grimmsnarl,Grimmsnarl,11
scraped/ss_full/episode-89197594-replay.json,89197594,Sixth Sense,Iliamna,0,Grimmsnarl,Hydrapple,17
