path,episode,p0,p1,winner,a0,a1,turns
scraped/ss_oger_daily/episode-92938327-replay.json,92938327,kazuki0123,Sixth Sense,1,M-Kangaskhan,Ogerpon,13
scraped/ss_oger_daily/episode-92973892-replay.json,92973892,Sixth Sense,Dipam Chakraborty,0,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-92976599-replay.json,92976599,bono,Sixth Sense,1,other,Ogerpon,3
scraped/ss_oger_daily/episode-92982019-replay.json,92982019,カントー地方マスター(KantoRegionMaster),Sixth Sense,1,Dragapult,Ogerpon,11
scraped/ss_oger_daily/episode-92991382-replay.json,92991382,Sixth Sense,Kh0a,0,Ogerpon,Dragapult,17
scraped/ss_oger_daily/episode-93007299-replay.json,93007299,Sixth Sense,Luca,0,Ogerpon,M-Kangaskhan,19
scraped/ss_oger_daily/episode-93646803-replay.json,93646803,Sixth Sense,Sixth Sense,0,Ogerpon,Hydrapple,7
scraped/ss_oger_daily/episode-93646921-replay.json,93646921,yogimo,Sixth Sense,1,M-Lucario,Ogerpon,7
scraped/ss_oger_daily/episode-93647796-replay.json,93647796,耶✌,Sixth Sense,1,M-Lucario,Ogerpon,9
scraped/ss_oger_daily/episode-93648723-replay.json,93648723,Kaito Fukami,Sixth Sense,1,Grimmsnarl,Ogerpon,11
scraped/ss_oger_daily/episode-93649619-replay.json,93649619,takusemba,Sixth Sense,1,M-Starmie,Ogerpon,9
scraped/ss_oger_daily/episode-93650602-replay.json,93650602,Sixth Sense,Ruko,0,Ogerpon,Alakazam,11
scraped/ss_oger_daily/episode-93651446-replay.json,93651446,EliKal & greySnow,Sixth Sense,1,Dragapult,Ogerpon,11
scraped/ss_oger_daily/episode-93652374-replay.json,93652374,tokk,Sixth Sense,1,M-Kangaskhan,Ogerpon,15
scraped/ss_oger_daily/episode-93653286-replay.json,93653286,Sixth Sense,bono,0,Ogerpon,M-Kangaskhan,13
scraped/ss_oger_daily/episode-93653314-replay.json,93653314,Sixth Sense,AReg,0,Ogerpon,Grimmsnarl,9
scraped/ss_oger_daily/episode-93660586-replay.json,93660586,Sixth Sense,M Sato,1,Hydrapple,other,1
scraped/ss_oger_daily/episode-93661535-replay.json,93661535,Luca,Sixth Sense,1,Alakazam,Ogerpon,13
scraped/ss_oger_daily/episode-93662453-replay.json,93662453,筒井勝利,Sixth Sense,1,Alakazam,Ogerpon,13
scraped/ss_oger_daily/episode-93663354-replay.json,93663354,Sixth Sense,Roman Stupin,0,Ogerpon,Alakazam,11
scraped/ss_oger_daily/episode-93664091-replay.json,93664091,Boss's Orders Are All You Need,Sixth Sense,1,other,Ogerpon,5
scraped/ss_oger_daily/episode-93664381-replay.json,93664381,Sixth Sense,Luca,0,Ogerpon,M-Lucario,13
scraped/ss_oger_daily/episode-93665181-replay.json,93665181,palsystem,Sixth Sense,1,Dragapult,Ogerpon,25
scraped/ss_oger_daily/episode-93666096-replay.json,93666096,Sixth Sense,James Cox & Henry Chao,1,Ogerpon,M-Kangaskhan,7
scraped/ss_oger_daily/episode-93654204-replay.json,93654204,Sixth Sense,lollipop947,0,Ogerpon,M-Lopunny,9
scraped/ss_oger_daily/episode-93655117-replay.json,93655117,Sixth Sense,ANDPAD kaggler team,-1,Ogerpon,M-Kangaskhan,8
scraped/ss_oger_daily/episode-93656286-replay.json,93656286,Pokemon Siuuuu,Sixth Sense,1,Dragapult,Ogerpon,9
scraped/ss_oger_daily/episode-93656919-replay.json,93656919,Sixth Sense,李秉叡（ntumlnoob）,1,Ogerpon,Dragapult,11
scraped/ss_oger_daily/episode-93657832-replay.json,93657832,☕ Psyduck Needs Coffee,Sixth Sense,1,Grimmsnarl,Ogerpon,9
scraped/ss_oger_daily/episode-93658733-replay.json,93658733,Sixth Sense,Rmy,1,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-93659540-replay.json,93659540,Sixth Sense,hatry,0,Ogerpon,Dragapult,11
scraped/ss_oger_daily/episode-93659803-replay.json,93659803,KawattaTaido,Sixth Sense,0,M-Kangaskhan,Ogerpon,11
scraped/ss_oger_daily/episode-92832371-replay.json,92832371,Sixth Sense,Raihan Ramadistra,0,Ogerpon,Dragapult,11
scraped/ss_oger_daily/episode-92840791-replay.json,92840791,Sixth Sense,Raihan Ramadistra,1,Ogerpon,Dragapult,11
scraped/ss_oger_daily/episode-92847305-replay.json,92847305,Oshbocker,Sixth Sense,0,Dragapult,Ogerpon,13
scraped/ss_oger_daily/episode-92882674-replay.json,92882674,Rmy,Sixth Sense,0,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-92907701-replay.json,92907701,JEF UNITED CHIBA,Sixth Sense,1,M-Lucario,Ogerpon,13
scraped/ss_oger_daily/episode-92930089-replay.json,92930089,Sixth Sense,LiamK,1,Ogerpon,Ogerpon,7
scraped/ss_oger_daily/episode-92930870-replay.json,92930870,kashiwashira,Sixth Sense,1,other,Ogerpon,11
scraped/ss_oger_daily/episode-92931158-replay.json,92931158,Sixth Sense,熱異常,1,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-92774853-replay.json,92774853,Sixth Sense,Octavi Grau,0,Ogerpon,Garchomp,11
scraped/ss_oger_daily/episode-92778641-replay.json,92778641,Luca,Sixth Sense,0,M-Lucario,Ogerpon,13
scraped/ss_oger_daily/episode-92780315-replay.json,92780315,LiamK,Sixth Sense,0,Dragapult,Ogerpon,19
scraped/ss_oger_daily/episode-92787742-replay.json,92787742,LiamK,Sixth Sense,1,Dragapult,Ogerpon,11
scraped/ss_oger_daily/episode-92792376-replay.json,92792376,Petit Canard,Sixth Sense,0,Dragapult,Ogerpon,15
scraped/ss_oger_daily/episode-92792403-replay.json,92792403,LiamK,Sixth Sense,1,Dragapult,Ogerpon,13
scraped/ss_oger_daily/episode-92799003-replay.json,92799003,Sixth Sense,Dipam Chakraborty,0,Ogerpon,Ogerpon,7
scraped/ss_oger_daily/episode-92802526-replay.json,92802526,Sixth Sense,Kh0a,1,Ogerpon,Dragapult,13
scraped/ss_oger_daily/episode-93671626-replay.json,93671626,Rmy,Sixth Sense,0,Ogerpon,other,5
scraped/ss_oger_daily/episode-93672557-replay.json,93672557,Luca,Sixth Sense,1,other,Ogerpon,5
scraped/ss_oger_daily/episode-93673478-replay.json,93673478,Sixth Sense,ANDPAD kaggler team,0,Ogerpon,M-Kangaskhan,9
scraped/ss_oger_daily/episode-93677062-replay.json,93677062,213tubo,Sixth Sense,1,M-Kangaskhan,Ogerpon,11
scraped/ss_oger_daily/episode-93689579-replay.json,93689579,Oshbocker,Sixth Sense,0,M-Kangaskhan,Ogerpon,9
scraped/ss_oger_daily/episode-93692022-replay.json,93692022,Luca,Sixth Sense,0,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-93666156-replay.json,93666156,Rmy,Sixth Sense,0,Ogerpon,Ogerpon,11
scraped/ss_oger_daily/episode-93667012-replay.json,93667012,Sixth Sense,perrodawn,0,Ogerpon,Hydrapple,13
scraped/ss_oger_daily/episode-93667070-replay.json,93667070,Sixth Sense,Rmy,0,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-93667958-replay.json,93667958,flg,Sixth Sense,0,Dragapult,Ogerpon,13
scraped/ss_oger_daily/episode-93668897-replay.json,93668897,Rmy,Sixth Sense,1,Ogerpon,Ogerpon,9
scraped/ss_oger_daily/episode-93668959-replay.json,93668959,Sixth Sense,flg,1,Ogerpon,Dragapult,9
scraped/ss_oger_daily/episode-93669801-replay.json,93669801,Sixth Sense,李秉叡（ntumlnoob）,0,Ogerpon,Dragapult,13
scraped/ss_oger_daily/episode-93670703-replay.json,93670703,Sixth Sense,Unown Gradiant,1,Ogerpon,Ogerpon,9
