path,episode,p0,p1,winner,a0,a1,turns
scraped/top60_0814/episode-91561958-replay.json,91561958,AlphaStarmie,Saulo Quiñones Góngora,0,Grimmsnarl,Alakazam,13
scraped/top60_0814/episode-91596960-replay.json,91596960,kazuki0123,AlphaStarmie,1,M-Kangaskhan,Grimmsnarl,10
scraped/top60_0814/episode-91602333-replay.json,91602333,AlphaStarmie,nsytsqdtn,1,Grimmsnarl,Grimmsnarl,11
scraped/top60_0814/episode-91604959-replay.json,91604959,yalee,AlphaStarmie,1,Alakazam,Grimmsnarl,13
scraped/top60_0814/episode-91604999-replay.json,91604999,AlphaStarmie,タニシ,0,Grimmsnarl,Ogerpon,9
scraped/top60_0814/episode-91617979-replay.json,91617979,Boss's Orders Are All You Need,AlphaStarmie,0,M-Kangaskhan,Grimmsnarl,7
scraped/top60_0814/episode-91619776-replay.json,91619776,"Bart, Edwyn",AlphaStarmie,0,Alakazam,Grimmsnarl,11
scraped/top60_0814/episode-91625459-replay.json,91625459,AlphaStarmie,タニシ,0,Grimmsnarl,Ogerpon,11
scraped/top60_0814/episode-91012088-replay.json,91012088,ぴかぴ＠ポケカ,AlphaStarmie,1,other,Grimmsnarl,9
scraped/top60_0814/episode-91012941-replay.json,91012941,AlphaStarmie,たけまる,0,Grimmsnarl,Alakazam,13
scraped/top60_0814/episode-91013786-replay.json,91013786,AlphaStarmie,Dustin Rubin,0,Grimmsnarl,M-Kangaskhan,9
scraped/top60_0814/episode-91014646-replay.json,91014646,AlphaStarmie,Rin'z Uznir,0,Grimmsnarl,M-Lucario,11
scraped/top60_0814/episode-91015482-replay.json,91015482,AlphaStarmie,ヌメルゴンex,0,Grimmsnarl,Grimmsnarl,13
scraped/top60_0814/episode-91016319-replay.json,91016319,AlphaStarmie,SQUIRTLE (prime),0,Grimmsnarl,M-Kangaskhan,15
scraped/top60_0814/episode-91017200-replay.json,91017200,MR.h,AlphaStarmie,1,Alakazam,Grimmsnarl,9
scraped/top60_0814/episode-91018005-replay.json,91018005,AlphaStarmie,peeta pit,0,Grimmsnarl,Grimmsnarl,11
scraped/top60_0814/episode-91005279-replay.json,91005279,AlphaStarmie,AlphaStarmie,1,Grimmsnarl,Grimmsnarl,13
scraped/top60_0814/episode-91006194-replay.json,91006194,浦山拓樹,AlphaStarmie,1,M-Lucario,Grimmsnarl,7
scraped/top60_0814/episode-91007043-replay.json,91007043,tanako-,AlphaStarmie,1,Alakazam,Grimmsnarl,11
scraped/top60_0814/episode-91007903-replay.json,91007903,Matthew Huang,AlphaStarmie,1,M-Lucario,Grimmsnarl,7
scraped/top60_0814/episode-91008740-replay.json,91008740,Byer Script,AlphaStarmie,1,Grimmsnarl,Grimmsnarl,9
scraped/top60_0814/episode-91009661-replay.json,91009661,tarou_imokenpi,AlphaStarmie,0,M-Lucario,Grimmsnarl,11
