path,episode,p0,p1,winner,a0,a1,turns
top_fresh/Dipam Chakraborty/92391765.json,92391765,Aqib Javed,Dipam Chakraborty,0,Alakazam,Ogerpon,14
top_fresh/Dipam Chakraborty/92393745.json,92393745,ErliCai,Dipam Chakraborty,1,other,Ogerpon,3
top_fresh/Dipam Chakraborty/92394631.json,92394631,haggle,Dipam Chakraborty,1,Alakazam,Ogerpon,13
top_fresh/Dipam Chakraborty/92395371.json,92395371,Dipam Chakraborty,Funky,0,Ogerpon,M-Lopunny,7
top_fresh/Dipam Chakraborty/92395379.json,92395379,Vibrava,Dipam Chakraborty,0,other,Ogerpon,15
top_fresh/Dipam Chakraborty/92403894.json,92403894,Dipam Chakraborty,☕ Psyduck Needs Coffee,0,Ogerpon,Grimmsnarl,9
top_fresh/Dipam Chakraborty/92409432.json,92409432,Dipam Chakraborty,カントー地方マスター(KantoRegionMaster),0,Ogerpon,Grimmsnarl,9
top_fresh/Dipam Chakraborty/92413168.json,92413168,pokemon master,Dipam Chakraborty,1,M-Lopunny,Ogerpon,7
top_fresh/Dipam Chakraborty/92377728.json,92377728,tktkyamyam,Dipam Chakraborty,1,Ogerpon,Ogerpon,7
top_fresh/Dipam Chakraborty/92378664.json,92378664,Dipam Chakraborty,vvs,0,Ogerpon,Alakazam,13
top_fresh/Dipam Chakraborty/92379602.json,92379602,Dipam Chakraborty,Xiangyu Liu,0,Ogerpon,M-Kangaskhan,9
top_fresh/Dipam Chakraborty/92380582.json,92380582,MtN,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92381491.json,92381491,H. Ashida,Dipam Chakraborty,1,M-Lopunny,Ogerpon,7
top_fresh/Dipam Chakraborty/92382415.json,92382415,Dipam Chakraborty,e-toppo + kurupical,0,Ogerpon,Dragapult,11
top_fresh/Dipam Chakraborty/92383354.json,92383354,共逐荣光,Dipam Chakraborty,1,M-Kangaskhan,Ogerpon,17
top_fresh/Dipam Chakraborty/92384272.json,92384272,Dipam Chakraborty,Komil Parmar,0,Ogerpon,M-Lopunny,13
top_fresh/Dipam Chakraborty/92359678.json,92359678,Dipam Chakraborty,Dipam Chakraborty,0,Ogerpon,Ogerpon,13
top_fresh/Dipam Chakraborty/92359773.json,92359773,Dipam Chakraborty,CHAEHYUN LIM2,0,Ogerpon,M-Lucario,7
top_fresh/Dipam Chakraborty/92360092.json,92360092,Dipam Chakraborty,火箭队,0,Ogerpon,Alakazam,13
top_fresh/Dipam Chakraborty/92360722.json,92360722,Dipam Chakraborty,Surya Bhattiprol,0,Ogerpon,Grimmsnarl,11
top_fresh/Dipam Chakraborty/92361664.json,92361664,probflun,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92362611.json,92362611,Dipam Chakraborty,"kenkoooo @ estie, inc.",0,Ogerpon,Alakazam,13
top_fresh/Dipam Chakraborty/92363548.json,92363548,Reinforce Pokemons,Dipam Chakraborty,1,Alakazam,Ogerpon,15
top_fresh/Dipam Chakraborty/92363737.json,92363737,{{ team_name }} 🏆,Dipam Chakraborty,1,M-Lopunny,Ogerpon,7
top_fresh/Dipam Chakraborty/92371114.json,92371114,Blu3s & Ausrine,Dipam Chakraborty,0,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92372082.json,92372082,Dipam Chakraborty,BC+,0,Ogerpon,Alakazam,11
top_fresh/Dipam Chakraborty/92373025.json,92373025,Dipam Chakraborty,AdrianWang2003,0,Ogerpon,Alakazam,13
top_fresh/Dipam Chakraborty/92373220.json,92373220,gecogeco,Dipam Chakraborty,1,M-Kangaskhan,Ogerpon,11
top_fresh/Dipam Chakraborty/92373984.json,92373984,哈基米南北绿豆,Dipam Chakraborty,0,Alakazam,Ogerpon,11
top_fresh/Dipam Chakraborty/92374915.json,92374915,tokk,Dipam Chakraborty,0,M-Kangaskhan,Ogerpon,23
top_fresh/Dipam Chakraborty/92375855.json,92375855,huaiyuyoung,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92376800.json,92376800,kishingo,Dipam Chakraborty,1,other,Ogerpon,11
top_fresh/Dipam Chakraborty/92364509.json,92364509,HCRL,Dipam Chakraborty,0,M-Lopunny,Ogerpon,17
top_fresh/Dipam Chakraborty/92365460.json,92365460,タニシ,Dipam Chakraborty,0,Ogerpon,Ogerpon,23
top_fresh/Dipam Chakraborty/92366410.json,92366410,Mew World Order,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92367331.json,92367331,Dipam Chakraborty,liuliuliu0601,0,Ogerpon,Garchomp,13
top_fresh/Dipam Chakraborty/92368289.json,92368289,mealck,Dipam Chakraborty,0,Alakazam,Ogerpon,13
top_fresh/Dipam Chakraborty/92369227.json,92369227,Dipam Chakraborty,PP kawada,1,Ogerpon,Hydrapple,11
top_fresh/Dipam Chakraborty/92370178.json,92370178,Dipam Chakraborty,失忆的海_,0,Ogerpon,Grimmsnarl,9
top_fresh/Dipam Chakraborty/92371004.json,92371004,Dipam Chakraborty,MPGaming,1,Ogerpon,M-Kangaskhan,19
top_fresh/Dipam Chakraborty/92385204.json,92385204,Dipam Chakraborty,mealck,0,Ogerpon,Alakazam,13
top_fresh/Dipam Chakraborty/92386145.json,92386145,hatry,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,11
top_fresh/Dipam Chakraborty/92387078.json,92387078,Dipam Chakraborty,Anjana mohan,1,Ogerpon,Archaludon,21
top_fresh/Dipam Chakraborty/92388054.json,92388054,Dipam Chakraborty,presucc,0,Ogerpon,Alakazam,11
top_fresh/Dipam Chakraborty/92388976.json,92388976,JB Bryant,Dipam Chakraborty,1,Dragapult,Ogerpon,9
top_fresh/Dipam Chakraborty/92388979.json,92388979,Dipam Chakraborty,Laura,0,Ogerpon,Ogerpon,9
top_fresh/Dipam Chakraborty/92389909.json,92389909,Dipam Chakraborty,matsurih,1,Ogerpon,Grimmsnarl,12
top_fresh/Dipam Chakraborty/92390830.json,92390830,Dipam Chakraborty,ZETADIVISION,0,Ogerpon,Dudunsparce,11
top_fresh/Dipam Chakraborty/92416879.json,92416879,Dipam Chakraborty,goonew,0,Ogerpon,Dragapult,9
top_fresh/Dipam Chakraborty/92417794.json,92417794,Dipam Chakraborty,flxwld,0,Ogerpon,Grimmsnarl,11
top_fresh/Dipam Chakraborty/92418754.json,92418754,THIRD PTCG Club,Dipam Chakraborty,0,Alakazam,Ogerpon,11
top_fresh/Dipam Chakraborty/92419291.json,92419291,Dipam Chakraborty,Dipam Chakraborty,1,Dragapult,Dragapult,13
top_fresh/Dipam Chakraborty/92420300.json,92420300,ASAGAO,Dipam Chakraborty,0,other,Dragapult,11
top_fresh/Dipam Chakraborty/92421235.json,92421235,Dipam Chakraborty,Bùi Đức Anh,0,Dragapult,other,3
top_fresh/Dipam Chakraborty/92422153.json,92422153,Mathieu W,Dipam Chakraborty,1,Archaludon,Dragapult,34
top_fresh/Dipam Chakraborty/92423078.json,92423078,corelattice,Dipam Chakraborty,1,Archaludon,Dragapult,28
top_fresh/Dipam Chakraborty/92435365.json,92435365,I4Kaggle,Dipam Chakraborty,1,Grimmsnarl,Ogerpon,9
top_fresh/Dipam Chakraborty/92436153.json,92436153,Dipam Chakraborty,PKM Masters,1,Dragapult,Alakazam,13
top_fresh/Dipam Chakraborty/92436197.json,92436197,Dipam Chakraborty,giacomovin,0,Ogerpon,M-Lopunny,11
top_fresh/Dipam Chakraborty/92437086.json,92437086,Dipam Chakraborty,Ilan Schapira,0,Dragapult,Crustle,17
top_fresh/Dipam Chakraborty/92438007.json,92438007,Max Replays,Dipam Chakraborty,1,Alakazam,Dragapult,13
top_fresh/Dipam Chakraborty/92438939.json,92438939,Juyong,Dipam Chakraborty,1,Alakazam,Dragapult,11
top_fresh/Dipam Chakraborty/92439872.json,92439872,Dipam Chakraborty,lollipop947,0,Dragapult,M-Froslass,9
top_fresh/Dipam Chakraborty/92440809.json,92440809,Changyuan Chen,Dipam Chakraborty,1,Ogerpon,Dragapult,11
top_fresh/Dipam Chakraborty/92429569.json,92429569,Dipam Chakraborty,L-WALID,0,Dragapult,Archaludon,7
top_fresh/Dipam Chakraborty/92430520.json,92430520,Dipam Chakraborty,SORA,0,Dragapult,other,51
top_fresh/Dipam Chakraborty/92431415.json,92431415,Dipam Chakraborty,ntk_ta01,0,Dragapult,M-Kangaskhan,11
top_fresh/Dipam Chakraborty/92432331.json,92432331,Pokér-man,Dipam Chakraborty,1,Alakazam,Dragapult,13
top_fresh/Dipam Chakraborty/92433258.json,92433258,Dipam Chakraborty,cherlilly,0,Dragapult,Alakazam,11
top_fresh/Dipam Chakraborty/92433486.json,92433486,Dipam Chakraborty,Sixth Sense,1,Ogerpon,Alakazam,9
top_fresh/Dipam Chakraborty/92434260.json,92434260,Dipam Chakraborty,f_u,0,Dragapult,Grimmsnarl,11
top_fresh/Dipam Chakraborty/92435214.json,92435214,neibyr,Dipam Chakraborty,0,Grimmsnarl,Dragapult,11
top_fresh/Dipam Chakraborty/92423993.json,92423993,keita,Dipam Chakraborty,1,Alakazam,Ogerpon,13
top_fresh/Dipam Chakraborty/92423994.json,92423994,Banjo,Dipam Chakraborty,0,other,Dragapult,11
top_fresh/Dipam Chakraborty/92424917.json,92424917,MYOUCER,Dipam Chakraborty,1,Grimmsnarl,Dragapult,11
top_fresh/Dipam Chakraborty/92425851.json,92425851,KentoKuri,Dipam Chakraborty,1,Hydrapple,Dragapult,11
top_fresh/Dipam Chakraborty/92426782.json,92426782,Dipam Chakraborty,Gronk,0,Dragapult,M-Kangaskhan,43
top_fresh/Dipam Chakraborty/92427725.json,92427725,Dipam Chakraborty,Aizat Kashapov,0,Dragapult,Alakazam,7
top_fresh/Dipam Chakraborty/92428641.json,92428641,Dipam Chakraborty,keidroid,1,Dragapult,Ogerpon,13
top_fresh/Dipam Chakraborty/92428789.json,92428789,Dipam Chakraborty,Sixth Sense,1,Ogerpon,Dragapult,11
top_fresh/Dipam Chakraborty/92441738.json,92441738,NekoChan-NekoChan,Dipam Chakraborty,0,M-Lucario,Dragapult,18
top_fresh/Dipam Chakraborty/92442677.json,92442677,Dipam Chakraborty,hinox13,0,Dragapult,Hydrapple,11
top_fresh/Dipam Chakraborty/92443585.json,92443585,lll,Dipam Chakraborty,0,Grimmsnarl,Dragapult,13
top_fresh/Dipam Chakraborty/92444523.json,92444523,Dipam Chakraborty,WinDecks,0,Dragapult,M-Starmie,9
top_fresh/Dipam Chakraborty/92445429.json,92445429,@kdcyberdude,Dipam Chakraborty,1,M-Kangaskhan,Dragapult,19
top_fresh/Dipam Chakraborty/92446363.json,92446363,Dipam Chakraborty,Ars Noveau,1,Dragapult,Grimmsnarl,11
top_fresh/Dipam Chakraborty/92446536.json,92446536,Dipam Chakraborty,cocosu3434,0,Ogerpon,Ogerpon,11
top_fresh/Dipam Chakraborty/92447294.json,92447294,Аzat Akhtyamov,Dipam Chakraborty,0,Grimmsnarl,Dragapult,13
top_fresh/Dipam Chakraborty/92448211.json,92448211,youtube.com/@BigBugginnings,Dipam Chakraborty,0,Dragapult,Dragapult,19
top_fresh/Dipam Chakraborty/92449153.json,92449153,Tony Li,Dipam Chakraborty,1,Grimmsnarl,Dragapult,11
top_fresh/Dipam Chakraborty/92450078.json,92450078,Ash Ketchum,Dipam Chakraborty,1,Grimmsnarl,Dragapult,17
top_fresh/Dipam Chakraborty/92451000.json,92451000,Mint120,Dipam Chakraborty,1,Grimmsnarl,Dragapult,13
top_fresh/Dipam Chakraborty/92451926.json,92451926,Dipam Chakraborty,syuuuuu,0,Dragapult,Grimmsnarl,13
top_fresh/Dipam Chakraborty/92452846.json,92452846,Fitalabs,Dipam Chakraborty,1,Alakazam,Dragapult,13
top_fresh/Dipam Chakraborty/92453778.json,92453778,piyomaru,Dipam Chakraborty,0,M-Lucario,Dragapult,11
top_fresh/Dipam Chakraborty/92454718.json,92454718,Dreamer,Dipam Chakraborty,1,Grimmsnarl,Dragapult,11
top_fresh/Dipam Chakraborty/92454851.json,92454851,Dipam Chakraborty,KawattaTaido,0,Ogerpon,Grimmsnarl,11
top_fresh/Dipam Chakraborty/92455566.json,92455566,xamad,Dipam Chakraborty,1,Alakazam,Dragapult,15
top_fresh/Dipam Chakraborty/92456581.json,92456581,djschmit,Dipam Chakraborty,0,M-Lopunny,Dragapult,15
top_fresh/Dipam Chakraborty/92457512.json,92457512,ropeadope,Dipam Chakraborty,1,Crustle,Dragapult,3
top_fresh/Dipam Chakraborty/92458445.json,92458445,Dipam Chakraborty,懒惰的金枪鱼,1,Dragapult,Grimmsnarl,15
top_fresh/Dipam Chakraborty/92459367.json,92459367,cununn,Dipam Chakraborty,1,Grimmsnarl,Dragapult,9
top_fresh/Dipam Chakraborty/92460299.json,92460299,The Bitter Lesson,Dipam Chakraborty,1,M-Kangaskhan,Dragapult,15
top_fresh/Dipam Chakraborty/92461226.json,92461226,Dipam Chakraborty,youtube.com/@BigBugginnings,0,Dragapult,Dragapult,11
top_fresh/Dipam Chakraborty/92470444.json,92470444,"Bart, Edwyn",Dipam Chakraborty,1,Alakazam,Dragapult,9
