path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/V5_13082026/episode-92615677-replay.json,92615677,S3R3Bii,Kilupy,1,M-Starmie,Dragapult,12
/Users/nickzwart/Desktop/V5_13082026/episode-92616598-replay.json,92616598,Kyohei,Kilupy,1,Alakazam,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92616627-replay.json,92616627,Chattso-GPT (Yasuhito Yanagisawa),Kilupy,1,Alakazam,Dragapult,8
/Users/nickzwart/Desktop/V5_13082026/episode-92617538-replay.json,92617538,huaiyuyoung,Kilupy,0,Grimmsnarl,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92610848-replay.json,92610848,Kilupy,Kilupy,1,Dragapult,Dragapult,17
/Users/nickzwart/Desktop/V5_13082026/episode-92610851-replay.json,92610851,Kilupy,Kilupy,0,Dragapult,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92610955-replay.json,92610955,Kilupy,Sugano Yuta,0,Dragapult,M-Lucario,9
/Users/nickzwart/Desktop/V5_13082026/episode-92614697-replay.json,92614697,Kilupy,Seasaw,0,Dragapult,other,17
/Users/nickzwart/Desktop/V5_13082026/episode-92614714-replay.json,92614714,Kilupy,LPNG,1,Dragapult,Crustle,19
/Users/nickzwart/Desktop/V5_13082026/episode-92615642-replay.json,92615642,Kilupy,低消650元任你吃啊,0,Dragapult,Grimmsnarl,13
/Users/nickzwart/Desktop/V5_13082026/episode-92615665-replay.json,92615665,Kilupy,Masahiko Matsui,1,Dragapult,Archaludon,9
/Users/nickzwart/Desktop/V5_13082026/episode-92617587-replay.json,92617587,Kilupy,NayuNayu,1,Dragapult,Dragapult,15
/Users/nickzwart/Desktop/V5_13082026/episode-92618478-replay.json,92618478,Kilupy,Davi Ferreira,1,Dragapult,M-Kangaskhan,11
/Users/nickzwart/Desktop/V5_13082026/episode-92618508-replay.json,92618508,Kilupy,sota1111,0,Dragapult,other,9
/Users/nickzwart/Desktop/V5_13082026/episode-92618742-replay.json,92618742,Kilupy,Jonathan Coletti,0,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/V5_13082026/episode-92610956-replay.json,92610956,Kilupy,gsc01,0,Dragapult,Crustle,17
/Users/nickzwart/Desktop/V5_13082026/episode-92611858-replay.json,92611858,Eruto Kondo,Kilupy,1,M-Starmie,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92611874-replay.json,92611874,Kilupy,Zer0 Karat,1,Dragapult,M-Lucario,13
/Users/nickzwart/Desktop/V5_13082026/episode-92612801-replay.json,92612801,Kilupy,Chipping Spearow,0,Dragapult,Alakazam,15
/Users/nickzwart/Desktop/V5_13082026/episode-92612814-replay.json,92612814,Vlas Veles,Kilupy,1,M-Lucario,Dragapult,23
/Users/nickzwart/Desktop/V5_13082026/episode-92612825-replay.json,92612825,Kapilraj R,Kilupy,0,M-Lucario,Dragapult,9
/Users/nickzwart/Desktop/V5_13082026/episode-92613742-replay.json,92613742,Lixin73,Kilupy,1,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92613774-replay.json,92613774,Kilupy,박강찬,0,Dragapult,Alakazam,15
/Users/nickzwart/Desktop/V5_13082026/episode-92619420-replay.json,92619420,⊂( ᴖ ̫ᴖ)⊃ ⊂(ᴖ ̫ᴖ )⊃,Kilupy,1,Dragapult,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92619445-replay.json,92619445,Kilupy,Hong Dae Kim,0,Dragapult,Grimmsnarl,15
/Users/nickzwart/Desktop/V5_13082026/episode-92620287-replay.json,92620287,Kilupy,Zarkys,0,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/V5_13082026/episode-92620358-replay.json,92620358,Topdecking is All You Need,Kilupy,1,other,Dragapult,7
/Users/nickzwart/Desktop/V5_13082026/episode-92620388-replay.json,92620388,Kilupy,Pascal Schneider,0,Dragapult,M-Lucario,13
/Users/nickzwart/Desktop/V5_13082026/episode-92621301-replay.json,92621301,yuji y,Kilupy,0,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92621323-replay.json,92621323,tantk7,Kilupy,0,Archaludon,Dragapult,10
/Users/nickzwart/Desktop/V5_13082026/episode-92622242-replay.json,92622242,Kilupy,Yichen Ao,1,Dragapult,Grimmsnarl,11
/Users/nickzwart/Desktop/V5_13082026/episode-92622272-replay.json,92622272,しゃけた,Kilupy,1,M-Lucario,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92623177-replay.json,92623177,Kilupy,Juyong,1,Dragapult,Alakazam,15
/Users/nickzwart/Desktop/V5_13082026/episode-92623183-replay.json,92623183,Kilupy,Alvin Li,1,Dragapult,Archaludon,13
/Users/nickzwart/Desktop/V5_13082026/episode-92624137-replay.json,92624137,Kilupy,TMMT,1,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/V5_13082026/episode-92624171-replay.json,92624171,Kilupy,Hao Boyuan,0,Dragapult,other,11
/Users/nickzwart/Desktop/V5_13082026/episode-92625082-replay.json,92625082,Ken Zhou,Kilupy,1,Grimmsnarl,Dragapult,15
/Users/nickzwart/Desktop/V5_13082026/episode-92625109-replay.json,92625109,Koki Funahashi,Kilupy,0,Alakazam,Dragapult,12
/Users/nickzwart/Desktop/V5_13082026/episode-92626021-replay.json,92626021,Team Pierogachu,Kilupy,1,Alakazam,Dragapult,15
/Users/nickzwart/Desktop/V5_13082026/episode-92626093-replay.json,92626093,Charmander & Meowth,Kilupy,0,Garchomp,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92626991-replay.json,92626991,Kilupy,Iliamna,1,Dragapult,Grimmsnarl,9
/Users/nickzwart/Desktop/V5_13082026/episode-92627045-replay.json,92627045,Kilupy,Amr Yasser,0,Dragapult,Grimmsnarl,11
/Users/nickzwart/Desktop/V5_13082026/episode-92627923-replay.json,92627923,DarkLayer,Kilupy,1,Ogerpon,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92627940-replay.json,92627940,Kilupy,takaygiiiiiiii,0,Dragapult,Grimmsnarl,13
/Users/nickzwart/Desktop/V5_13082026/episode-92628859-replay.json,92628859,Kilupy,Rostislav,1,Dragapult,Grimmsnarl,9
/Users/nickzwart/Desktop/V5_13082026/episode-92628885-replay.json,92628885,kosuke-shimizu,Kilupy,0,Dragapult,Dragapult,14
/Users/nickzwart/Desktop/V5_13082026/episode-92629802-replay.json,92629802,Kilupy,Unicorn,1,Dragapult,other,17
/Users/nickzwart/Desktop/V5_13082026/episode-92629823-replay.json,92629823,Kilupy,Sanyam Jain,1,Dragapult,M-Lucario,11
/Users/nickzwart/Desktop/V5_13082026/episode-92630745-replay.json,92630745,Артём Свинобоев,Kilupy,0,Archaludon,Dragapult,12
/Users/nickzwart/Desktop/V5_13082026/episode-92630778-replay.json,92630778,K-Iwa_777,Kilupy,0,M-Lucario,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92630792-replay.json,92630792,Kilupy,stochar,0,Dragapult,Grimmsnarl,13
/Users/nickzwart/Desktop/V5_13082026/episode-92633588-replay.json,92633588,Benjp8,Kilupy,1,other,Dragapult,9
/Users/nickzwart/Desktop/V5_13082026/episode-92633629-replay.json,92633629,Aaron Samuel,Kilupy,1,Alakazam,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92634475-replay.json,92634475,AReg,Kilupy,1,Alakazam,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92634535-replay.json,92634535, me-keh-dev,Kilupy,1,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92631694-replay.json,92631694,Yang Jinneng,Kilupy,0,Grimmsnarl,Dragapult,17
/Users/nickzwart/Desktop/V5_13082026/episode-92631755-replay.json,92631755,Ricky Yuen,Kilupy,1,M-Lucario,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92632658-replay.json,92632658,Ryu Sonoda,Kilupy,1,Grimmsnarl,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92632688-replay.json,92632688,Kilupy,Hiro0811,0,Dragapult,Dragapult,15
/Users/nickzwart/Desktop/V5_13082026/episode-92637284-replay.json,92637284,Flying Banana,Kilupy,1,other,Dragapult,13
/Users/nickzwart/Desktop/V5_13082026/episode-92638266-replay.json,92638266,Kilupy,celebi,1,Dragapult,Alakazam,17
/Users/nickzwart/Desktop/V5_13082026/episode-92639204-replay.json,92639204,西松大祐,Kilupy,1,Hydrapple,Dragapult,11
/Users/nickzwart/Desktop/V5_13082026/episode-92640144-replay.json,92640144,Kilupy,Umataro Tenma,0,Dragapult,Alakazam,13
/Users/nickzwart/Desktop/V5_13082026/episode-92635459-replay.json,92635459,Kilupy,KoshinM,0,Dragapult,Grimmsnarl,13
/Users/nickzwart/Desktop/V5_13082026/episode-92635496-replay.json,92635496,lisi999test,Kilupy,0,Crustle,Dragapult,33
