path,episode,p0,p1,winner,a0,a1,turns
/Users/nickzwart/Desktop/V6_1_14082026/episode-92879499-replay.json,92879499,Kilupy,Kilupy,0,Ogerpon,Ogerpon,11
/Users/nickzwart/Desktop/V6_1_14082026/episode-92880499-replay.json,92880499,kekekk,Kilupy,1,M-Lucario,Ogerpon,9
/Users/nickzwart/Desktop/V6_1_14082026/episode-92881441-replay.json,92881441,DreadDevelopment,Kilupy,0,M-Lucario,Ogerpon,11
/Users/nickzwart/Desktop/V6_1_14082026/episode-92893708-replay.json,92893708,kuritamar,Kilupy,0,Ogerpon,Ogerpon,9
/Users/nickzwart/Desktop/V6_1_14082026/episode-92894651-replay.json,92894651,Kilupy,KiKi,1,Ogerpon,Alakazam,10
/Users/nickzwart/Desktop/V6_1_14082026/episode-92895596-replay.json,92895596,cha7ura,Kilupy,0,M-Lucario,Ogerpon,7
/Users/nickzwart/Desktop/V6_1_14082026/episode-92896541-replay.json,92896541,Sahaj Deep Singh,Kilupy,1,Ogerpon,Ogerpon,3
/Users/nickzwart/Desktop/V6_1_14082026/episode-92886238-replay.json,92886238,Ilham Sadewa,Kilupy,1,M-Lucario,Ogerpon,11
/Users/nickzwart/Desktop/V6_1_14082026/episode-92887153-replay.json,92887153,Kilupy,hau_uah,1,Ogerpon,Alakazam,9
/Users/nickzwart/Desktop/V6_1_14082026/episode-92888084-replay.json,92888084,Kilupy,Mukesh Patil,0,Ogerpon,other,13
/Users/nickzwart/Desktop/V6_1_14082026/episode-92889004-replay.json,92889004,Kilupy,SAGAR PAWADI N,0,Ogerpon,M-Lucario,11
/Users/nickzwart/Desktop/V6_1_14082026/episode-92897464-replay.json,92897464,Jayden Jeswin Raj,Kilupy,0,Crustle,Ogerpon,26
/Users/nickzwart/Desktop/V6_1_14082026/episode-92898392-replay.json,92898392,Kilupy,xue1213,0,Ogerpon,other,15
/Users/nickzwart/Desktop/V6_1_14082026/episode-92899320-replay.json,92899320,Kilupy,hire me pls,1,Ogerpon,M-Lucario,9
/Users/nickzwart/Desktop/V6_1_14082026/episode-92900278-replay.json,92900278,Goalydumbdumb,Kilupy,0,Dragapult,Ogerpon,12
/Users/nickzwart/Desktop/V6_1_14082026/episode-92889961-replay.json,92889961,Kilupy,Youssef EL MSIYAH,0,Ogerpon,Alakazam,17
/Users/nickzwart/Desktop/V6_1_14082026/episode-92890899-replay.json,92890899,Akhilesh godugu,Kilupy,1,Dragapult,Ogerpon,10
/Users/nickzwart/Desktop/V6_1_14082026/episode-92891833-replay.json,92891833,Kilupy,XIAODOUZI,0,Ogerpon,Grimmsnarl,9
