path,episode,p0,p1,winner,a0,a1,turns
scraped/v8_extra/episode-93060216-replay.json,93060216,flg,@kdcyberdude,0,Dragapult,Dragapult,17
scraped/v8_extra/episode-93060291-replay.json,93060291,@kdcyberdude,nasuo445,0,M-Lucario,other,17
scraped/v8_extra/episode-93066823-replay.json,93066823,@kdcyberdude,nasuo445,1,Dragapult,M-Kangaskhan,17
scraped/v8_extra/episode-93071387-replay.json,93071387,@kdcyberdude,flg,1,Dragapult,Dragapult,11
scraped/v8_extra/episode-93076934-replay.json,93076934,masspeaks,@kdcyberdude,0,Alakazam,M-Lucario,11
scraped/v8_extra/episode-93079740-replay.json,93079740,@kdcyberdude,KawattaTaido,1,Dragapult,Dragapult,10
scraped/v8_extra/episode-93042835-replay.json,93042835,@kdcyberdude,cununn,0,Dragapult,Dragapult,15
scraped/v8_extra/episode-93045433-replay.json,93045433,EliKal,@kdcyberdude,1,Alakazam,Dragapult,11
scraped/v8_extra/episode-93046573-replay.json,93046573,bono,@kdcyberdude,1,M-Kangaskhan,Dragapult,11
scraped/v8_extra/episode-93047344-replay.json,93047344,Sixth Sense,@kdcyberdude,1,Ogerpon,M-Lucario,11
scraped/v8_extra/episode-93050248-replay.json,93050248,@kdcyberdude,palsystem,1,M-Lucario,Dragapult,27
scraped/v8_extra/episode-93052988-replay.json,93052988,@kdcyberdude,Sixth Sense,0,M-Lucario,Ogerpon,11
scraped/v8_extra/episode-93054906-replay.json,93054906,Sixth Sense,@kdcyberdude,0,Ogerpon,M-Lucario,15
scraped/v8_extra/episode-93054957-replay.json,93054957,@kdcyberdude,Kh0a,0,Dragapult,Dragapult,11
scraped/v8_extra/episode-92919946-replay.json,92919946,MTamago,palsystem,1,Dragapult,Dragapult,9
scraped/v8_extra/episode-92954416-replay.json,92954416,palsystem,Sixth Sense,1,Dragapult,Ogerpon,15
scraped/v8_extra/episode-92972014-replay.json,92972014,palsystem,flg,1,Dragapult,Dragapult,15
scraped/v8_extra/episode-93002756-replay.json,93002756,Dipam Chakraborty,palsystem,0,Ogerpon,Dragapult,13
scraped/v8_extra/episode-93004347-replay.json,93004347,palsystem,gsc01,1,Dragapult,M-Froslass,15
scraped/v8_extra/episode-93013008-replay.json,93013008,flg,palsystem,1,Dragapult,Dragapult,13
scraped/v8_extra/episode-93022369-replay.json,93022369,@kdcyberdude,Dipam Chakraborty,0,M-Lucario,Ogerpon,11
scraped/v8_extra/episode-93038952-replay.json,93038952,Sixth Sense,@kdcyberdude,1,Ogerpon,M-Lucario,7
scraped/v8_extra/episode-92780514-replay.json,92780514,palsystem,flg,1,Dragapult,Dragapult,11
scraped/v8_extra/episode-92785839-replay.json,92785839,palsystem,Petit Canard,0,Dragapult,Dragapult,9
scraped/v8_extra/episode-92798030-replay.json,92798030,palsystem,LiamK,0,Dragapult,Alakazam,13
scraped/v8_extra/episode-92813953-replay.json,92813953,palsystem,李秉叡（ntumlnoob）,0,Dragapult,Dragapult,15
scraped/v8_extra/episode-92818385-replay.json,92818385,やる気元気ミワハルキ,palsystem,0,M-Lucario,Dragapult,13
scraped/v8_extra/episode-92824242-replay.json,92824242,palsystem,李秉叡（ntumlnoob）,1,Dragapult,Dragapult,17
scraped/v8_extra/episode-92859533-replay.json,92859533,LiamK,palsystem,1,Alakazam,Dragapult,11
scraped/v8_extra/episode-92890146-replay.json,92890146,palsystem,Rmy,1,Dragapult,Ogerpon,11
