episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
90004541,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90004541.json,LiamK,1,1,Alakazam,0.62,0,Dudunsparce,lk2
90005185,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90005185.json,LiamK,1,1,M-Lucario,0.62,0,Dudunsparce,lk2
90005843,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90005843.json,LiamK,0,1,Archaludon,0.62,0,Dudunsparce,lk2
90006495,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90006495.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90007138,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90007138.json,LiamK,1,1,Alakazam,0.62,0,Dudunsparce,lk2
90007786,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90007786.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90008435,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90008435.json,LiamK,0,1,Crustle,0.62,0,Dudunsparce,lk2
90009726,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90009726.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90010381,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90010381.json,LiamK,0,1,Meganium,0.62,0,Dudunsparce,lk2
90011034,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90011034.json,LiamK,1,1,Meganium,0.62,0,Dudunsparce,lk2
90011306,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90011306.json,LiamK,0,1,Dragapult,0.62,0,Dudunsparce,lk2
90012981,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90012981.json,LiamK,0,1,Meganium,0.62,0,Dudunsparce,lk2
90013624,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90013624.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90014275,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90014275.json,LiamK,1,1,Dragapult,0.62,0,Dudunsparce,lk2
90014931,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90014931.json,LiamK,1,1,Dipplin,0.62,0,Dudunsparce,lk2
90015572,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90015572.json,LiamK,1,1,Alakazam,0.62,0,Dudunsparce,lk2
90016221,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90016221.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90016868,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90016868.json,LiamK,0,1,Alakazam,0.62,0,Dudunsparce,lk2
90017521,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90017521.json,LiamK,0,1,Crustle,0.62,0,Dudunsparce,lk2
90018172,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90018172.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90020161,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90020161.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90022117,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90022117.json,LiamK,1,1,Meganium,0.62,0,Dudunsparce,lk2
90022238,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90022238.json,LiamK,0,1,Dipplin,0.62,0,Dudunsparce,lk2
90022773,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90022773.json,LiamK,0,1,Dragapult,0.62,0,Dudunsparce,lk2
90023428,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90023428.json,LiamK,0,1,Meganium,0.62,0,Dudunsparce,lk2
90023536,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90023536.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90024090,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90024090.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90024783,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90024783.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90025462,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90025462.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90025714,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90025714.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90026175,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90026175.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90026854,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90026854.json,LiamK,1,1,Meganium,0.62,0,Dudunsparce,lk2
90027544,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90027544.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90028238,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90028238.json,LiamK,0,1,Alakazam,0.62,0,Dudunsparce,lk2
90028927,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90028927.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90029597,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90029597.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90029663,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90029663.json,LiamK,0,1,M-Kangaskhan,0.62,0,Dudunsparce,lk2
90030291,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90030291.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90030360,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90030360.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90033758,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90033758.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90034445,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90034445.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90035811,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90035811.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90036475,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90036475.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90036489,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90036489.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90037143,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90037143.json,LiamK,0,1,Dragapult,0.62,0,Dudunsparce,lk2
90037864,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90037864.json,LiamK,1,1,Dragapult,0.62,0,Dudunsparce,lk2
90038550,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90038550.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90038551,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90038551.json,LiamK,0,1,M-Kangaskhan,0.62,0,Dudunsparce,lk2
90039235,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90039235.json,LiamK,1,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90039896,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90039896.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90040579,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90040579.json,LiamK,1,1,Dragapult,0.62,0,Dudunsparce,lk2
90041257,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90041257.json,LiamK,0,1,Dragapult,0.62,0,Dudunsparce,lk2
90041937,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90041937.json,LiamK,1,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90041956,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90041956.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90043308,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90043308.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
90044716,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90044716.json,LiamK,0,1,Dudunsparce,0.62,0,Dudunsparce,lk2
90045483,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90045483.json,LiamK,0,1,Crustle,0.62,0,Dudunsparce,lk2
90046220,/Users/nickzwart/Desktop/PTCG-AI-Challenge/liamk_solo/LiamK/90046220.json,LiamK,0,1,Grimmsnarl,0.62,0,Dudunsparce,lk2
