episode,path,player,side,won,player_winrate,opp_deck
91154536,/Users/nickzwart/Desktop/8-8-2026/91154536.json,@kdcyberdude,1,0,0.6716,M-Lopunny
91156248,/Users/nickzwart/Desktop/8-8-2026/91156248.json,@kdcyberdude,1,1,0.6716,Crustle
91157108,/Users/nickzwart/Desktop/8-8-2026/91157108.json,@kdcyberdude,0,1,0.6716,Ogerpon
91158020,/Users/nickzwart/Desktop/8-8-2026/91158020.json,@kdcyberdude,1,0,0.6716,Alakazam
91158961,/Users/nickzwart/Desktop/8-8-2026/91158961.json,@kdcyberdude,0,0,0.6716,Grimmsnarl
91159687,/Users/nickzwart/Desktop/8-8-2026/91159687.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91160625,/Users/nickzwart/Desktop/8-8-2026/91160625.json,Yopta,0,0,0.5895,Dragapult
91160690,/Users/nickzwart/Desktop/8-8-2026/91160690.json,@kdcyberdude,1,0,0.6716,M-Lopunny
91161540,/Users/nickzwart/Desktop/8-8-2026/91161540.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91161638,/Users/nickzwart/Desktop/8-8-2026/91161638.json,Yopta,1,1,0.5895,other
91161715,/Users/nickzwart/Desktop/8-8-2026/91161715.json,Yopta,0,0,0.5895,Alakazam
91163327,/Users/nickzwart/Desktop/8-8-2026/91163327.json,@kdcyberdude,1,0,0.6716,Alakazam
91164201,/Users/nickzwart/Desktop/8-8-2026/91164201.json,@kdcyberdude,1,1,0.6716,Grimmsnarl
91165091,/Users/nickzwart/Desktop/8-8-2026/91165091.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91166837,/Users/nickzwart/Desktop/8-8-2026/91166837.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91167671,/Users/nickzwart/Desktop/8-8-2026/91167671.json,@kdcyberdude,0,0,0.6716,Ogerpon
91168523,/Users/nickzwart/Desktop/8-8-2026/91168523.json,213tubo,1,0,0.6939,M-Kangaskhan
91168586,/Users/nickzwart/Desktop/8-8-2026/91168586.json,@kdcyberdude,1,0,0.6716,M-Lopunny
91169356,/Users/nickzwart/Desktop/8-8-2026/91169356.json,Yopta,1,0,0.5895,Grimmsnarl
