episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
88261416,/Users/nickzwart/Desktop/Dries Tufa Labs/88261416.json,Dries @ Tufa Labs,1,0,M-Lucario,0.637,1202,Grimmsnarl,Dries Tufa Labs
88261577,/Users/nickzwart/Desktop/Dries Tufa Labs/88261577.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88261957,/Users/nickzwart/Desktop/Dries Tufa Labs/88261957.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88262471,/Users/nickzwart/Desktop/Dries Tufa Labs/88262471.json,Dries @ Tufa Labs,1,1,M-Lucario,0.637,1202,Grimmsnarl,Dries Tufa Labs
88263038,/Users/nickzwart/Desktop/Dries Tufa Labs/88263038.json,Dries @ Tufa Labs,0,1,M-Lucario,0.637,1202,Grimmsnarl,Dries Tufa Labs
88263548,/Users/nickzwart/Desktop/Dries Tufa Labs/88263548.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88264108,/Users/nickzwart/Desktop/Dries Tufa Labs/88264108.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88264660,/Users/nickzwart/Desktop/Dries Tufa Labs/88264660.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88265199,/Users/nickzwart/Desktop/Dries Tufa Labs/88265199.json,Dries @ Tufa Labs,0,1,Archaludon,0.637,1202,Grimmsnarl,Dries Tufa Labs
88265724,/Users/nickzwart/Desktop/Dries Tufa Labs/88265724.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88266258,/Users/nickzwart/Desktop/Dries Tufa Labs/88266258.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88266808,/Users/nickzwart/Desktop/Dries Tufa Labs/88266808.json,Dries @ Tufa Labs,0,0,Archaludon,0.637,1202,Grimmsnarl,Dries Tufa Labs
88267345,/Users/nickzwart/Desktop/Dries Tufa Labs/88267345.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88267889,/Users/nickzwart/Desktop/Dries Tufa Labs/88267889.json,Dries @ Tufa Labs,0,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88268429,/Users/nickzwart/Desktop/Dries Tufa Labs/88268429.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88268962,/Users/nickzwart/Desktop/Dries Tufa Labs/88268962.json,Dries @ Tufa Labs,1,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88269479,/Users/nickzwart/Desktop/Dries Tufa Labs/88269479.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88270024,/Users/nickzwart/Desktop/Dries Tufa Labs/88270024.json,Dries @ Tufa Labs,0,1,Dragapult,0.637,1202,Grimmsnarl,Dries Tufa Labs
88270043,/Users/nickzwart/Desktop/Dries Tufa Labs/88270043.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88270570,/Users/nickzwart/Desktop/Dries Tufa Labs/88270570.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88271103,/Users/nickzwart/Desktop/Dries Tufa Labs/88271103.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88271620,/Users/nickzwart/Desktop/Dries Tufa Labs/88271620.json,Dries @ Tufa Labs,1,0,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88272168,/Users/nickzwart/Desktop/Dries Tufa Labs/88272168.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88272695,/Users/nickzwart/Desktop/Dries Tufa Labs/88272695.json,Dries @ Tufa Labs,1,1,Cynthia-Garchomp,0.637,1202,Grimmsnarl,Dries Tufa Labs
88273211,/Users/nickzwart/Desktop/Dries Tufa Labs/88273211.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88273767,/Users/nickzwart/Desktop/Dries Tufa Labs/88273767.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88273973,/Users/nickzwart/Desktop/Dries Tufa Labs/88273973.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88274302,/Users/nickzwart/Desktop/Dries Tufa Labs/88274302.json,Dries @ Tufa Labs,0,0,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88274852,/Users/nickzwart/Desktop/Dries Tufa Labs/88274852.json,Dries @ Tufa Labs,1,1,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88275396,/Users/nickzwart/Desktop/Dries Tufa Labs/88275396.json,Dries @ Tufa Labs,1,0,Cynthia-Garchomp,0.637,1202,Grimmsnarl,Dries Tufa Labs
88275927,/Users/nickzwart/Desktop/Dries Tufa Labs/88275927.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88276480,/Users/nickzwart/Desktop/Dries Tufa Labs/88276480.json,Dries @ Tufa Labs,1,0,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88277022,/Users/nickzwart/Desktop/Dries Tufa Labs/88277022.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88277078,/Users/nickzwart/Desktop/Dries Tufa Labs/88277078.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88277557,/Users/nickzwart/Desktop/Dries Tufa Labs/88277557.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88278092,/Users/nickzwart/Desktop/Dries Tufa Labs/88278092.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88278502,/Users/nickzwart/Desktop/Dries Tufa Labs/88278502.json,Dries @ Tufa Labs,0,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88278632,/Users/nickzwart/Desktop/Dries Tufa Labs/88278632.json,Dries @ Tufa Labs,1,0,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88279151,/Users/nickzwart/Desktop/Dries Tufa Labs/88279151.json,Dries @ Tufa Labs,1,0,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88279697,/Users/nickzwart/Desktop/Dries Tufa Labs/88279697.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88279717,/Users/nickzwart/Desktop/Dries Tufa Labs/88279717.json,Dries @ Tufa Labs,0,0,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88280233,/Users/nickzwart/Desktop/Dries Tufa Labs/88280233.json,Dries @ Tufa Labs,0,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88280769,/Users/nickzwart/Desktop/Dries Tufa Labs/88280769.json,Dries @ Tufa Labs,1,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88281294,/Users/nickzwart/Desktop/Dries Tufa Labs/88281294.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88281822,/Users/nickzwart/Desktop/Dries Tufa Labs/88281822.json,Dries @ Tufa Labs,1,1,Archaludon,0.637,1202,Grimmsnarl,Dries Tufa Labs
88282349,/Users/nickzwart/Desktop/Dries Tufa Labs/88282349.json,Dries @ Tufa Labs,0,0,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88282890,/Users/nickzwart/Desktop/Dries Tufa Labs/88282890.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88283406,/Users/nickzwart/Desktop/Dries Tufa Labs/88283406.json,Dries @ Tufa Labs,1,0,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88283965,/Users/nickzwart/Desktop/Dries Tufa Labs/88283965.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88284466,/Users/nickzwart/Desktop/Dries Tufa Labs/88284466.json,Dries @ Tufa Labs,0,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88284947,/Users/nickzwart/Desktop/Dries Tufa Labs/88284947.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88284986,/Users/nickzwart/Desktop/Dries Tufa Labs/88284986.json,Dries @ Tufa Labs,0,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88285559,/Users/nickzwart/Desktop/Dries Tufa Labs/88285559.json,Dries @ Tufa Labs,1,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88287696,/Users/nickzwart/Desktop/Dries Tufa Labs/88287696.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88289377,/Users/nickzwart/Desktop/Dries Tufa Labs/88289377.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88290913,/Users/nickzwart/Desktop/Dries Tufa Labs/88290913.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88292013,/Users/nickzwart/Desktop/Dries Tufa Labs/88292013.json,Dries @ Tufa Labs,1,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88293502,/Users/nickzwart/Desktop/Dries Tufa Labs/88293502.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88294596,/Users/nickzwart/Desktop/Dries Tufa Labs/88294596.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88295625,/Users/nickzwart/Desktop/Dries Tufa Labs/88295625.json,Dries @ Tufa Labs,0,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88297175,/Users/nickzwart/Desktop/Dries Tufa Labs/88297175.json,Dries @ Tufa Labs,1,0,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88299304,/Users/nickzwart/Desktop/Dries Tufa Labs/88299304.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88299587,/Users/nickzwart/Desktop/Dries Tufa Labs/88299587.json,Dries @ Tufa Labs,1,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88300130,/Users/nickzwart/Desktop/Dries Tufa Labs/88300130.json,Dries @ Tufa Labs,0,1,Dragapult,0.637,1202,Grimmsnarl,Dries Tufa Labs
88300642,/Users/nickzwart/Desktop/Dries Tufa Labs/88300642.json,Dries @ Tufa Labs,0,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88301667,/Users/nickzwart/Desktop/Dries Tufa Labs/88301667.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88305564,/Users/nickzwart/Desktop/Dries Tufa Labs/88305564.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88306681,/Users/nickzwart/Desktop/Dries Tufa Labs/88306681.json,Dries @ Tufa Labs,1,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88307193,/Users/nickzwart/Desktop/Dries Tufa Labs/88307193.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88307517,/Users/nickzwart/Desktop/Dries Tufa Labs/88307517.json,Dries @ Tufa Labs,1,0,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88307674,/Users/nickzwart/Desktop/Dries Tufa Labs/88307674.json,Dries @ Tufa Labs,1,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88308113,/Users/nickzwart/Desktop/Dries Tufa Labs/88308113.json,Dries @ Tufa Labs,0,1,Cynthia-Garchomp,0.637,1202,Grimmsnarl,Dries Tufa Labs
88308598,/Users/nickzwart/Desktop/Dries Tufa Labs/88308598.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88309101,/Users/nickzwart/Desktop/Dries Tufa Labs/88309101.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88309616,/Users/nickzwart/Desktop/Dries Tufa Labs/88309616.json,Dries @ Tufa Labs,0,0,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88309793,/Users/nickzwart/Desktop/Dries Tufa Labs/88309793.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88310133,/Users/nickzwart/Desktop/Dries Tufa Labs/88310133.json,Dries @ Tufa Labs,1,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88310648,/Users/nickzwart/Desktop/Dries Tufa Labs/88310648.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88311151,/Users/nickzwart/Desktop/Dries Tufa Labs/88311151.json,Dries @ Tufa Labs,1,1,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88311157,/Users/nickzwart/Desktop/Dries Tufa Labs/88311157.json,Dries @ Tufa Labs,1,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88311668,/Users/nickzwart/Desktop/Dries Tufa Labs/88311668.json,Dries @ Tufa Labs,0,1,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88312248,/Users/nickzwart/Desktop/Dries Tufa Labs/88312248.json,Dries @ Tufa Labs,0,1,Cynthia-Garchomp,0.637,1202,Grimmsnarl,Dries Tufa Labs
88312776,/Users/nickzwart/Desktop/Dries Tufa Labs/88312776.json,Dries @ Tufa Labs,1,0,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88313293,/Users/nickzwart/Desktop/Dries Tufa Labs/88313293.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88313800,/Users/nickzwart/Desktop/Dries Tufa Labs/88313800.json,Dries @ Tufa Labs,1,1,Alakazam,0.637,1202,Grimmsnarl,Dries Tufa Labs
88314303,/Users/nickzwart/Desktop/Dries Tufa Labs/88314303.json,Dries @ Tufa Labs,0,1,other,0.637,1202,Grimmsnarl,Dries Tufa Labs
88314806,/Users/nickzwart/Desktop/Dries Tufa Labs/88314806.json,Dries @ Tufa Labs,1,1,Crustle,0.637,1202,Grimmsnarl,Dries Tufa Labs
88314819,/Users/nickzwart/Desktop/Dries Tufa Labs/88314819.json,Dries @ Tufa Labs,0,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88315322,/Users/nickzwart/Desktop/Dries Tufa Labs/88315322.json,Dries @ Tufa Labs,0,0,M-Kangaskhan,0.637,1202,Grimmsnarl,Dries Tufa Labs
88315326,/Users/nickzwart/Desktop/Dries Tufa Labs/88315326.json,Dries @ Tufa Labs,1,0,Dragapult,0.637,1202,Grimmsnarl,Dries Tufa Labs
88315329,/Users/nickzwart/Desktop/Dries Tufa Labs/88315329.json,Dries @ Tufa Labs,0,0,Grimmsnarl,0.637,1202,Grimmsnarl,Dries Tufa Labs
88315341,/Users/nickzwart/Desktop/Dries Tufa Labs/88315341.json,Dries @ Tufa Labs,0,0,Cynthia-Garchomp,0.637,1202,Grimmsnarl,Dries Tufa Labs
