episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
88040823,/Users/nickzwart/Desktop/Eggplanck/88040823.json,Eggplanck,1,1,other,0.563,948,Grimmsnarl,Eggplanck
88041430,/Users/nickzwart/Desktop/Eggplanck/88041430.json,Eggplanck,0,1,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88042028,/Users/nickzwart/Desktop/Eggplanck/88042028.json,Eggplanck,0,1,other,0.563,948,Grimmsnarl,Eggplanck
88042405,/Users/nickzwart/Desktop/Eggplanck/88042405.json,Eggplanck,0,1,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88042640,/Users/nickzwart/Desktop/Eggplanck/88042640.json,Eggplanck,0,0,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88043250,/Users/nickzwart/Desktop/Eggplanck/88043250.json,Eggplanck,0,0,Dragapult,0.563,948,Grimmsnarl,Eggplanck
88043867,/Users/nickzwart/Desktop/Eggplanck/88043867.json,Eggplanck,1,1,M-Lucario,0.563,948,Grimmsnarl,Eggplanck
88044485,/Users/nickzwart/Desktop/Eggplanck/88044485.json,Eggplanck,0,0,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88045089,/Users/nickzwart/Desktop/Eggplanck/88045089.json,Eggplanck,0,1,M-Lucario,0.563,948,Grimmsnarl,Eggplanck
88045645,/Users/nickzwart/Desktop/Eggplanck/88045645.json,Eggplanck,0,1,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88046257,/Users/nickzwart/Desktop/Eggplanck/88046257.json,Eggplanck,1,1,Dragapult,0.563,948,Grimmsnarl,Eggplanck
88046792,/Users/nickzwart/Desktop/Eggplanck/88046792.json,Eggplanck,0,1,other,0.563,948,Grimmsnarl,Eggplanck
88047396,/Users/nickzwart/Desktop/Eggplanck/88047396.json,Eggplanck,1,1,M-Starmie,0.563,948,Grimmsnarl,Eggplanck
88048008,/Users/nickzwart/Desktop/Eggplanck/88048008.json,Eggplanck,0,0,Grimmsnarl,0.563,948,Grimmsnarl,Eggplanck
88048626,/Users/nickzwart/Desktop/Eggplanck/88048626.json,Eggplanck,0,1,Cynthia-Garchomp,0.563,948,Grimmsnarl,Eggplanck
88049222,/Users/nickzwart/Desktop/Eggplanck/88049222.json,Eggplanck,0,1,Grimmsnarl,0.563,948,Grimmsnarl,Eggplanck
88049838,/Users/nickzwart/Desktop/Eggplanck/88049838.json,Eggplanck,1,1,Crustle,0.563,948,Grimmsnarl,Eggplanck
88050452,/Users/nickzwart/Desktop/Eggplanck/88050452.json,Eggplanck,1,1,Alakazam,0.563,948,Grimmsnarl,Eggplanck
88051082,/Users/nickzwart/Desktop/Eggplanck/88051082.json,Eggplanck,1,1,other,0.563,948,Grimmsnarl,Eggplanck
88051694,/Users/nickzwart/Desktop/Eggplanck/88051694.json,Eggplanck,0,1,other,0.563,948,Grimmsnarl,Eggplanck
88052311,/Users/nickzwart/Desktop/Eggplanck/88052311.json,Eggplanck,1,0,Archaludon,0.563,948,Grimmsnarl,Eggplanck
88052926,/Users/nickzwart/Desktop/Eggplanck/88052926.json,Eggplanck,1,1,Alakazam,0.563,948,Grimmsnarl,Eggplanck
88053158,/Users/nickzwart/Desktop/Eggplanck/88053158.json,Eggplanck,1,1,Grimmsnarl,0.563,948,Grimmsnarl,Eggplanck
