episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
88272528,/Users/nickzwart/Desktop/flg/88272528.json,flg,0,1,Alakazam,0.652,316,Grimmsnarl,flg
88273037,/Users/nickzwart/Desktop/flg/88273037.json,flg,1,1,Archaludon,0.652,316,Grimmsnarl,flg
88273593,/Users/nickzwart/Desktop/flg/88273593.json,flg,1,0,other,0.652,316,Grimmsnarl,flg
88274147,/Users/nickzwart/Desktop/flg/88274147.json,flg,0,1,Alakazam,0.652,316,Grimmsnarl,flg
88274685,/Users/nickzwart/Desktop/flg/88274685.json,flg,1,1,other,0.652,316,Grimmsnarl,flg
88275248,/Users/nickzwart/Desktop/flg/88275248.json,flg,1,1,M-Lucario,0.652,316,Grimmsnarl,flg
88275756,/Users/nickzwart/Desktop/flg/88275756.json,flg,1,1,other,0.652,316,Grimmsnarl,flg
88276309,/Users/nickzwart/Desktop/flg/88276309.json,flg,0,1,Grimmsnarl,0.652,316,Grimmsnarl,flg
88276850,/Users/nickzwart/Desktop/flg/88276850.json,flg,1,1,Dragapult,0.652,316,Grimmsnarl,flg
88277379,/Users/nickzwart/Desktop/flg/88277379.json,flg,0,1,Alakazam,0.652,316,Grimmsnarl,flg
88277919,/Users/nickzwart/Desktop/flg/88277919.json,flg,0,1,Alakazam,0.652,316,Grimmsnarl,flg
88278456,/Users/nickzwart/Desktop/flg/88278456.json,flg,1,0,Grimmsnarl,0.652,316,Grimmsnarl,flg
88278981,/Users/nickzwart/Desktop/flg/88278981.json,flg,0,1,Grimmsnarl,0.652,316,Grimmsnarl,flg
88279516,/Users/nickzwart/Desktop/flg/88279516.json,flg,0,1,Dipplin,0.652,316,Grimmsnarl,flg
88280046,/Users/nickzwart/Desktop/flg/88280046.json,flg,1,1,M-Lucario,0.652,316,Grimmsnarl,flg
88280568,/Users/nickzwart/Desktop/flg/88280568.json,flg,0,0,Grimmsnarl,0.652,316,Grimmsnarl,flg
88281105,/Users/nickzwart/Desktop/flg/88281105.json,flg,1,1,Alakazam,0.652,316,Grimmsnarl,flg
88281628,/Users/nickzwart/Desktop/flg/88281628.json,flg,0,1,other,0.652,316,Grimmsnarl,flg
88282151,/Users/nickzwart/Desktop/flg/88282151.json,flg,1,1,other,0.652,316,Grimmsnarl,flg
88282678,/Users/nickzwart/Desktop/flg/88282678.json,flg,0,1,Grimmsnarl,0.652,316,Grimmsnarl,flg
