episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
89619458,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89619458.json,Sixth Sense,0,1,Grimmsnarl,0.6,0,Grimmsnarl,grimm_fresh
89620016,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89620016.json,@kdcyberdude,0,1,Grimmsnarl,0.6,0,Grimmsnarl,grimm_fresh
89620580,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89620580.json,Raihan Ramadistra,1,1,Cynthia-Garchomp,0.66,0,Grimmsnarl,grimm_fresh
89621150,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89621150.json,Raihan Ramadistra,0,1,Grimmsnarl,0.66,0,Grimmsnarl,grimm_fresh
89621613,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89621613.json,Raihan Ramadistra,0,1,Grimmsnarl,0.66,0,Grimmsnarl,grimm_fresh
89621733,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89621733.json,Raihan Ramadistra,1,1,Dudunsparce,0.66,0,Grimmsnarl,grimm_fresh
89625040,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89625040.json,Raihan Ramadistra,1,1,Alakazam,0.66,0,Grimmsnarl,grimm_fresh
89626190,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89626190.json,Raihan Ramadistra,1,1,Alakazam,0.66,0,Grimmsnarl,grimm_fresh
89627247,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89627247.json,Raihan Ramadistra,1,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89627799,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89627799.json,Raihan Ramadistra,1,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89628344,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89628344.json,Raihan Ramadistra,0,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89633325,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89633325.json,Raihan Ramadistra,1,1,Alakazam,0.66,0,Grimmsnarl,grimm_fresh
89636593,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89636593.json,Raihan Ramadistra,1,1,Dipplin,0.66,0,Grimmsnarl,grimm_fresh
89645151,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89645151.json,Raihan Ramadistra,0,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89645713,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89645713.json,Raihan Ramadistra,0,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89653832,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89653832.json,Raihan Ramadistra,0,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
89655733,/Users/nickzwart/Desktop/PTCG-AI-Challenge/grimm_fresh/Raihan Ramadistra/89655733.json,Raihan Ramadistra,0,1,M-Lucario,0.66,0,Grimmsnarl,grimm_fresh
