episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
86157633,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/86157633.json,jiatu.l,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
86470555,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/86470555.json,Substitute99,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
86568428,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/86568428.json,Y.Kaisei,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
86740194,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/86740194.json,ごんさくよねきち,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
86856198,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/86856198.json,Mark Cooper,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
87207096,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87207096.json,Marshall Maximizer,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
87363346,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87363346.json,AyFukushima,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
87469723,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87469723.json,Shunji Minode,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
87507036,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87507036.json,s_a_ai_enginner,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
87649697,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87649697.json,tonpeeee_pokemon,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
87917706,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87917706.json,hamuhei,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
87939071,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/87939071.json,RyoK,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
88038039,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/88038039.json,Pocket Arena,1,1,Archaludon,0.60,0,Grimmsnarl,harvest
88434980,/Users/nickzwart/Desktop/PTCG-AI-Challenge/James Christian/88434980.json,怒破餓鬼,0,1,Archaludon,0.60,0,Grimmsnarl,harvest
88448099,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88448099.json,☕ Psyduck Needs Coffee,1,1,Alakazam,0.60,0,Grimmsnarl,harvest
88449173,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88449173.json,saeNeko,0,1,Alakazam,0.60,0,Grimmsnarl,harvest
88450251,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88450251.json,tetsu2131,0,1,Alakazam,0.60,0,Grimmsnarl,harvest
88451435,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88451435.json,linjianrong,1,1,Alakazam,0.60,0,Grimmsnarl,harvest
88461156,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88461156.json,Zhenyu Zhang,1,1,Alakazam,0.60,0,Grimmsnarl,harvest
88461654,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88461654.json,J.Moriuchi,0,1,Alakazam,0.60,0,Grimmsnarl,harvest
88465440,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Haggle/88465440.json,대답해드리는게인지상정,0,1,Alakazam,0.60,0,Grimmsnarl,harvest
88098123,/Users/nickzwart/Desktop/Tonakaiiiii/88098123.json,miraiTDL,0,1,Crustle,0.60,0,Grimmsnarl,harvest
88130447,/Users/nickzwart/Desktop/Tonakaiiiii/88130447.json,X,0,1,Crustle,0.60,0,Grimmsnarl,harvest
88234136,/Users/nickzwart/Desktop/Tonakaiiiii/88234136.json,celebi,0,1,Crustle,0.60,0,Grimmsnarl,harvest
88261675,/Users/nickzwart/Desktop/Tonakaiiiii/88261675.json,Xiangyu Liu,0,1,Crustle,0.60,0,Grimmsnarl,harvest
88263142,/Users/nickzwart/Desktop/Tonakaiiiii/88263142.json,低消650元任你吃啊,0,1,Crustle,0.60,0,Grimmsnarl,harvest
88449899,/Users/nickzwart/Desktop/Tonakaiiiii/88449899.json,山上海賊団,1,1,Crustle,0.60,0,Grimmsnarl,harvest
88040823,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Eggplanck/88040823.json,Eggplanck,1,1,other,0.60,0,Grimmsnarl,harvest
