episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
88125652,/Users/nickzwart/Desktop/__Taichicchi__/88125652.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88126172,/Users/nickzwart/Desktop/__Taichicchi__/88126172.json,__Taichicchi__,0,1,M-Lucario,0.597,1042,Grimmsnarl,__Taichicchi__
88126707,/Users/nickzwart/Desktop/__Taichicchi__/88126707.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88127219,/Users/nickzwart/Desktop/__Taichicchi__/88127219.json,__Taichicchi__,0,1,M-Lucario,0.597,1042,Grimmsnarl,__Taichicchi__
88127515,/Users/nickzwart/Desktop/__Taichicchi__/88127515.json,__Taichicchi__,0,1,M-Lucario,0.597,1042,Grimmsnarl,__Taichicchi__
88127735,/Users/nickzwart/Desktop/__Taichicchi__/88127735.json,__Taichicchi__,1,1,Archaludon,0.597,1042,Grimmsnarl,__Taichicchi__
88128256,/Users/nickzwart/Desktop/__Taichicchi__/88128256.json,__Taichicchi__,0,0,M-Starmie,0.597,1042,Grimmsnarl,__Taichicchi__
88128786,/Users/nickzwart/Desktop/__Taichicchi__/88128786.json,__Taichicchi__,1,0,Archaludon,0.597,1042,Grimmsnarl,__Taichicchi__
88129318,/Users/nickzwart/Desktop/__Taichicchi__/88129318.json,__Taichicchi__,0,1,Dipplin,0.597,1042,Grimmsnarl,__Taichicchi__
88129836,/Users/nickzwart/Desktop/__Taichicchi__/88129836.json,__Taichicchi__,1,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88130354,/Users/nickzwart/Desktop/__Taichicchi__/88130354.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88130874,/Users/nickzwart/Desktop/__Taichicchi__/88130874.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88131396,/Users/nickzwart/Desktop/__Taichicchi__/88131396.json,__Taichicchi__,0,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88131919,/Users/nickzwart/Desktop/__Taichicchi__/88131919.json,__Taichicchi__,0,0,M-Starmie,0.597,1042,Grimmsnarl,__Taichicchi__
88132448,/Users/nickzwart/Desktop/__Taichicchi__/88132448.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88132980,/Users/nickzwart/Desktop/__Taichicchi__/88132980.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88133519,/Users/nickzwart/Desktop/__Taichicchi__/88133519.json,__Taichicchi__,1,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88134020,/Users/nickzwart/Desktop/__Taichicchi__/88134020.json,__Taichicchi__,0,0,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88134548,/Users/nickzwart/Desktop/__Taichicchi__/88134548.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88135080,/Users/nickzwart/Desktop/__Taichicchi__/88135080.json,__Taichicchi__,1,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88135415,/Users/nickzwart/Desktop/__Taichicchi__/88135415.json,__Taichicchi__,0,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88135625,/Users/nickzwart/Desktop/__Taichicchi__/88135625.json,__Taichicchi__,1,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88136151,/Users/nickzwart/Desktop/__Taichicchi__/88136151.json,__Taichicchi__,0,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88136671,/Users/nickzwart/Desktop/__Taichicchi__/88136671.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88136823,/Users/nickzwart/Desktop/__Taichicchi__/88136823.json,__Taichicchi__,0,1,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88137204,/Users/nickzwart/Desktop/__Taichicchi__/88137204.json,__Taichicchi__,1,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88137725,/Users/nickzwart/Desktop/__Taichicchi__/88137725.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88138254,/Users/nickzwart/Desktop/__Taichicchi__/88138254.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88138373,/Users/nickzwart/Desktop/__Taichicchi__/88138373.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88138775,/Users/nickzwart/Desktop/__Taichicchi__/88138775.json,__Taichicchi__,0,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88138866,/Users/nickzwart/Desktop/__Taichicchi__/88138866.json,__Taichicchi__,0,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88139300,/Users/nickzwart/Desktop/__Taichicchi__/88139300.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88139435,/Users/nickzwart/Desktop/__Taichicchi__/88139435.json,__Taichicchi__,0,0,other,0.597,1042,Grimmsnarl,__Taichicchi__
88139811,/Users/nickzwart/Desktop/__Taichicchi__/88139811.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88139896,/Users/nickzwart/Desktop/__Taichicchi__/88139896.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88140340,/Users/nickzwart/Desktop/__Taichicchi__/88140340.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88140888,/Users/nickzwart/Desktop/__Taichicchi__/88140888.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88140998,/Users/nickzwart/Desktop/__Taichicchi__/88140998.json,__Taichicchi__,1,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88141409,/Users/nickzwart/Desktop/__Taichicchi__/88141409.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88141926,/Users/nickzwart/Desktop/__Taichicchi__/88141926.json,__Taichicchi__,0,0,Cynthia-Garchomp,0.597,1042,Grimmsnarl,__Taichicchi__
88142451,/Users/nickzwart/Desktop/__Taichicchi__/88142451.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88142970,/Users/nickzwart/Desktop/__Taichicchi__/88142970.json,__Taichicchi__,0,1,Archaludon,0.597,1042,Grimmsnarl,__Taichicchi__
88143051,/Users/nickzwart/Desktop/__Taichicchi__/88143051.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88143053,/Users/nickzwart/Desktop/__Taichicchi__/88143053.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88143509,/Users/nickzwart/Desktop/__Taichicchi__/88143509.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88143556,/Users/nickzwart/Desktop/__Taichicchi__/88143556.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88144042,/Users/nickzwart/Desktop/__Taichicchi__/88144042.json,__Taichicchi__,0,1,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88144116,/Users/nickzwart/Desktop/__Taichicchi__/88144116.json,__Taichicchi__,1,1,M-Kangaskhan,0.597,1042,Grimmsnarl,__Taichicchi__
88144573,/Users/nickzwart/Desktop/__Taichicchi__/88144573.json,__Taichicchi__,0,1,Dragapult,0.597,1042,Grimmsnarl,__Taichicchi__
88145141,/Users/nickzwart/Desktop/__Taichicchi__/88145141.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88145664,/Users/nickzwart/Desktop/__Taichicchi__/88145664.json,__Taichicchi__,0,1,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88146184,/Users/nickzwart/Desktop/__Taichicchi__/88146184.json,__Taichicchi__,0,1,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88146713,/Users/nickzwart/Desktop/__Taichicchi__/88146713.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88146779,/Users/nickzwart/Desktop/__Taichicchi__/88146779.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88146940,/Users/nickzwart/Desktop/__Taichicchi__/88146940.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88147202,/Users/nickzwart/Desktop/__Taichicchi__/88147202.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88147780,/Users/nickzwart/Desktop/__Taichicchi__/88147780.json,__Taichicchi__,0,1,other,0.597,1042,Grimmsnarl,__Taichicchi__
88147842,/Users/nickzwart/Desktop/__Taichicchi__/88147842.json,__Taichicchi__,1,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88148291,/Users/nickzwart/Desktop/__Taichicchi__/88148291.json,__Taichicchi__,0,1,Crustle,0.597,1042,Grimmsnarl,__Taichicchi__
88148312,/Users/nickzwart/Desktop/__Taichicchi__/88148312.json,__Taichicchi__,1,0,M-Kangaskhan,0.597,1042,Grimmsnarl,__Taichicchi__
88148844,/Users/nickzwart/Desktop/__Taichicchi__/88148844.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88149372,/Users/nickzwart/Desktop/__Taichicchi__/88149372.json,__Taichicchi__,1,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88149902,/Users/nickzwart/Desktop/__Taichicchi__/88149902.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88149914,/Users/nickzwart/Desktop/__Taichicchi__/88149914.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88150423,/Users/nickzwart/Desktop/__Taichicchi__/88150423.json,__Taichicchi__,0,1,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88150995,/Users/nickzwart/Desktop/__Taichicchi__/88150995.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88151044,/Users/nickzwart/Desktop/__Taichicchi__/88151044.json,__Taichicchi__,0,1,Cynthia-Garchomp,0.597,1042,Grimmsnarl,__Taichicchi__
88151555,/Users/nickzwart/Desktop/__Taichicchi__/88151555.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88151603,/Users/nickzwart/Desktop/__Taichicchi__/88151603.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88152172,/Users/nickzwart/Desktop/__Taichicchi__/88152172.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
88152694,/Users/nickzwart/Desktop/__Taichicchi__/88152694.json,__Taichicchi__,0,0,Alakazam,0.597,1042,Grimmsnarl,__Taichicchi__
88153228,/Users/nickzwart/Desktop/__Taichicchi__/88153228.json,__Taichicchi__,1,1,M-Lucario,0.597,1042,Grimmsnarl,__Taichicchi__
88153759,/Users/nickzwart/Desktop/__Taichicchi__/88153759.json,__Taichicchi__,0,0,Grimmsnarl,0.597,1042,Grimmsnarl,__Taichicchi__
