episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
86157633,/Users/nickzwart/Desktop/James Christian/86157633.json,jiatu.l,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
86470555,/Users/nickzwart/Desktop/James Christian/86470555.json,Substitute99,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
86568428,/Users/nickzwart/Desktop/James Christian/86568428.json,Y.Kaisei,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
86740194,/Users/nickzwart/Desktop/James Christian/86740194.json,ごんさくよねきち,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
86856198,/Users/nickzwart/Desktop/James Christian/86856198.json,Mark Cooper,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87207096,/Users/nickzwart/Desktop/James Christian/87207096.json,Marshall Maximizer,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87363346,/Users/nickzwart/Desktop/James Christian/87363346.json,AyFukushima,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87469723,/Users/nickzwart/Desktop/James Christian/87469723.json,Shunji Minode,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87507036,/Users/nickzwart/Desktop/James Christian/87507036.json,s_a_ai_enginner,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87649697,/Users/nickzwart/Desktop/James Christian/87649697.json,tonpeeee_pokemon,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87917706,/Users/nickzwart/Desktop/James Christian/87917706.json,hamuhei,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
87939071,/Users/nickzwart/Desktop/James Christian/87939071.json,RyoK,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
88038039,/Users/nickzwart/Desktop/James Christian/88038039.json,Pocket Arena,1,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
88434980,/Users/nickzwart/Desktop/James Christian/88434980.json,怒破餓鬼,0,1,Archaludon,0.60,0,Grimmsnarl,opp-harvest
88448099,/Users/nickzwart/Desktop/Haggle/88448099.json,☕ Psyduck Needs Coffee,1,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88449173,/Users/nickzwart/Desktop/Haggle/88449173.json,saeNeko,0,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88450251,/Users/nickzwart/Desktop/Haggle/88450251.json,tetsu2131,0,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88451435,/Users/nickzwart/Desktop/Haggle/88451435.json,linjianrong,1,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88461156,/Users/nickzwart/Desktop/Haggle/88461156.json,Zhenyu Zhang,1,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88461654,/Users/nickzwart/Desktop/Haggle/88461654.json,J.Moriuchi,0,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
88465440,/Users/nickzwart/Desktop/Haggle/88465440.json,대답해드리는게인지상정,0,1,Alakazam,0.60,0,Grimmsnarl,opp-harvest
