episode,path,player,side,won,player_winrate,opp_deck
91156248,/Users/nickzwart/Desktop/8-8-2026/91156248.json,@kdcyberdude,1,1,0.6716,Crustle
91157108,/Users/nickzwart/Desktop/8-8-2026/91157108.json,@kdcyberdude,0,1,0.6716,Ogerpon
91159687,/Users/nickzwart/Desktop/8-8-2026/91159687.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91161540,/Users/nickzwart/Desktop/8-8-2026/91161540.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91161638,/Users/nickzwart/Desktop/8-8-2026/91161638.json,Yopta,1,1,0.5895,other
91164201,/Users/nickzwart/Desktop/8-8-2026/91164201.json,@kdcyberdude,1,1,0.6716,Grimmsnarl
91165091,/Users/nickzwart/Desktop/8-8-2026/91165091.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91166837,/Users/nickzwart/Desktop/8-8-2026/91166837.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91169458,/Users/nickzwart/Desktop/8-8-2026/91169458.json,@kdcyberdude,1,1,0.6716,Grimmsnarl
91170283,/Users/nickzwart/Desktop/8-8-2026/91170283.json,213tubo,1,1,0.6939,M-Kangaskhan
91171165,/Users/nickzwart/Desktop/8-8-2026/91171165.json,213tubo,1,1,0.6939,Grimmsnarl
91172102,/Users/nickzwart/Desktop/8-8-2026/91172102.json,@kdcyberdude,0,1,0.6716,Dragapult
91173764,/Users/nickzwart/Desktop/8-8-2026/91173764.json,Yopta,0,1,0.5895,Grimmsnarl
91173866,/Users/nickzwart/Desktop/8-8-2026/91173866.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91175644,/Users/nickzwart/Desktop/8-8-2026/91175644.json,@kdcyberdude,1,1,0.6716,M-Lopunny
91176549,/Users/nickzwart/Desktop/8-8-2026/91176549.json,@kdcyberdude,0,1,0.6716,Alakazam
91178299,/Users/nickzwart/Desktop/8-8-2026/91178299.json,@kdcyberdude,0,1,0.6716,M-Lucario
91179139,/Users/nickzwart/Desktop/8-8-2026/91179139.json,213tubo,1,1,0.6939,Alakazam
91180923,/Users/nickzwart/Desktop/8-8-2026/91180923.json,213tubo,1,1,0.6939,Alakazam
91182706,/Users/nickzwart/Desktop/8-8-2026/91182706.json,213tubo,1,1,0.6939,Alakazam
91182752,/Users/nickzwart/Desktop/8-8-2026/91182752.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91181873,/Users/nickzwart/Desktop/8-8-2026/91181873.json,@kdcyberdude,0,1,0.6716,M-Kangaskhan
91183490,/Users/nickzwart/Desktop/8-8-2026/91183490.json,213tubo,0,1,0.6939,Grimmsnarl
91183676,/Users/nickzwart/Desktop/8-8-2026/91183676.json,@kdcyberdude,1,1,0.6716,Alakazam
91184464,/Users/nickzwart/Desktop/8-8-2026/91184464.json,213tubo,0,1,0.6939,M-Lopunny
91184503,/Users/nickzwart/Desktop/8-8-2026/91184503.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91185387,/Users/nickzwart/Desktop/8-8-2026/91185387.json,213tubo,0,1,0.6939,Grimmsnarl
91186284,/Users/nickzwart/Desktop/8-8-2026/91186284.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91188854,/Users/nickzwart/Desktop/8-8-2026/91188854.json,@kdcyberdude,1,1,0.6716,M-Froslass
91188938,/Users/nickzwart/Desktop/8-8-2026/91188938.json,@kdcyberdude,1,1,0.6716,M-Lopunny
91189774,/Users/nickzwart/Desktop/8-8-2026/91189774.json,213tubo,1,1,0.6939,Grimmsnarl
91189857,/Users/nickzwart/Desktop/8-8-2026/91189857.json,@kdcyberdude,1,1,0.6716,Crustle
91190744,/Users/nickzwart/Desktop/8-8-2026/91190744.json,@kdcyberdude,1,1,0.6716,M-Lopunny
91195080,/Users/nickzwart/Desktop/8-8-2026/91195080.json,213tubo,0,1,0.6939,M-Kangaskhan
91195916,/Users/nickzwart/Desktop/8-8-2026/91195916.json,Yopta,0,1,0.5895,M-Kangaskhan
91201099,/Users/nickzwart/Desktop/8-8-2026/91201099.json,213tubo,1,1,0.6939,Hydrapple
91208389,/Users/nickzwart/Desktop/8-8-2026/91208389.json,213tubo,0,1,0.6939,Grimmsnarl
91210084,/Users/nickzwart/Desktop/8-8-2026/91210084.json,213tubo,0,1,0.6939,M-Lucario
91210162,/Users/nickzwart/Desktop/8-8-2026/91210162.json,@kdcyberdude,1,1,0.6716,Alakazam
91213676,/Users/nickzwart/Desktop/8-8-2026/91213676.json,Yopta,1,1,0.5895,Grimmsnarl
91216228,/Users/nickzwart/Desktop/8-8-2026/91216228.json,Yopta,0,1,0.5895,Alakazam
91217884,/Users/nickzwart/Desktop/8-8-2026/91217884.json,Yopta,1,1,0.5895,Hydrapple
91218933,/Users/nickzwart/Desktop/8-8-2026/91218933.json,@kdcyberdude,0,1,0.6716,Hydrapple
91231988,/Users/nickzwart/Desktop/8-8-2026/91231988.json,Yopta,0,1,0.5895,Ogerpon
91235826,/Users/nickzwart/Desktop/8-8-2026/91235826.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91239088,/Users/nickzwart/Desktop/8-8-2026/91239088.json,Yopta,1,1,0.5895,Alakazam
91242876,/Users/nickzwart/Desktop/8-8-2026/91242876.json,213tubo,0,1,0.6939,Grimmsnarl
91244631,/Users/nickzwart/Desktop/8-8-2026/91244631.json,Yopta,1,1,0.5895,M-Lopunny
91247274,/Users/nickzwart/Desktop/8-8-2026/91247274.json,Yopta,0,1,0.5895,M-Kangaskhan
91249728,/Users/nickzwart/Desktop/8-8-2026/91249728.json,213tubo,0,1,0.6939,Alakazam
91257089,/Users/nickzwart/Desktop/8-8-2026/91257089.json,@kdcyberdude,0,1,0.6716,Alakazam
91262175,/Users/nickzwart/Desktop/8-8-2026/91262175.json,213tubo,0,1,0.6939,Grimmsnarl
91262319,/Users/nickzwart/Desktop/8-8-2026/91262319.json,@kdcyberdude,0,1,0.6716,Grimmsnarl
91271988,/Users/nickzwart/Desktop/8-8-2026/91271988.json,213tubo,1,1,0.6939,Alakazam
91272946,/Users/nickzwart/Desktop/8-8-2026/91272946.json,Yopta,1,1,0.5895,Alakazam
91273974,/Users/nickzwart/Desktop/8-8-2026/91273974.json,213tubo,1,1,0.6939,Alakazam
91275511,/Users/nickzwart/Desktop/8-8-2026/91275511.json,213tubo,0,1,0.6939,Dragapult
91281735,/Users/nickzwart/Desktop/8-8-2026/91281735.json,213tubo,0,1,0.6939,Grimmsnarl
91281018,/Users/nickzwart/Desktop/8-8-2026/91281018.json,213tubo,0,1,0.6939,Alakazam
91282811,/Users/nickzwart/Desktop/8-8-2026/91282811.json,Yopta,1,1,0.5895,Dragapult
91286226,/Users/nickzwart/Desktop/8-8-2026/91286226.json,213tubo,0,1,0.6939,Grimmsnarl
91289162,/Users/nickzwart/Desktop/8-8-2026/91289162.json,Yopta,1,1,0.5895,Grimmsnarl
91290105,/Users/nickzwart/Desktop/8-8-2026/91290105.json,Yopta,0,1,0.5895,Grimmsnarl
91304211,/Users/nickzwart/Desktop/8-8-2026/91304211.json,Yopta,0,1,0.5895,Alakazam
91308725,/Users/nickzwart/Desktop/8-8-2026/91308725.json,@kdcyberdude,0,1,0.6716,Alakazam
91313229,/Users/nickzwart/Desktop/8-8-2026/91313229.json,@kdcyberdude,0,1,0.6716,Alakazam
91322971,/Users/nickzwart/Desktop/8-8-2026/91322971.json,213tubo,0,1,0.6939,Grimmsnarl
91324788,/Users/nickzwart/Desktop/8-8-2026/91324788.json,Yopta,1,1,0.5895,Grimmsnarl
91326760,/Users/nickzwart/Desktop/8-8-2026/91326760.json,213tubo,1,1,0.6939,Garchomp
91330097,/Users/nickzwart/Desktop/8-8-2026/91330097.json,Yopta,0,1,0.5895,M-Lucario
91334572,/Users/nickzwart/Desktop/8-8-2026/91334572.json,Yopta,0,1,0.5895,Archaludon
91341078,/Users/nickzwart/Desktop/8-8-2026/91341078.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,Grimmsnarl
91341786,/Users/nickzwart/Desktop/8-8-2026/91341786.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,M-Lucario
91342728,/Users/nickzwart/Desktop/8-8-2026/91342728.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,Hydrapple
91343660,/Users/nickzwart/Desktop/8-8-2026/91343660.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,other
91344576,/Users/nickzwart/Desktop/8-8-2026/91344576.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,0.6415,Grimmsnarl
91346394,/Users/nickzwart/Desktop/8-8-2026/91346394.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,Grimmsnarl
91346408,/Users/nickzwart/Desktop/8-8-2026/91346408.json,213tubo,1,1,0.6939,Alakazam
91348239,/Users/nickzwart/Desktop/8-8-2026/91348239.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6415,Hydrapple
