episode,path,player,side,won,opp_deck,player_winrate,player_games
87363038,/Users/nickzwart/Desktop/20260722/87363038.json,__Taichicchi__,1,0,other,0.597,1042
87364048,/Users/nickzwart/Desktop/20260722/87364048.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87364059,/Users/nickzwart/Desktop/20260722/87364059.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87365236,/Users/nickzwart/Desktop/20260722/87365236.json,__Taichicchi__,0,1,other,0.597,1042
87365249,/Users/nickzwart/Desktop/20260722/87365249.json,__Taichicchi__,1,1,Crustle,0.597,1042
87365814,/Users/nickzwart/Desktop/20260722/87365814.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
87366410,/Users/nickzwart/Desktop/20260722/87366410.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87367175,/Users/nickzwart/Desktop/20260722/87367175.json,__Taichicchi__,0,0,Crustle,0.597,1042
87367214,/Users/nickzwart/Desktop/20260722/87367214.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87367784,/Users/nickzwart/Desktop/20260722/87367784.json,__Taichicchi__,0,1,other,0.597,1042
87368334,/Users/nickzwart/Desktop/20260722/87368334.json,__Taichicchi__,0,1,Alakazam,0.597,1042
87368342,/Users/nickzwart/Desktop/20260722/87368342.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87368844,/Users/nickzwart/Desktop/20260722/87368844.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87368898,/Users/nickzwart/Desktop/20260722/87368898.json,__Taichicchi__,0,0,other,0.597,1042
87369575,/Users/nickzwart/Desktop/20260722/87369575.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87370069,/Users/nickzwart/Desktop/20260722/87370069.json,__Taichicchi__,1,0,Cynthia-Garchomp,0.597,1042
87370716,/Users/nickzwart/Desktop/20260722/87370716.json,__Taichicchi__,0,1,Dipplin,0.597,1042
87371273,/Users/nickzwart/Desktop/20260722/87371273.json,__Taichicchi__,0,1,Crustle,0.597,1042
87372039,/Users/nickzwart/Desktop/20260722/87372039.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87372839,/Users/nickzwart/Desktop/20260722/87372839.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87372897,/Users/nickzwart/Desktop/20260722/87372897.json,__Taichicchi__,1,1,Dragapult,0.597,1042
87374956,/Users/nickzwart/Desktop/20260722/87374956.json,__Taichicchi__,0,1,Dipplin,0.597,1042
87375702,/Users/nickzwart/Desktop/20260722/87375702.json,__Taichicchi__,0,0,Alakazam,0.597,1042
87380686,/Users/nickzwart/Desktop/20260722/87380686.json,__Taichicchi__,1,1,Alakazam,0.597,1042
87383375,/Users/nickzwart/Desktop/20260722/87383375.json,__Taichicchi__,1,1,Grimmsnarl,0.597,1042
87386885,/Users/nickzwart/Desktop/20260722/87386885.json,__Taichicchi__,1,0,Grimmsnarl,0.597,1042
87390272,/Users/nickzwart/Desktop/20260722/87390272.json,__Taichicchi__,1,0,other,0.597,1042
87390836,/Users/nickzwart/Desktop/20260722/87390836.json,__Taichicchi__,1,0,Alakazam,0.597,1042
87393050,/Users/nickzwart/Desktop/20260722/87393050.json,__Taichicchi__,0,1,Grimmsnarl,0.597,1042
