episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
89522110,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89522110.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89522648,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89522648.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89523215,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89523215.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89523766,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89523766.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89524329,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89524329.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89524861,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89524861.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89525416,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89525416.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89525967,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89525967.json,Majkel1337,1,0,other,0.747,1282,M-Lucario,majkel
89526533,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89526533.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89527082,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89527082.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89527641,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89527641.json,Majkel1337,1,0,other,0.747,1282,M-Lucario,majkel
89528203,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89528203.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89528885,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89528885.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89529303,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89529303.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89529849,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89529849.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89530417,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89530417.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
89530978,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89530978.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89531529,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89531529.json,Majkel1337,1,0,other,0.747,1282,M-Lucario,majkel
89532096,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89532096.json,Majkel1337,0,0,other,0.747,1282,M-Lucario,majkel
89532680,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89532680.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89533217,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89533217.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89533772,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89533772.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89534325,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89534325.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89534344,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89534344.json,Majkel1337,0,1,other,0.747,1282,M-Lucario,majkel
89534894,/Users/nickzwart/Desktop/PTCG-AI-Challenge/Majkel1337/89534894.json,Majkel1337,1,1,other,0.747,1282,M-Lucario,majkel
