episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
90804962,/Users/nickzwart/Desktop/Makjkel1337/90804962.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90805793,/Users/nickzwart/Desktop/Makjkel1337/90805793.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90806609,/Users/nickzwart/Desktop/Makjkel1337/90806609.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90807450,/Users/nickzwart/Desktop/Makjkel1337/90807450.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90807646,/Users/nickzwart/Desktop/Makjkel1337/90807646.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90808275,/Users/nickzwart/Desktop/Makjkel1337/90808275.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90809313,/Users/nickzwart/Desktop/Makjkel1337/90809313.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90810009,/Users/nickzwart/Desktop/Makjkel1337/90810009.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90810784,/Users/nickzwart/Desktop/Makjkel1337/90810784.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90811622,/Users/nickzwart/Desktop/Makjkel1337/90811622.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90812457,/Users/nickzwart/Desktop/Makjkel1337/90812457.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90813316,/Users/nickzwart/Desktop/Makjkel1337/90813316.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90814126,/Users/nickzwart/Desktop/Makjkel1337/90814126.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90814948,/Users/nickzwart/Desktop/Makjkel1337/90814948.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90815775,/Users/nickzwart/Desktop/Makjkel1337/90815775.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90816607,/Users/nickzwart/Desktop/Makjkel1337/90816607.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90817446,/Users/nickzwart/Desktop/Makjkel1337/90817446.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90818278,/Users/nickzwart/Desktop/Makjkel1337/90818278.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90819096,/Users/nickzwart/Desktop/Makjkel1337/90819096.json,Majkel1337,1,1,mixed,0.75,0,M-Lucario,new
90820737,/Users/nickzwart/Desktop/Makjkel1337/90820737.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90821572,/Users/nickzwart/Desktop/Makjkel1337/90821572.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90823271,/Users/nickzwart/Desktop/Makjkel1337/90823271.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90824056,/Users/nickzwart/Desktop/Makjkel1337/90824056.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
90824891,/Users/nickzwart/Desktop/Makjkel1337/90824891.json,Majkel1337,0,1,mixed,0.75,0,M-Lucario,new
