episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
89908599,/Users/nickzwart/Downloads/03082026/89908599.json,213tubo,0,1,Grimmsnarl,0.579,361,Meganium,dump0304
89989724,/Users/nickzwart/Downloads/03082026/89989724.json,Yan,0,1,Meganium,0.5,62,Meganium,dump0304
89835994,/Users/nickzwart/Downloads/03082026/89835994.json,SoichiOzaki,0,1,Alakazam,0.518,56,Meganium,dump0304
89821191,/Users/nickzwart/Downloads/03082026/89821191.json,keidroid,1,1,M-Kangaskhan,0.489,178,Meganium,dump0304
90030393,/Users/nickzwart/Downloads/03082026/90030393.json,tw_shin,0,1,Meganium,0.579,95,Meganium,dump0304
89987151,/Users/nickzwart/Downloads/03082026/89987151.json,Battle Data Base,1,1,Meganium,0.522,23,Meganium,dump0304
89878107,/Users/nickzwart/Downloads/03082026/89878107.json,tw_shin,1,1,Grimmsnarl,0.579,95,Meganium,dump0304
90013689,/Users/nickzwart/Downloads/03082026/90013689.json,tonakaiiii,1,1,Grimmsnarl,0.556,142,Meganium,dump0304
89897360,/Users/nickzwart/Downloads/03082026/89897360.json,213tubo,0,1,Grimmsnarl,0.579,361,Meganium,dump0304
90033116,/Users/nickzwart/Downloads/03082026/90033116.json,Yan,0,1,M-Kangaskhan,0.5,62,Meganium,dump0304
89855784,/Users/nickzwart/Downloads/03082026/89855784.json,tw_shin,0,1,Meganium,0.579,95,Meganium,dump0304
90011030,/Users/nickzwart/Downloads/03082026/90011030.json,Yan,0,1,Grimmsnarl,0.5,62,Meganium,dump0304
90022245,/Users/nickzwart/Downloads/03082026/90022245.json,tw_shin,1,1,M-Kangaskhan,0.579,95,Meganium,dump0304
90034539,/Users/nickzwart/Downloads/03082026/90034539.json,tw_shin,1,1,Alakazam,0.579,95,Meganium,dump0304
89932373,/Users/nickzwart/Downloads/03082026/89932373.json,SoichiOzaki,0,1,Meganium,0.518,56,Meganium,dump0304
90040414,/Users/nickzwart/Downloads/03082026/90040414.json,Petit Canard,1,1,Grimmsnarl,0.556,9,Meganium,dump0304
90009928,/Users/nickzwart/Downloads/03082026/90009928.json,insuperabilehart,0,1,Alakazam,0.562,194,Meganium,dump0304
89839935,/Users/nickzwart/Downloads/03082026/89839935.json,tw_shin,1,1,Alakazam,0.579,95,Meganium,dump0304
90014588,/Users/nickzwart/Downloads/03082026/90014588.json,Majkel1337,0,1,Grimmsnarl,0.647,662,Meganium,dump0304
90002325,/Users/nickzwart/Downloads/03082026/90002325.json,KouFu,0,1,Dragapult,0.52,50,Meganium,dump0304
90006673,/Users/nickzwart/Downloads/03082026/90006673.json,タニシ,0,1,Grimmsnarl,0.458,48,Meganium,dump0304
90022910,/Users/nickzwart/Downloads/03082026/90022910.json,Majkel1337,0,1,Alakazam,0.647,662,Meganium,dump0304
89924823,/Users/nickzwart/Downloads/03082026/89924823.json,Yan,0,1,Grimmsnarl,0.5,62,Meganium,dump0304
89820128,/Users/nickzwart/Downloads/03082026/89820128.json,keidroid,0,1,Alakazam,0.489,178,Meganium,dump0304
