episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
91607640,/Users/nickzwart/Desktop/ANDPAD/91607640.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91603024,/Users/nickzwart/Desktop/ANDPAD/91603024.json,ANDPAD kaggler team,0,1,mixed,1.0,11,M-Kangaskhan,andpad
91606693,/Users/nickzwart/Desktop/ANDPAD/91606693.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91604856,/Users/nickzwart/Desktop/ANDPAD/91604856.json,ANDPAD kaggler team,0,1,mixed,1.0,11,M-Kangaskhan,andpad
91610462,/Users/nickzwart/Desktop/ANDPAD/91610462.json,ANDPAD kaggler team,0,1,mixed,1.0,11,M-Kangaskhan,andpad
91608573,/Users/nickzwart/Desktop/ANDPAD/91608573.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91603935,/Users/nickzwart/Desktop/ANDPAD/91603935.json,ANDPAD kaggler team,0,1,mixed,1.0,11,M-Kangaskhan,andpad
91609591,/Users/nickzwart/Desktop/ANDPAD/91609591.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91609514,/Users/nickzwart/Desktop/ANDPAD/91609514.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91605795,/Users/nickzwart/Desktop/ANDPAD/91605795.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
91611410,/Users/nickzwart/Desktop/ANDPAD/91611410.json,ANDPAD kaggler team,1,1,mixed,1.0,11,M-Kangaskhan,andpad
