episode,path,player,side,won,player_winrate,opp_deck
90888495,/Users/nickzwart/Desktop/Palsystem 2/90888495.json,loIzpo + emonga,1,0,0.5057,Ogerpon
90870808,/Users/nickzwart/Desktop/Palsystem 2/90870808.json,Funky,0,0,0.54,Ogerpon
90871644,/Users/nickzwart/Desktop/Palsystem 2/90871644.json,Marshall Maximizer,1,0,0.75,Ogerpon
90896081,/Users/nickzwart/Desktop/Palsystem 2/90896081.json,Jack,1,0,0.5227,Ogerpon
90900278,/Users/nickzwart/Desktop/Palsystem 2/90900278.json,matsurih,0,0,0.5393,Ogerpon
90891039,/Users/nickzwart/Desktop/Palsystem 2/90891039.json,JB Bryant,1,0,0.5657,Ogerpon
90867378,/Users/nickzwart/Desktop/Palsystem 2/90867378.json,matsurih,0,0,0.5393,Ogerpon
90877558,/Users/nickzwart/Desktop/Palsystem 2/90877558.json,Marshall Maximizer,1,1,0.75,Ogerpon
90880948,/Users/nickzwart/Desktop/Palsystem 2/90880948.json,matsurih,1,1,0.5393,Ogerpon
90903731,/Users/nickzwart/Desktop/Palsystem 2/90903731.json,insuperabilehart,1,0,0.529,Ogerpon
90905443,/Users/nickzwart/Desktop/Palsystem 2/90905443.json,NIWATORI,0,0,0.5357,Ogerpon
90906308,/Users/nickzwart/Desktop/Palsystem 2/90906308.json,sadwat,1,0,0.5339,Ogerpon
90934758,/Users/nickzwart/Desktop/Palsystem 2/90934758.json,sadwat,1,0,0.5339,Ogerpon
90994831,/Users/nickzwart/Desktop/Palsystem 2/90994831.json,insuperabilehart,0,1,0.529,Ogerpon
91125632,/Users/nickzwart/Desktop/Palsystem 2/91125632.json,M Sato,1,0,0.5857,Ogerpon
91059422,/Users/nickzwart/Desktop/Palsystem 2/91059422.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,1,0.6714,Ogerpon
91068166,/Users/nickzwart/Desktop/Palsystem 2/91068166.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,0,0.6714,Ogerpon
91240039,/Users/nickzwart/Desktop/Palsystem 2/91240039.json,M Sato,1,0,0.5857,Ogerpon
91248983,/Users/nickzwart/Desktop/Palsystem 2/91248983.json,M Sato,1,0,0.5857,Ogerpon
91319578,/Users/nickzwart/Desktop/Palsystem 2/91319578.json,LiamK,1,0,0.4444,Ogerpon
91365484,/Users/nickzwart/Desktop/Palsystem 2/91365484.json,perrodawn,0,0,0.5098,Ogerpon
91442363,/Users/nickzwart/Desktop/Palsystem 2/91442363.json,カントー地方マスター(KantoRegionMaster),0,0,0.6786,Ogerpon
91455853,/Users/nickzwart/Desktop/Palsystem 2/91455853.json,LiamK,1,1,0.4444,Ogerpon
91153526,/Users/nickzwart/Desktop/8-8-2026/91153526.json,kwa,0,1,0.5802,Grimmsnarl
91153785,/Users/nickzwart/Desktop/8-8-2026/91153785.json,stnick,0,1,0.5246,M-Lopunny
91153785,/Users/nickzwart/Desktop/8-8-2026/91153785.json,insuperabilehart,1,0,0.529,M-Lopunny
