episode,path,player,side,won,player_winrate,opp_deck
90885133,/Users/nickzwart/Desktop/Palsystem 2/90885133.json,Majkel1337,1,1,0.5338,Ogerpon
90939953,/Users/nickzwart/Desktop/Palsystem 2/90939953.json,Majkel1337,1,0,0.5338,Ogerpon
90976510,/Users/nickzwart/Desktop/Palsystem 2/90976510.json,Majkel1337,0,1,0.5338,Ogerpon
91131017,/Users/nickzwart/Desktop/Palsystem 2/91131017.json,Majkel1337,0,1,0.5338,Ogerpon
91026658,/Users/nickzwart/Desktop/Palsystem 2/91026658.json,Majkel1337,1,1,0.5338,Ogerpon
91148404,/Users/nickzwart/Desktop/Palsystem 2/91148404.json,Majkel1337,0,1,0.5338,Ogerpon
91155598,/Users/nickzwart/Desktop/Palsystem 2/91155598.json,Majkel1337,1,1,0.5338,Ogerpon
91289085,/Users/nickzwart/Desktop/Palsystem 2/91289085.json,Majkel1337,0,1,0.5338,Ogerpon
91388266,/Users/nickzwart/Desktop/Palsystem 2/91388266.json,M Sato,1,0,0.6557,Ogerpon
91397002,/Users/nickzwart/Desktop/Palsystem 2/91397002.json,M Sato,1,0,0.6557,Ogerpon
91724674,/Users/nickzwart/Desktop/Palsystem 2/91724674.json,李秉叡（ntumlnoob）,1,0,0.4694,Ogerpon
91724725,/Users/nickzwart/Desktop/Palsystem 2/91724725.json,李秉叡（ntumlnoob）,0,1,0.4694,Ogerpon
91154707,/Users/nickzwart/Desktop/8-8-2026/91154707.json,Majkel1337,1,1,0.5338,Alakazam
91156301,/Users/nickzwart/Desktop/8-8-2026/91156301.json,Abhyuday,0,1,0.5,Grimmsnarl
91156479,/Users/nickzwart/Desktop/8-8-2026/91156479.json,Majkel1337,1,1,0.5338,Alakazam
91157371,/Users/nickzwart/Desktop/8-8-2026/91157371.json,Majkel1337,0,1,0.5338,Alakazam
91158126,/Users/nickzwart/Desktop/8-8-2026/91158126.json,LiamK,0,0,0.587,other
91158253,/Users/nickzwart/Desktop/8-8-2026/91158253.json,Majkel1337,1,0,0.5338,M-Kangaskhan
91160028,/Users/nickzwart/Desktop/8-8-2026/91160028.json,Majkel1337,0,1,0.5338,M-Kangaskhan
91160764,/Users/nickzwart/Desktop/8-8-2026/91160764.json,213tubo,0,0,0.7358,Grimmsnarl
91164217,/Users/nickzwart/Desktop/8-8-2026/91164217.json,李秉叡（ntumlnoob）,1,0,0.4694,Ogerpon
91165048,/Users/nickzwart/Desktop/8-8-2026/91165048.json,213tubo,0,1,0.7358,Ogerpon
91166943,/Users/nickzwart/Desktop/8-8-2026/91166943.json,LiamK,1,0,0.587,Alakazam
91169696,/Users/nickzwart/Desktop/8-8-2026/91169696.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,1,0.5652,M-Lopunny
91172032,/Users/nickzwart/Desktop/8-8-2026/91172032.json,Pokemon Fan,0,0,0.4444,Alakazam
91173854,/Users/nickzwart/Desktop/8-8-2026/91173854.json,LiamK,0,1,0.587,other
91173750,/Users/nickzwart/Desktop/8-8-2026/91173750.json,李秉叡（ntumlnoob）,1,0,0.4694,Grimmsnarl
91174710,/Users/nickzwart/Desktop/8-8-2026/91174710.json,李秉叡（ntumlnoob）,1,0,0.4694,Grimmsnarl
91178230,/Users/nickzwart/Desktop/8-8-2026/91178230.json,李秉叡（ntumlnoob）,1,1,0.4694,M-Lopunny
91178299,/Users/nickzwart/Desktop/8-8-2026/91178299.json,213tubo,1,0,0.7358,Grimmsnarl
91178397,/Users/nickzwart/Desktop/8-8-2026/91178397.json,Majkel1337,0,0,0.5338,M-Kangaskhan
91186998,/Users/nickzwart/Desktop/8-8-2026/91186998.json,대답해드리는게인지상정,0,0,0.5155,Grimmsnarl
91187279,/Users/nickzwart/Desktop/8-8-2026/91187279.json,LiamK,1,1,0.587,Grimmsnarl
91187909,/Users/nickzwart/Desktop/8-8-2026/91187909.json,대답해드리는게인지상정,1,1,0.5155,Crustle
91190555,/Users/nickzwart/Desktop/8-8-2026/91190555.json,대답해드리는게인지상정,1,0,0.5155,Grimmsnarl
91193208,/Users/nickzwart/Desktop/8-8-2026/91193208.json,대답해드리는게인지상정,0,1,0.5155,Ogerpon
91194044,/Users/nickzwart/Desktop/8-8-2026/91194044.json,대답해드리는게인지상정,0,1,0.5155,Grimmsnarl
91194970,/Users/nickzwart/Desktop/8-8-2026/91194970.json,대답해드리는게인지상정,0,0,0.5155,M-Kangaskhan
91193305,/Users/nickzwart/Desktop/8-8-2026/91193305.json,Abhyuday,0,0,0.5,Grimmsnarl
91193341,/Users/nickzwart/Desktop/8-8-2026/91193341.json,LiamK,1,1,0.587,M-Lopunny
91195871,/Users/nickzwart/Desktop/8-8-2026/91195871.json,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,0,0,0.5652,M-Lucario
91195871,/Users/nickzwart/Desktop/8-8-2026/91195871.json,대답해드리는게인지상정,1,1,0.5155,M-Lucario
91195894,/Users/nickzwart/Desktop/8-8-2026/91195894.json,213tubo,0,0,0.7358,Hydrapple
91197632,/Users/nickzwart/Desktop/8-8-2026/91197632.json,대답해드리는게인지상정,1,0,0.5155,Alakazam
