episode,path,player,side,won,player_winrate,opp_deck
90884326,/Users/nickzwart/Desktop/Palsystem 2/90884326.json,藤田聖矢,0,0,0.0,Ogerpon
91275482,/Users/nickzwart/Desktop/8-8-2026/91275482.json,🐱KittenLeague🐱,1,0,0.0,Grimmsnarl
91285245,/Users/nickzwart/Desktop/8-8-2026/91285245.json,KL,0,1,0.5,Grimmsnarl
91287976,/Users/nickzwart/Desktop/8-8-2026/91287976.json,KL,0,0,0.5,Grimmsnarl
91350852,/Users/nickzwart/Desktop/8-8-2026/91350852.json,Mibbles' Lab,1,1,0.5,Dragapult
91351771,/Users/nickzwart/Desktop/8-8-2026/91351771.json,Mibbles' Lab,0,0,0.5,M-Lucario
91381767,/Users/nickzwart/Desktop/8-8-2026/91381767.json,🫣🤧,1,1,0.6,Grimmsnarl
91383462,/Users/nickzwart/Desktop/8-8-2026/91383462.json,🫣🤧,0,1,0.6,Dragapult
91382570,/Users/nickzwart/Desktop/8-8-2026/91382570.json,🫣🤧,0,1,0.6,M-Kangaskhan
91385299,/Users/nickzwart/Desktop/8-8-2026/91385299.json,🫣🤧,1,1,0.6,Crustle
91384398,/Users/nickzwart/Desktop/8-8-2026/91384398.json,🫣🤧,0,1,0.6,Grimmsnarl
91387079,/Users/nickzwart/Desktop/8-8-2026/91387079.json,🫣🤧,1,0,0.6,M-Lopunny
91387998,/Users/nickzwart/Desktop/8-8-2026/91387998.json,🫣🤧,1,0,0.6,Grimmsnarl
91389211,/Users/nickzwart/Desktop/8-8-2026/91389211.json,🫣🤧,0,0,0.6,Alakazam
91388900,/Users/nickzwart/Desktop/8-8-2026/91388900.json,🫣🤧,1,1,0.6,M-Lopunny
91389821,/Users/nickzwart/Desktop/8-8-2026/91389821.json,🫣🤧,0,1,0.6,Ogerpon
91392562,/Users/nickzwart/Desktop/8-8-2026/91392562.json,🫣🤧,1,1,0.6,Ogerpon
91391642,/Users/nickzwart/Desktop/8-8-2026/91391642.json,🫣🤧,0,0,0.6,M-Kangaskhan
91393472,/Users/nickzwart/Desktop/8-8-2026/91393472.json,🫣🤧,1,1,0.6,Grimmsnarl
91394382,/Users/nickzwart/Desktop/8-8-2026/91394382.json,🫣🤧,1,1,0.6,M-Lopunny
