episode,path,player,side,won,player_winrate,opp_deck
90882616,/Users/nickzwart/Desktop/Palsystem 2/90882616.json,palsystem,0,0,0.6121,Alakazam
90883470,/Users/nickzwart/Desktop/Palsystem 2/90883470.json,palsystem,1,1,0.6121,M-Froslass
90884326,/Users/nickzwart/Desktop/Palsystem 2/90884326.json,palsystem,1,1,0.6121,M-Starmie
90885133,/Users/nickzwart/Desktop/Palsystem 2/90885133.json,palsystem,0,0,0.6121,M-Lucario
90885979,/Users/nickzwart/Desktop/Palsystem 2/90885979.json,palsystem,1,1,0.6121,Alakazam
90886821,/Users/nickzwart/Desktop/Palsystem 2/90886821.json,palsystem,1,0,0.6121,M-Kangaskhan
90887660,/Users/nickzwart/Desktop/Palsystem 2/90887660.json,palsystem,0,1,0.6121,other
90888495,/Users/nickzwart/Desktop/Palsystem 2/90888495.json,palsystem,0,1,0.6121,M-Lopunny
90869946,/Users/nickzwart/Desktop/Palsystem 2/90869946.json,palsystem,0,1,0.6121,Grimmsnarl
90870808,/Users/nickzwart/Desktop/Palsystem 2/90870808.json,palsystem,1,1,0.6121,M-Lopunny
90871644,/Users/nickzwart/Desktop/Palsystem 2/90871644.json,palsystem,0,1,0.6121,M-Lopunny
90872498,/Users/nickzwart/Desktop/Palsystem 2/90872498.json,palsystem,0,0,0.6121,Dragapult
90873341,/Users/nickzwart/Desktop/Palsystem 2/90873341.json,palsystem,1,1,0.6121,M-Kangaskhan
90874170,/Users/nickzwart/Desktop/Palsystem 2/90874170.json,palsystem,1,1,0.6121,Grimmsnarl
90875034,/Users/nickzwart/Desktop/Palsystem 2/90875034.json,palsystem,0,1,0.6121,Alakazam
90875873,/Users/nickzwart/Desktop/Palsystem 2/90875873.json,palsystem,1,0,0.6121,Grimmsnarl
90896081,/Users/nickzwart/Desktop/Palsystem 2/90896081.json,palsystem,0,1,0.6121,M-Lopunny
90896980,/Users/nickzwart/Desktop/Palsystem 2/90896980.json,palsystem,0,0,0.6121,M-Kangaskhan
90897757,/Users/nickzwart/Desktop/Palsystem 2/90897757.json,palsystem,1,1,0.6121,M-Kangaskhan
90898589,/Users/nickzwart/Desktop/Palsystem 2/90898589.json,palsystem,1,0,0.6121,M-Kangaskhan
90899503,/Users/nickzwart/Desktop/Palsystem 2/90899503.json,palsystem,1,0,0.6121,Alakazam
90900278,/Users/nickzwart/Desktop/Palsystem 2/90900278.json,palsystem,1,1,0.6121,M-Lopunny
90901029,/Users/nickzwart/Desktop/Palsystem 2/90901029.json,palsystem,1,0,0.6121,Alakazam
90902009,/Users/nickzwart/Desktop/Palsystem 2/90902009.json,palsystem,0,0,0.6121,Grimmsnarl
90889356,/Users/nickzwart/Desktop/Palsystem 2/90889356.json,palsystem,1,1,0.6121,Grimmsnarl
90890196,/Users/nickzwart/Desktop/Palsystem 2/90890196.json,palsystem,1,0,0.6121,Alakazam
90891039,/Users/nickzwart/Desktop/Palsystem 2/90891039.json,palsystem,0,1,0.6121,M-Lopunny
90891880,/Users/nickzwart/Desktop/Palsystem 2/90891880.json,palsystem,1,0,0.6121,other
90892739,/Users/nickzwart/Desktop/Palsystem 2/90892739.json,palsystem,0,1,0.6121,Alakazam
90893584,/Users/nickzwart/Desktop/Palsystem 2/90893584.json,palsystem,1,0,0.6121,Grimmsnarl
90894520,/Users/nickzwart/Desktop/Palsystem 2/90894520.json,palsystem,1,0,0.6121,other
90895249,/Users/nickzwart/Desktop/Palsystem 2/90895249.json,palsystem,0,1,0.6121,Ogerpon
90895249,/Users/nickzwart/Desktop/Palsystem 2/90895249.json,Artalmaz31,1,0,0.2857,Ogerpon
90863087,/Users/nickzwart/Desktop/Palsystem 2/90863087.json,palsystem,0,1,0.6121,Dragapult
90863928,/Users/nickzwart/Desktop/Palsystem 2/90863928.json,palsystem,0,1,0.6121,Dragapult
90864790,/Users/nickzwart/Desktop/Palsystem 2/90864790.json,palsystem,0,1,0.6121,M-Kangaskhan
90865646,/Users/nickzwart/Desktop/Palsystem 2/90865646.json,palsystem,0,1,0.6121,Grimmsnarl
90866494,/Users/nickzwart/Desktop/Palsystem 2/90866494.json,palsystem,1,1,0.6121,other
90867378,/Users/nickzwart/Desktop/Palsystem 2/90867378.json,palsystem,1,1,0.6121,M-Lopunny
90868231,/Users/nickzwart/Desktop/Palsystem 2/90868231.json,palsystem,1,1,0.6121,M-Lucario
90869101,/Users/nickzwart/Desktop/Palsystem 2/90869101.json,palsystem,0,1,0.6121,Grimmsnarl
90876731,/Users/nickzwart/Desktop/Palsystem 2/90876731.json,palsystem,0,1,0.6121,Grimmsnarl
90877558,/Users/nickzwart/Desktop/Palsystem 2/90877558.json,palsystem,0,0,0.6121,M-Lopunny
90878418,/Users/nickzwart/Desktop/Palsystem 2/90878418.json,palsystem,1,1,0.6121,M-Kangaskhan
90879246,/Users/nickzwart/Desktop/Palsystem 2/90879246.json,palsystem,0,1,0.6121,M-Froslass
90880156,/Users/nickzwart/Desktop/Palsystem 2/90880156(1).json,palsystem,0,1,0.6121,Dragapult
90880948,/Users/nickzwart/Desktop/Palsystem 2/90880948.json,palsystem,0,0,0.6121,M-Lopunny
90881789,/Users/nickzwart/Desktop/Palsystem 2/90881789.json,palsystem,0,1,0.6121,other
90902865,/Users/nickzwart/Desktop/Palsystem 2/90902865.json,palsystem,0,1,0.6121,Ogerpon
90902865,/Users/nickzwart/Desktop/Palsystem 2/90902865.json,takayosi,1,0,0.3983,Ogerpon
90903731,/Users/nickzwart/Desktop/Palsystem 2/90903731.json,palsystem,0,1,0.6121,M-Lopunny
90904584,/Users/nickzwart/Desktop/Palsystem 2/90904584.json,palsystem,0,0,0.6121,Alakazam
90905443,/Users/nickzwart/Desktop/Palsystem 2/90905443.json,palsystem,1,1,0.6121,M-Lopunny
90906308,/Users/nickzwart/Desktop/Palsystem 2/90906308.json,palsystem,0,1,0.6121,M-Lopunny
90908005,/Users/nickzwart/Desktop/Palsystem 2/90908005.json,palsystem,1,1,0.6121,Alakazam
90908848,/Users/nickzwart/Desktop/Palsystem 2/90908848.json,palsystem,0,0,0.6121,Alakazam
90909675,/Users/nickzwart/Desktop/Palsystem 2/90909675.json,palsystem,0,1,0.6121,Crustle
90910549,/Users/nickzwart/Desktop/Palsystem 2/90910549.json,palsystem,1,1,0.6121,Grimmsnarl
90911424,/Users/nickzwart/Desktop/Palsystem 2/90911424.json,palsystem,1,0,0.6121,M-Kangaskhan
90918228,/Users/nickzwart/Desktop/Palsystem 2/90918228.json,palsystem,0,1,0.6121,Grimmsnarl
90919835,/Users/nickzwart/Desktop/Palsystem 2/90919835.json,palsystem,1,1,0.6121,Dragapult
90926326,/Users/nickzwart/Desktop/Palsystem 2/90926326.json,ANDPAD kaggler team,0,0,0.5865,Ogerpon
90926326,/Users/nickzwart/Desktop/Palsystem 2/90926326.json,palsystem,1,1,0.6121,Ogerpon
90934758,/Users/nickzwart/Desktop/Palsystem 2/90934758.json,palsystem,0,1,0.6121,M-Lopunny
90935520,/Users/nickzwart/Desktop/Palsystem 2/90935520.json,palsystem,1,1,0.6121,other
90939953,/Users/nickzwart/Desktop/Palsystem 2/90939953.json,palsystem,0,1,0.6121,M-Lucario
90948177,/Users/nickzwart/Desktop/Palsystem 2/90948177.json,ANDPAD kaggler team,0,0,0.5865,Ogerpon
90948177,/Users/nickzwart/Desktop/Palsystem 2/90948177.json,palsystem,1,1,0.6121,Ogerpon
90948909,/Users/nickzwart/Desktop/Palsystem 2/90948909.json,palsystem,0,0,0.6121,other
90950703,/Users/nickzwart/Desktop/Palsystem 2/90950703.json,palsystem,1,1,0.6121,Grimmsnarl
90959765,/Users/nickzwart/Desktop/Palsystem 2/90959765.json,palsystem,0,1,0.6121,other
