episode,path,player,side,won,player_winrate,opp_deck
90882616,/Users/nickzwart/Desktop/Palsystem 2/90882616.json,palsystem,0,0,0.6233,Alakazam
90883470,/Users/nickzwart/Desktop/Palsystem 2/90883470.json,palsystem,1,1,0.6233,M-Froslass
90884326,/Users/nickzwart/Desktop/Palsystem 2/90884326.json,palsystem,1,1,0.6233,M-Starmie
90885133,/Users/nickzwart/Desktop/Palsystem 2/90885133.json,palsystem,0,0,0.6233,M-Lucario
90885979,/Users/nickzwart/Desktop/Palsystem 2/90885979.json,palsystem,1,1,0.6233,Alakazam
90886821,/Users/nickzwart/Desktop/Palsystem 2/90886821.json,palsystem,1,0,0.6233,M-Kangaskhan
90887660,/Users/nickzwart/Desktop/Palsystem 2/90887660.json,palsystem,0,1,0.6233,other
90888495,/Users/nickzwart/Desktop/Palsystem 2/90888495.json,palsystem,0,1,0.6233,M-Lopunny
90869946,/Users/nickzwart/Desktop/Palsystem 2/90869946.json,palsystem,0,1,0.6233,Grimmsnarl
90870808,/Users/nickzwart/Desktop/Palsystem 2/90870808.json,palsystem,1,1,0.6233,M-Lopunny
90871644,/Users/nickzwart/Desktop/Palsystem 2/90871644.json,palsystem,0,1,0.6233,M-Lopunny
90872498,/Users/nickzwart/Desktop/Palsystem 2/90872498.json,palsystem,0,0,0.6233,Dragapult
90873341,/Users/nickzwart/Desktop/Palsystem 2/90873341.json,palsystem,1,1,0.6233,M-Kangaskhan
90874170,/Users/nickzwart/Desktop/Palsystem 2/90874170.json,palsystem,1,1,0.6233,Grimmsnarl
90875034,/Users/nickzwart/Desktop/Palsystem 2/90875034.json,palsystem,0,1,0.6233,Alakazam
90875873,/Users/nickzwart/Desktop/Palsystem 2/90875873.json,palsystem,1,0,0.6233,Grimmsnarl
90896081,/Users/nickzwart/Desktop/Palsystem 2/90896081.json,palsystem,0,1,0.6233,M-Lopunny
90896980,/Users/nickzwart/Desktop/Palsystem 2/90896980.json,palsystem,0,0,0.6233,M-Kangaskhan
90897757,/Users/nickzwart/Desktop/Palsystem 2/90897757.json,palsystem,1,1,0.6233,M-Kangaskhan
90898589,/Users/nickzwart/Desktop/Palsystem 2/90898589.json,palsystem,1,0,0.6233,M-Kangaskhan
90899503,/Users/nickzwart/Desktop/Palsystem 2/90899503.json,palsystem,1,0,0.6233,Alakazam
90900278,/Users/nickzwart/Desktop/Palsystem 2/90900278.json,palsystem,1,1,0.6233,M-Lopunny
90901029,/Users/nickzwart/Desktop/Palsystem 2/90901029.json,palsystem,1,0,0.6233,Alakazam
90902009,/Users/nickzwart/Desktop/Palsystem 2/90902009.json,palsystem,0,0,0.6233,Grimmsnarl
90889356,/Users/nickzwart/Desktop/Palsystem 2/90889356.json,palsystem,1,1,0.6233,Grimmsnarl
90890196,/Users/nickzwart/Desktop/Palsystem 2/90890196.json,palsystem,1,0,0.6233,Alakazam
