episode,path,player,side,won,player_winrate,opp_deck
92719924,scraped/ss_0813/episode-92719924-replay.json,Sixth Sense,0,0,0.6541,Ogerpon
92719924,scraped/ss_0813/episode-92719924-replay.json,Sixth Sense,1,1,0.6541,Ogerpon
92720013,scraped/ss_0813/episode-92720013-replay.json,Sixth Sense,0,1,0.6541,other
92720953,scraped/ss_0813/episode-92720953-replay.json,Sixth Sense,1,1,0.6541,M-Lucario
92721901,scraped/ss_0813/episode-92721901-replay.json,Sixth Sense,0,1,0.6541,Archaludon
92722817,scraped/ss_0813/episode-92722817-replay.json,Sixth Sense,0,1,0.6541,M-Starmie
92724685,scraped/ss_0813/episode-92724685-replay.json,Sixth Sense,1,1,0.6541,other
92724846,scraped/ss_0813/episode-92724846-replay.json,Sixth Sense,1,1,0.6541,other
92755387,scraped/ss_0813/episode-92755387-replay.json,ANDPAD kaggler team,0,0,0.6301,Ogerpon
92755387,scraped/ss_0813/episode-92755387-replay.json,Sixth Sense,1,1,0.6541,Ogerpon
92756305,scraped/ss_0813/episode-92756305-replay.json,Sixth Sense,0,1,0.6541,Dragapult
92757233,scraped/ss_0813/episode-92757233-replay.json,Sixth Sense,0,1,0.6541,Alakazam
92758174,scraped/ss_0813/episode-92758174-replay.json,Sixth Sense,0,0,0.6541,M-Lopunny
92759097,scraped/ss_0813/episode-92759097-replay.json,Sixth Sense,0,1,0.6541,other
92760019,scraped/ss_0813/episode-92760019-replay.json,Sixth Sense,1,0,0.6541,Alakazam
92760945,scraped/ss_0813/episode-92760945-replay.json,Sixth Sense,0,0,0.6541,Ogerpon
92760945,scraped/ss_0813/episode-92760945-replay.json,熱異常,1,1,0.5,Ogerpon
92761866,scraped/ss_0813/episode-92761866-replay.json,Sixth Sense,1,1,0.6541,Dragapult
92733078,scraped/ss_0813/episode-92733078-replay.json,熱異常,0,1,0.5,Ogerpon
92733078,scraped/ss_0813/episode-92733078-replay.json,Sixth Sense,1,0,0.6541,Ogerpon
92734017,scraped/ss_0813/episode-92734017-replay.json,Sixth Sense,0,0,0.6541,Ogerpon
92734017,scraped/ss_0813/episode-92734017-replay.json,ANDPAD kaggler team,1,1,0.6301,Ogerpon
92734960,scraped/ss_0813/episode-92734960-replay.json,Sixth Sense,1,0,0.6541,M-Kangaskhan
92735869,scraped/ss_0813/episode-92735869-replay.json,Sixth Sense,0,1,0.6541,M-Lopunny
92736814,scraped/ss_0813/episode-92736814-replay.json,Sixth Sense,0,1,0.6541,Ogerpon
92736814,scraped/ss_0813/episode-92736814-replay.json,ANDPAD kaggler team,1,0,0.6301,Ogerpon
92737744,scraped/ss_0813/episode-92737744-replay.json,Sixth Sense,1,1,0.6541,Garchomp
92738667,scraped/ss_0813/episode-92738667-replay.json,Sixth Sense,0,0,0.6541,Dragapult
92739632,scraped/ss_0813/episode-92739632-replay.json,Sixth Sense,0,1,0.6541,Alakazam
92740520,scraped/ss_0813/episode-92740520-replay.json,Sixth Sense,1,1,0.6541,M-Lopunny
