episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
90863087,/Users/nickzwart/Desktop/Palsystem/90863087.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90863928,/Users/nickzwart/Desktop/Palsystem/90863928.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90864790,/Users/nickzwart/Desktop/Palsystem/90864790.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90865646,/Users/nickzwart/Desktop/Palsystem/90865646.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90866494,/Users/nickzwart/Desktop/Palsystem/90866494.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90867378,/Users/nickzwart/Desktop/Palsystem/90867378.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90868231(1),/Users/nickzwart/Desktop/Palsystem/90868231(1).json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90868231,/Users/nickzwart/Desktop/Palsystem/90868231.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90869101,/Users/nickzwart/Desktop/Palsystem/90869101.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90869946,/Users/nickzwart/Desktop/Palsystem/90869946.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90870808,/Users/nickzwart/Desktop/Palsystem/90870808.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90871644,/Users/nickzwart/Desktop/Palsystem/90871644.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90873341,/Users/nickzwart/Desktop/Palsystem/90873341.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90874170,/Users/nickzwart/Desktop/Palsystem/90874170.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90875034,/Users/nickzwart/Desktop/Palsystem/90875034.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90876731,/Users/nickzwart/Desktop/Palsystem/90876731.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90878418,/Users/nickzwart/Desktop/Palsystem/90878418.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
90879246,/Users/nickzwart/Desktop/Palsystem/90879246.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90880156,/Users/nickzwart/Desktop/Palsystem/90880156.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90881789,/Users/nickzwart/Desktop/Palsystem/90881789.json,palsystem,0,1,mixed,0.619,126,Ogerpon,palsystem
90883470,/Users/nickzwart/Desktop/Palsystem/90883470.json,palsystem,1,1,mixed,0.619,126,Ogerpon,palsystem
