episode,path,player,side,won,opp_deck,player_winrate,player_games,my_deck,src
88148312,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88148312.json,zoroark190,0,1,mixed,0.6,0,Ogerpon,__Taichicchi__
88202656,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88202656.json,zoroark190,0,1,mixed,0.6,0,Ogerpon,__Taichicchi__
88190927,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88190927.json,zoroark190,0,1,mixed,0.6,0,Ogerpon,__Taichicchi__
88214806,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88214806.json,zoroark190,0,1,mixed,0.6,0,Ogerpon,__Taichicchi__
88208966,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88208966.json,zoroark190,1,1,mixed,0.6,0,Ogerpon,__Taichicchi__
88167140,/Users/nickzwart/Desktop/PTCG-AI-Challenge/__Taichicchi__/88167140.json,zoroark190,0,1,mixed,0.6,0,Ogerpon,__Taichicchi__
episode-91597627,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91597627-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91583806,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91583806-replay.json,Kilupy,0,1,mixed,0.6,0,Ogerpon,oger
episode-91585657,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91585657-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91576364,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91576364-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91590279,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91590279-replay.json,Kilupy,0,1,mixed,0.6,0,Ogerpon,oger
episode-91572657,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91572657-replay.json,Kilupy,0,1,mixed,0.6,0,Ogerpon,oger
episode-91593977,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91593977-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91587495,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91587495-replay.json,Kilupy,0,1,mixed,0.6,0,Ogerpon,oger
episode-91591232,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91591232-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91573566,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91573566-replay.json,Kilupy,1,1,mixed,0.6,0,Ogerpon,oger
episode-91577283,/Users/nickzwart/Desktop/PTCG-AI-Challenge/oger/episode-91577283-replay.json,Kilupy,0,1,mixed,0.6,0,Ogerpon,oger
