rank,team_id,team_name,score,submission_id
1,16422150,junlee789,1242.9,54775633
2,16448747,Luca,1232.1,54769280
3,16372029,Jack,1226.4,54814341
4,16372380,THIRD PTCG Club,1214.5,54810671
5,16381823,Yushin Ito,1198.6,54773249
6,16397524,jiatu.l,1150.1,54826859
7,16374395,Majkel1337,1144.3,54662660
8,16381624,LumenLiquidity,1121.6,54791294
9,16371427,bono,1118.2,54797416
10,16379968,Kotaro OKUYAMA,1109.6,54798842
11,16404352,Oshbocker,1106.2,54814033
12,16375066,youtube.com/@BigBugginnings,1105.0,54816919
13,16445525,齐乐,1097.1,54814758
14,16514212,Dieter,1097.0,54777244
15,16373946,KawattaTaido,1096.5,54748313
16,16401597,Benarg,1071.0,54796250
17,16406640,gecogeco,1070.1,54826652
18,16425135,Rmy,1068.9,54750312
19,16471516,wally0593,1068.9,54822733
20,16400014,__Taichicchi__,1065.2,54821189
21,16372361,pokeca2018,1065.0,54824940
22,16375320,カントー地方マスター,1060.6,54810178
23,16389043,Pushu?,1058.8,54800981
24,16388364,miya,1058.1,54775722
25,16411029,rick & shikitora,1056.3,54794326
26,16417358,NoOne,1049.9,54821548
27,16482392,Skyra,1047.8,54815165
28,16464757,wwwwwwwwwwwwwwwwwwww,1046.4,54828060
29,16378002,Battle Data Base,1044.7,54810700
30,16385250,matsurih,1044.7,54799145
31,16379865,Abhyuday,1043.4,54808666
32,16397982,NorthStar,1039.5,54789088
33,16391443,capbloo,1039.2,54623440
34,16377557,ポケカ前線,1038.7,54817668
35,16440585,Brahim Driss,1037.4,54815176
36,16463316,LiamK,1036.6,54754477
37,16372828,iwashi,1034.3,54632322
38,16408528,MtN,1033.6,54828605
39,16375173,pztriatomic,1033.1,54768732
40,16419163,Xander,1032.5,54820119
41,16406979,palsystem,1032.3,54800030
42,16421599,Marshall Maximizer,1031.0,54819609
43,16442659,cununn,1026.1,54822729
44,16372517,S4nkurero,1025.2,54784529
45,16374432,shg195,1024.9,54813438
46,16539421,Zachary Zhang,1024.6,54806006
47,16371466,btk15049,1023.6,54783228
48,16403402,takaygiiiiiiii,1022.8,54820380
49,16489356,Bulba-Zero,1022.3,54620684
50,16379599,v0m0v,1021.1,54821249
51,16420537,tonakaiiii,1020.6,54612214
52,16374073,akmr,1019.0,54818558
53,16461850,Eduardo Rocha de Andrade,1019.0,54806513
54,16414053,タニシ,1019.0,54819407
55,16371434,Budew,1018.5,54810096
56,16371479,ヌメルゴンex,1018.0,54668562
57,16441077,haggle,1017.8,54808391
58,16374973,Julian,1015.2,54798028
59,16404960,Haumea,1013.9,54813498
60,16383917,koala_bear “もりたにあん”,1013.1,54769730
61,16371474,Shardul Gharat,1012.7,54800676
62,16430229,ToastUz,1011.6,54701889
63,16514272,Dominic Peel,1010.7,54816366
64,16377894,Orin,1010.6,54765390
65,16383673,Banjo,1010.2,54793769
66,16375647,zoroark190,1009.7,54498062
67,16513666,Olegolas1,1007.4,54649246
68,16538751,OverfitOracle,1007.4,54744428
69,16481079,chenpengyu603,1006.3,54802873
70,16471628,mitomeat823,1006.2,54411920
71,16380895,Sota Uchiyama,1005.9,54491407
72,16375942,perrodawn,1005.3,54827435
73,16431331,insuperabilehart,1004.9,54815464
74,16385080,Michael Long,1004.2,54735721
75,16376465,monnosuke,1003.4,54827352
76,16376057,rotto,1003.1,54786659
77,16482183,haruto,1002.7,54724729
78,16379097,Terutora Tachibana,1002.0,54716374
79,16375635,ktr,1000.9,54806573
80,16393241,WinDecks,1000.8,54760878
81,16418377,MR.h,1000.3,54824595
82,16371722,nasuo445,998.5,54786669
83,16532420,hoshi18,997.3,54794808
84,16376033,Mega LayerEX,995.0,54796268
85,16376997,denden12,994.4,54824265
86,16470414,Larry,994.2,54749448
87,16372307,Team KASA.,994.0,54777485
88,16373720,MooDerEchte,993.7,54815999
89,16514497,beeyan,993.6,54827550
90,16385225,xnx,993.0,54818383
91,16386872,titako0000,992.9,54726772
92,16385029,Help-Computa,992.6,54794564
93,16473179,ei ei ei yikuso,992.5,54819933
94,16385372,kashiwashira,992.2,54829486
95,16512241,giacomovin,991.8,54770014
96,16378476,aaa,991.3,54820354
97,16391736,Akira-Ninth,990.0,54074175
98,16371829,e-toppo + kurupical,989.7,54825606
99,16387915,tw_shin,988.4,54809294
100,16371609,Team Rocket,986.7,54822259
101,16376569,Shunji Minode,986.5,54824839
102,16427548,ttmn,986.0,54820167
103,16477900,Souya__1234,985.6,54803181
104,16376582,Arthurs Torres24,985.2,54800191
105,16475917,base_camp_2002,985.0,54816802
106,16378944,CoCoSh,984.7,54817170
107,16411724,me and the lads,984.3,54712590
108,16426547,magu1234,983.0,54772144
109,16531269,Dries @ Tufa Labs,982.9,54814949
110,16445366,渡邊征央,982.8,54557427
111,16541765,less,982.2,
112,16386246,懒惰的金枪鱼,981.6,54819898
113,16454068,Where is my orbit,981.4,54505396
114,16510891,鸽鸽257,981.2,54810641
115,16385877,SebaMG,981.0,54829755
116,16426595,Xiangyu Liu,980.7,54806190
117,16381310,fuga doggo,978.1,54799039
118,16380201,xthixsl_ml,977.8,54762458
119,16376598,Kohecchi,977.7,54817739
120,16383238,Dũng Đỗ,976.0,54642914
121,16375329,Takuya Ando,975.4,54376288
122,16499803,Team Rot-Weiß,974.8,54828515
123,16393709,AyFukushima,973.9,54824507
124,16432977,klog,973.4,54828193
125,16393745,ShumpeiNomura,973.4,54810747
126,16387022,Asa-sotta ,971.7,54667312
127,16376257,hiro094,971.2,54597288
128,16395413,cocosu3434,971.1,54820987
129,16487924,lmaffei,970.9,54617289
130,16391123,Iliamna,970.4,54820316
131,16373571,Starmie is all you need,970.2,54830066
132,16373957,hukuda222,969.7,54811967
133,16381560,aknomura,968.6,
134,16498784,xiaoxin01,967.8,54770029
135,16532928,Aurora wy,967.7,54757471
136,16377499,fujiborozoukin,967.0,54425809
137,16375779,Topdecking is All You Need,966.5,54827939
138,16566047,jneums,966.4,54828719
139,16376982,Praxel,966.3,54827541
140,16449149,hoshippi,965.8,54820663
141,16372782,Pokemon Siuuuu,965.4,54604134
142,16380936,payanotty,964.4,54594343
143,16372692,ojicat,964.0,54752309
144,16418974,mikelou1,963.9,54814317
145,16407282,SQUIRTLE (prime),962.7,54828445
146,16403381,HIDEYO CHIBA,962.6,54822746
147,16405171,DON,961.6,54824301
148,16425934,theredbluepill,961.4,54794373
149,16539371,Edith Yong,960.6,
150,16376903,ImANoob1122,960.5,54336897
151,16386225,Hiroki Yamazaki,960.4,54783491
152,16377377,Shelgon,959.9,54791664
153,16391939,PP.TAKEHIRO_KAWADA,958.6,54828703
154,16392754,Arti-fish-ial Intelligence,957.7,54809887
155,16372591,Boseiju,957.5,54814433
156,16505814,john jiang zhifeng,957.3,54821675
157,16541487,pacific_diesel,957.1,54823047
158,16373037,Flying Banana,957.1,54798899
159,16460880,flxwld,956.9,
160,16386649,Magikarp,956.6,54829759
161,16379464,OSELCOUN,956.0,54645071
162,16474743,Mykhailo Kalus,956.0,54793347
163,16468204,venks,955.9,54816470
164,16441533,kazuki0123,955.5,54203196
165,16373846,Gemini ch.,955.5,54819777
166,16553549,namopanda,955.3,54808931
167,16531877,Vadim Vasilenko,955.3,54791976
168,16371280,lolzpo + emonga,954.9,54829889
169,16416010,Aikimi,954.8,54805911
170,16557728,HemanthRaju311,954.4,54824454
171,16375469,nopoly1k,953.1,54598274
172,16446905,清水一希,953.0,54345725
173,16401021,msd0110,952.2,54828629
174,16391514,Aji Samudra,952.1,54801794
175,16377385,kmizunoster,951.3,54790809
176,16376876,Masatoshi Hidaka,950.8,54713636
177,16435847,Yufeng,950.7,54691712
178,16382518,Team,950.2,54822445
179,16403994,Oleksandr_Savsunenko,950.0,54812268
180,16470545,James Idriss,949.2,
181,16418542,It takes Kyurem,949.0,54693008
182,16535369,WUHAOZHE618,948.6,54682626
183,16374632,cyrus,948.5,54655862
184,16485604,Marcha Watanabe,948.4,54614611
185,16530676,jaehwan02,948.0,54802998
186,16379626,TomTom,947.2,54830506
187,16380674,Latte,946.7,54828434
188,16530693,Nobu Kimura,946.7,54809953
189,16372719,Himi Yamato,945.9,54813610
190,16377081,RK,945.0,54678177
191,16373012,Voyager,944.0,54783706
192,16411874,Juyong,944.0,54793964
193,16531787,hatry,943.5,54785098
194,16532206,yuki0202,943.3,54819107
195,16533561,iwance,943.1,54807120
196,16421871,hotpotbro,942.3,54829014
197,16373187,Hritik Arasu,941.1,54791592
198,16376297,Rojiomote,941.0,54811026
199,16373951,Canon,940.8,54823845
200,16492482,Ryo Hasegawa,940.7,54818778
